股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,24.45,39.32,37.01,28.26,-0.2,-0.04,-0.16,26.86,25.35,23.85,18283,22663,0.81,1880.98,15.05,1.0,4.09,2026-03-17,2026-03-17 10:12:30
1102,亞泥,34.6,57.27,47.65,33.33,-0.37,-0.4,0.03,36.25,35.0,33.74,6935,9524,0.73,1227.11,9.77,2.2,6.36,2026-03-17,2026-03-17 10:12:31
1103,嘉泥,13.55,35.28,31.03,35.9,-0.14,-0.11,-0.03,14.34,13.79,13.23,224,280,0.8,89.26,16.13,0.55,4.06,2026-03-17,2026-03-17 10:12:32
1104,環泥,29.7,73.93,61.47,47.13,-0.08,-0.17,0.09,30.56,29.51,28.47,819,788,1.04,203.94,12.75,1.7,5.72,2026-03-17,2026-03-17 10:12:33
1108,幸福,15.0,57.21,53.09,41.38,0.0,0.01,-0.01,15.37,15.13,14.89,1510,455,3.32,60.71,6.44,0.75,5.0,2026-03-17,2026-03-17 10:12:34
1109,信大,15.4,45.56,35.25,36.0,-0.04,-0.02,-0.02,15.87,15.48,15.09,241,149,1.61,52.54,14.95,0.9,5.84,2026-03-17,2026-03-17 10:12:34
1110,東泥,15.45,50.99,50.49,29.09,-0.17,-0.12,-0.05,16.86,16.11,15.35,363,251,1.44,88.05,38.62,0.3,1.94,2026-03-17,2026-03-17 10:12:35
1201,味全,13.95,37.44,36.55,25.0,-0.14,-0.1,-0.04,14.78,14.3,13.82,547,342,1.6,70.6,24.91,0.5,3.58,2026-03-17,2026-03-17 10:12:36
1203,味王,38.6,38.51,34.08,32.69,-0.36,-0.15,-0.21,41.81,39.77,37.74,6,40,0.16,91.75,18.74,1.2,3.11,2026-03-17,2026-03-17 10:12:37
1210,大成,54.1,86.16,73.56,75.0,0.49,0.14,0.35,53.63,51.58,49.52,3172,2893,1.1,452.66,13.8,2.83,5.23,2026-03-17,2026-03-17 10:12:38
1213,大飲,10.0,77.38,64.19,54.85,-0.06,-0.09,0.03,10.21,9.83,9.46,1,4,0.23,5.66,,0.35,3.5,2026-03-17,2026-03-17 10:12:39
1215,卜蜂,152.0,24.86,40.6,52.94,1.57,2.3,-0.73,161.65,153.53,145.4,594,798,0.74,448.08,14.63,7.0,4.61,2026-03-17,2026-03-17 10:12:40
1216,統一,70.9,16.71,13.12,35.24,-1.0,-0.88,-0.12,75.66,72.25,68.84,11342,10242,1.11,4028.55,20.61,3.0,4.23,2026-03-17,2026-03-17 10:12:41
1217,愛之味,10.25,29.34,25.85,34.62,-0.08,-0.07,-0.02,10.71,10.39,10.07,490,494,0.99,50.69,24.4,0.37,3.61,2026-03-17,2026-03-17 10:12:42
1218,泰山,19.15,84.52,72.36,65.31,0.2,0.07,0.13,19.22,18.34,17.47,1076,2079,0.52,93.13,14.73,1.35,7.05,2026-03-17,2026-03-17 10:12:43
1219,福壽,13.55,39.28,41.59,46.43,0.01,0.01,-0.0,13.79,13.57,13.35,250,299,0.84,46.24,30.11,0.5,3.69,2026-03-17,2026-03-17 10:12:44
1220,台榮,12.8,10.94,20.74,40.0,0.01,0.05,-0.04,13.28,12.98,12.67,158,131,1.2,22.58,160.0,0.7,5.47,2026-03-17,2026-03-17 10:12:45
1225,福懋油,31.0,25.31,40.95,57.14,0.81,0.88,-0.06,34.56,30.92,27.28,226,424,0.53,75.1,22.14,0.14,0.45,2026-03-17,2026-03-17 10:12:46
1227,佳格,30.3,70.74,54.62,52.24,0.1,0.02,0.08,30.58,29.63,28.68,741,885,0.84,275.25,20.75,1.4,4.62,2026-03-17,2026-03-17 10:12:47
1229,聯華,44.4,23.61,19.91,46.53,-0.53,-0.58,0.04,45.7,44.43,43.17,1694,3735,0.45,794.19,17.28,1.3,2.93,2026-03-17,2026-03-17 10:12:48
1231,聯華食,89.4,77.27,63.09,48.0,-1.31,-2.09,0.77,95.69,87.97,80.25,659,619,1.06,266.82,24.83,1.6,1.79,2026-03-17,2026-03-17 10:12:49
1232,大統益,150.0,34.65,35.6,41.18,0.79,1.13,-0.33,153.49,150.4,147.31,94,90,1.04,239.96,18.2,7.0,4.67,2026-03-17,2026-03-17 10:12:50
1233,天仁,30.85,30.27,41.53,36.43,-0.29,-0.06,-0.22,33.89,32.3,30.7,7,11,0.65,27.93,41.13,0.95,3.08,2026-03-17,2026-03-17 10:12:51
1234,黑松,36.1,42.53,41.4,31.25,-0.28,-0.23,-0.06,37.74,36.74,35.74,316,179,1.77,145.08,18.05,1.65,4.57,2026-03-17,2026-03-17 10:12:52
1235,興泰,36.3,8.15,13.09,33.78,-1.77,-1.04,-0.73,48.46,41.33,34.19,7,25,0.32,16.5,,0.5,1.38,2026-03-17,2026-03-17 10:12:53
1236,宏亞,27.3,35.47,47.54,65.71,0.41,0.49,-0.07,28.5,27.13,25.76,44,84,0.53,23.66,,0.6,2.2,2026-03-17,2026-03-17 10:12:54
1256,鮮活果汁-KY,156.0,23.52,38.9,49.19,1.01,1.95,-0.95,170.62,160.7,150.78,47,73,0.65,55.8,16.27,4.66,2.99,2026-03-17,2026-03-17 10:12:55
1301,台塑,46.45,14.78,18.26,45.17,0.24,0.75,-0.51,52.22,47.81,43.4,23542,30989,0.76,2956.89,31.35,0.5,1.08,2026-03-17,2026-03-17 10:12:56
1303,南亞,85.5,56.27,43.93,45.56,2.34,2.55,-0.22,95.26,82.63,70.0,104130,123495,0.84,6780.85,20.99,0.7,0.82,2026-03-17,2026-03-17 10:12:57
1304,台聚,12.95,43.03,46.29,55.04,0.34,0.31,0.03,13.73,12.42,11.11,6252,13194,0.47,138.86,,0.2,1.54,2026-03-17,2026-03-17 10:12:57
1305,華夏,14.05,61.06,58.17,62.2,0.51,0.38,0.13,14.39,12.71,11.03,6832,13604,0.5,81.64,,0.15,1.07,2026-03-17,2026-03-17 10:12:59
1307,三芳,34.1,39.33,38.94,50.52,0.39,0.44,-0.05,36.51,33.58,30.65,855,1334,0.64,135.66,12.01,2.7,7.92,2026-03-17,2026-03-17 10:12:59
1308,亞聚,14.75,47.59,50.52,54.49,0.36,0.29,0.06,15.7,14.26,12.82,5480,8029,0.68,87.58,54.63,0.25,1.69,2026-03-17,2026-03-17 10:13:00
1309,台達化,15.8,77.61,75.07,68.39,0.94,0.64,0.29,16.29,13.42,10.54,9276,16146,0.57,62.82,,0.2,1.27,2026-03-17,2026-03-17 10:13:02
1310,台苯,11.4,72.21,76.64,71.88,0.72,0.55,0.17,12.41,10.12,7.82,10791,18689,0.58,60.18,43.85,,,2026-03-17,2026-03-17 10:13:03
1312,國喬,13.95,43.1,43.58,52.89,0.25,0.22,0.03,14.44,13.37,12.31,13321,18367,0.73,160.02,21.14,,,2026-03-17,2026-03-17 10:13:04
1313,聯成,12.55,30.48,43.12,64.49,0.51,0.49,0.01,13.87,11.84,9.8,6463,13180,0.49,167.02,,0.15,1.2,2026-03-17,2026-03-17 10:13:05
1314,中石化,8.51,37.6,46.34,50.58,0.18,0.18,0.0,9.37,8.44,7.5,40582,97965,0.41,322.09,4.89,,,2026-03-17,2026-03-17 10:13:06
1315,達新,64.3,34.43,31.31,42.86,-0.2,-0.15,-0.05,65.93,64.29,62.65,6,24,0.27,61.42,39.21,4.5,7.0,2026-03-17,2026-03-17 10:13:07
1316,上曜,13.0,56.18,44.1,35.29,-0.34,-0.35,0.01,14.2,13.29,12.38,1562,1244,1.26,44.11,59.09,,,2026-03-17,2026-03-17 10:13:09
1319,東陽,85.1,13.2,11.26,14.35,-4.85,-3.7,-1.16,109.07,94.89,80.71,2727,4108,0.66,503.35,13.23,5.3,6.23,2026-03-17,2026-03-17 10:13:10
1321,大洋,33.5,41.65,47.4,48.57,-0.12,-0.12,-0.01,34.24,33.46,32.68,132,203,0.65,73.93,,0.38,1.13,2026-03-17,2026-03-17 10:13:11
1323,永裕,18.75,85.66,81.2,51.72,-0.07,-0.1,0.03,18.84,18.63,18.43,52,59,0.88,17.11,187.5,0.9,4.8,2026-03-17,2026-03-17 10:13:12
1324,地球,10.35,13.19,19.4,34.78,-0.1,-0.09,-0.02,10.88,10.54,10.21,82,66,1.23,7.78,,0.2,1.93,2026-03-17,2026-03-17 10:13:13
1325,恆大,27.25,36.03,28.81,34.21,-0.8,-0.74,-0.06,30.67,28.37,26.08,160,159,1.01,23.24,,0.3,1.1,2026-03-17,2026-03-17 10:13:14
1326,台化,44.2,30.37,27.12,48.95,1.19,1.75,-0.56,49.99,44.31,38.63,41376,46044,0.9,2585.27,34.82,0.5,1.13,2026-03-17,2026-03-17 10:13:15
1337,再生-KY,6.08,65.04,60.23,64.62,0.18,0.13,0.05,6.2,5.56,4.91,2034,1542,1.32,16.35,,,,2026-03-17,2026-03-17 10:13:15
1338,廣華-KY,15.4,10.71,7.98,16.82,-1.24,-1.04,-0.2,20.76,17.39,14.02,195,253,0.77,12.44,1.79,0.78,5.06,2026-03-17,2026-03-17 10:13:16
1339,昭輝,41.15,34.84,31.76,30.67,-0.63,-0.47,-0.16,44.71,42.42,40.12,38,52,0.72,30.5,17.07,3.0,7.29,2026-03-17,2026-03-17 10:13:18
