股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,EPS,每股配息,殖利率,更新時間,交易日
2615,萬海,75.0,48.6,36.74,K>D,40.91,-1.05,-1.19,0.14,DIF>MACD,77.91,75.12,72.34,47.8,4011,3447,1.16,2104.61,6.16,12.17,3.5,4.67,2026-02-11 23:24:06,
2616,山隆,13.7,54.08,50.36,K>D,50.0,0.02,0.02,0.0,黃金交叉,13.92,13.71,13.5,47.0,105,69,1.52,18.62,,,0.3,2.19,2026-02-11 23:24:08,
2617,台航,30.1,14.42,15.57,K<D,37.5,-0.19,-0.04,-0.14,DIF<MACD,32.08,30.93,29.78,13.9,646,516,1.25,125.61,9.74,3.09,1.5,4.98,2026-02-11 23:24:09,
2618,長榮航,38.85,80.74,69.68,K>D,45.07,0.54,0.53,0.0,DIF>MACD,39.39,38.23,37.07,76.8,31023,27822,1.12,2098.07,8.14,4.77,2.4,6.18,2026-02-11 23:24:10,
2630,亞航,50.4,30.85,20.11,K>D,32.17,-1.08,-0.68,-0.4,DIF<MACD,57.75,52.02,46.28,35.9,1440,956,1.51,105.56,49.9,1.01,0.62,1.23,2026-02-11 23:24:11,
2633,台灣高鐵,27.15,30.29,31.53,K<D,53.66,-0.12,-0.14,0.02,DIF>MACD,27.5,27.18,26.86,45.3,5286,4057,1.3,1528.08,24.03,1.13,1.05,3.87,2026-02-11 23:24:12,
2634,漢翔,54.4,38.75,25.96,K>D,40.79,-0.18,0.16,-0.34,DIF<MACD,58.63,54.65,50.67,46.9,10507,5679,1.85,512.38,68.86,0.79,1.38,2.54,2026-02-11 23:24:13,
2636,台驊控股,64.1,22.66,25.98,K<D,14.04,-0.58,-0.35,-0.23,DIF<MACD,68.27,65.93,63.59,11.0,279,260,1.07,87.79,7.84,8.18,6.0,9.36,2026-02-11 23:24:14,
2637,慧洋-KY,70.2,36.92,27.38,K>D,42.68,0.09,0.36,-0.28,DIF<MACD,73.14,70.77,68.41,37.8,1444,2164,0.67,523.98,17.08,4.11,5.0,7.12,2026-02-11 23:24:15,
2642,宅配通,24.45,6.03,10.14,K<D,28.57,-0.39,-0.27,-0.11,DIF<MACD,26.57,25.49,24.41,1.7,78,89,0.87,23.34,33.96,,0.5,2.04,2026-02-11 23:24:16,
2645,長榮航太,164.5,36.89,30.72,黃金交叉,40.62,2.44,3.58,-1.13,DIF<MACD,179.03,163.8,148.57,52.3,2899,1768,1.64,616.17,31.27,5.26,4.5,2.74,2026-02-11 23:24:17,
2646,星宇航空,22.95,46.05,36.08,K>D,29.63,-0.12,-0.11,-0.01,DIF<MACD,23.65,23.14,22.62,32.0,4013,3300,1.22,690.5,459.0,0.05,,,2026-02-11 23:24:19,
2701,萬企,11.05,61.44,42.82,K>D,57.14,-0.02,-0.02,0.01,DIF>MACD,11.09,10.98,10.87,81.0,103,86,1.2,49.72,22.1,0.5,0.28,2.53,2026-02-11 23:24:20,
2702,華園,11.95,23.74,20.98,黃金交叉,52.94,0.0,-0.0,0.01,黃金交叉,12.01,11.86,11.71,79.2,42,62,0.68,18.72,,,,,2026-02-11 23:24:21,
2704,國賓,42.65,11.56,18.53,K<D,26.37,-0.14,-0.02,-0.13,DIF<MACD,44.67,43.37,42.07,22.3,147,112,1.31,156.49,115.27,0.37,0.5,1.17,2026-02-11 23:24:22,
