股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,BB上軌,BB下軌,成交量張,量比,市值億,本益比,每股配息,殖利率,更新時間
1476,儒鴻,424.0,,,,,,,,,,,,,,2026-02-25
1477,聚陽,320.0,,,,,,,,,,,,,,2026-02-25
1503,士電,227.5,,,,,,,,,,,,,,2026-02-25
1504,東元,82.6,,,,,,,,,,,,,,2026-02-25
1506,正道,11.65,,,,,,,,,,,,,,2026-02-25
1512,瑞利,7.81,,,,,,,,,,,,,,2026-02-25
1513,中興電,170.5,,,,,,,,,,,,,,2026-02-25
1514,亞力,130.5,,,,,,,,,,,,,,2026-02-25
1515,力山,27.0,,,,,,,,,,,,,,2026-02-25
1516,川飛,21.05,,,,,,,,,,,,,,2026-02-25
1517,利奇,12.1,,,,,,,,,,,,,,2026-02-25
1519,華城,1050.0,,,,,,,,,,,,,,2026-02-25
1521,大億,27.1,,,,,,,,,,,,,,2026-02-25
1522,堤維西,43.55,,,,,,,,,,,,,,2026-02-25
1524,耿鼎,30.75,,,,,,,,,,,,,,2026-02-25
1525,江申,64.0,,,,,,,,,,,,,,2026-02-25
1526,日馳,19.8,,,,,,,,,,,,,,2026-02-25
1527,鑽全,33.85,,,,,,,,,,,,,,2026-02-25
1528,恩德,23.45,,,,,,,,,,,,,,2026-02-25
1529,樂事綠能,26.55,,,,,,,,,,,,,,2026-02-25
1530,亞崴,29.1,,,,,,,,,,,,,,2026-02-25
1531,高林股,12.45,,,,,,,,,,,,,,2026-02-25
1532,勤美,24.2,,,,,,,,,,,,,,2026-02-25
1533,車王電,30.85,,,,,,,,,,,,,,2026-02-25
1535,中宇,51.1,,,,,,,,,,,,,,2026-02-25
1536,和大,61.2,,,,,,,,,,,,,,2026-02-25
1537,廣隆,125.0,,,,,,,,,,,,,,2026-02-25
1538,正峰,23.8,,,,,,,,,,,,,,2026-02-25
1539,巨庭,18.1,,,,,,,,,,,,,,2026-02-25
1540,喬福,23.85,,,,,,,,,,,,,,2026-02-25
1541,錩泰,25.0,,,,,,,,,,,,,,2026-02-25
1558,伸興,98.9,,,,,,,,,,,,,,2026-02-25
1560,中砂,494.5,,,,,,,,,,,,,,2026-02-25
1563,巧新,43.85,,,,,,,,,,,,,,2026-02-25
1568,倉佑,22.65,,,,,,,,,,,,,,2026-02-25
1582,信錦,70.0,,,,,,,,,,,,,,2026-02-25
1583,程泰,49.4,,,,,,,,,,,,,,2026-02-25
1587,吉茂,44.15,,,,,,,,,,,,,,2026-02-25
1589,永冠-KY,13.75,,,,,,,,,,,,,,2026-02-25
1590,亞德客-KY,1190.0,,,,,,,,,,,,,,2026-02-25
1597,直得,78.0,,,,,,,,,,,,,,2026-02-25
1598,岱宇,18.95,,,,,,,,,,,,,,2026-02-25
1603,華電,38.5,,,,,,,,,,,,,,2026-02-25
1604,聲寶,24.3,,,,,,,,,,,,,,2026-02-25
1605,華新,36.1,,,,,,,,,,,,,,2026-02-25
1608,華榮,36.1,,,,,,,,,,,,,,2026-02-25
1609,大亞,40.9,,,,,,,,,,,,,,2026-02-25
1611,中電,13.15,,,,,,,,,,,,,,2026-02-25
1612,宏泰,35.55,,,,,,,,,,,,,,2026-02-25
1614,三洋電,34.75,,,,,,,,,,,,,,2026-02-25
1615,大山,48.65,,,,,,,,,,,,,,2026-02-25
1616,億泰,29.25,,,,,,,,,,,,,,2026-02-25
1617,榮星,15.95,,,,,,,,,,,,,,2026-02-25
1618,合機,45.5,,,,,,,,,,,,,,2026-02-25
1626,艾美特-KY,11.1,,,,,,,,,,,,,,2026-02-25
1702,南僑,38.15,,,,,,,,,,,,,,2026-02-25
1707,葡萄王,123.5,,,,,,,,,,,,,,2026-02-25
1708,東鹼,36.0,,,,,,,,,,,,,,2026-02-25
1709,和益,16.8,,,,,,,,,,,,,,2026-02-25
1710,東聯,13.55,,,,,,,,,,,,,,2026-02-25
