股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,EPS,每股配息,殖利率,更新時間
1304,台聚,11.6,28.08,31.08,K<D,51.11,0.05,0.12,-0.07,DIF<MACD,12.56,11.7,10.84,44.2,5453,4540,1.2,124.39,,,0.2,1.72,2026-02-09 17:18:59
1305,華夏,12.05,26.95,29.22,K<D,51.22,0.09,0.17,-0.08,DIF<MACD,12.86,12.02,11.18,51.9,2410,2074,1.16,70.02,,,0.15,1.24,2026-02-09 17:19:00
1307,三芳,30.7,22.82,30.52,K<D,34.82,-0.31,-0.2,-0.11,DIF<MACD,33.14,31.88,30.61,3.6,1139,720,1.58,122.13,10.41,2.95,2.7,8.79,2026-02-09 17:19:02
1308,亞聚,13.65,31.18,31.58,K<D,51.22,0.01,0.06,-0.05,DIF<MACD,14.4,13.68,12.95,48.3,2051,1546,1.33,81.05,50.56,,0.25,1.83,2026-02-09 17:19:03
1309,台達化,12.25,41.95,40.97,黃金交叉,55.68,0.15,0.18,-0.03,DIF<MACD,12.75,12.06,11.38,63.7,1413,1243,1.14,48.7,,,0.2,1.63,2026-02-09 17:19:04
1310,台苯,8.98,43.23,40.11,黃金交叉,53.28,0.04,0.04,-0.01,DIF<MACD,9.2,8.93,8.67,58.9,2909,1906,1.53,47.4,34.54,,,,2026-02-09 17:19:05
1312,國喬,12.95,31.08,29.7,黃金交叉,49.43,0.17,0.31,-0.14,DIF<MACD,13.99,13.19,12.38,35.4,5158,4939,1.04,148.55,19.62,,,,2026-02-09 17:19:07
1313,聯成,10.65,25.64,30.06,K<D,50.0,0.01,0.07,-0.06,DIF<MACD,11.46,10.66,9.87,49.1,4033,2802,1.44,141.74,,,0.15,1.41,2026-02-09 17:19:08
1314,中石化,7.98,25.33,24.25,黃金交叉,44.06,-0.02,0.0,-0.03,DIF<MACD,8.4,8.1,7.79,30.8,11522,12857,0.9,302.03,4.59,,,,2026-02-09 17:19:09
1315,達新,64.0,22.58,30.99,K<D,34.48,-0.07,-0.01,-0.06,DIF<MACD,65.12,64.36,63.6,26.2,7,8,0.86,61.14,39.02,1.64,4.5,7.03,2026-02-09 17:19:10
1316,上曜,13.35,20.08,22.99,K<D,26.67,-0.33,-0.29,-0.04,DIF<MACD,14.88,14.14,13.39,-3.0,3041,2362,1.29,45.3,60.68,,,,2026-02-09 17:19:11
1319,東陽,103.5,17.89,30.28,K<D,42.86,1.97,3.05,-1.08,DIF<MACD,117.23,107.91,98.6,26.3,1796,2612,0.69,612.18,15.85,6.53,5.3,5.12,2026-02-09 17:19:13
1321,大洋,32.7,23.37,30.05,K<D,30.51,-0.46,-0.45,-0.01,DIF<MACD,34.57,33.57,32.57,6.4,217,174,1.25,72.16,,,0.38,1.16,2026-02-09 17:19:14
1323,永裕,18.75,33.83,36.53,K<D,52.94,-0.15,-0.16,0.01,DIF>MACD,19.16,18.82,18.47,40.2,17,34,0.51,17.11,187.5,0.1,0.9,4.8,2026-02-09 17:19:15
1324,地球,10.45,13.24,17.55,K<D,29.63,-0.09,-0.02,-0.07,DIF<MACD,11.39,10.88,10.37,7.4,22,36,0.6,7.85,,,0.2,1.91,2026-02-09 17:19:16
1325,恆大,29.75,12.21,22.8,K<D,53.16,-0.05,0.04,-0.08,DIF<MACD,33.55,30.29,27.03,41.7,492,666,0.74,25.37,,,0.3,1.01,2026-02-09 17:19:17
1326,台化,42.95,42.62,49.47,K<D,70.11,2.18,2.02,0.16,DIF>MACD,45.85,37.82,29.78,81.9,44422,32219,1.38,2512.15,48.76,,0.5,1.16,2026-02-09 17:19:19
1337,再生-KY,5.31,11.41,25.44,K<D,58.16,0.13,0.17,-0.04,DIF<MACD,6.22,5.39,4.56,45.3,382,557,0.69,14.28,,,,,2026-02-09 17:19:20
1338,廣華-KY,19.4,17.13,12.8,黃金交叉,7.89,-0.26,-0.15,-0.11,DIF<MACD,21.29,20.19,19.1,13.8,85,118,0.72,15.67,2.25,,0.78,4.02,2026-02-09 17:19:21
1339,昭輝,42.9,30.54,28.12,黃金交叉,34.85,-0.34,-0.23,-0.11,DIF<MACD,46.07,43.37,40.67,41.3,49,43,1.13,31.8,20.83,2.06,3.0,6.99,2026-02-09 17:19:22
1340,勝悅-KY,6.8,29.44,24.32,黃金交叉,41.96,-0.13,-0.12,-0.01,DIF<MACD,7.22,6.8,6.37,50.4,455,170,2.68,10.4,,,,,2026-02-09 17:19:23
1341,富林-KY,58.0,68.64,70.16,K<D,54.1,0.07,0.04,0.04,DIF>MACD,59.28,58.31,57.33,34.4,5,5,1.0,30.65,14.54,3.99,5.2,8.97,2026-02-09 17:19:25
1342,八貫,102.0,66.05,55.33,K>D,71.64,1.88,1.51,0.37,DIF>MACD,99.95,95.9,91.84,125.2,1599,1093,1.46,79.56,18.89,5.4,6.0,5.88,2026-02-09 17:19:26
1402,遠東新,28.35,52.78,42.78,K>D,46.32,0.01,0.02,-0.01,DIF<MACD,28.94,28.29,27.64,54.4,5656,6961,0.81,1517.32,17.08,1.66,1.6,5.64,2026-02-09 17:19:27
1409,新纖,15.05,35.39,30.59,黃金交叉,43.33,-0.04,-0.02,-0.02,DIF<MACD,15.76,15.19,14.62,37.7,2799,3169,0.88,242.87,12.54,1.2,0.6,3.99,2026-02-09 17:19:28
1410,南染,33.7,33.96,22.62,K>D,48.39,-0.2,-0.19,-0.01,DIF<MACD,34.18,33.64,33.09,55.9,11,49,0.24,20.89,60.18,0.56,0.51,1.51,2026-02-09 17:19:30
1413,宏洲,9.8,25.01,32.94,K<D,46.84,-0.03,-0.02,-0.01,DIF<MACD,10.08,9.91,9.74,17.7,15,7,1.95,12.95,22.27,0.44,,,2026-02-09 17:19:31
1414,東和,19.7,56.76,51.7,黃金交叉,60.34,0.16,0.17,-0.01,DIF<MACD,20.03,19.37,18.72,75.1,226,561,0.4,35.11,151.54,0.13,0.26,1.32,2026-02-09 17:19:32
1416,廣豐,11.7,29.34,36.93,K<D,50.0,-0.02,-0.01,-0.01,DIF<MACD,11.89,11.75,11.61,31.2,145,108,1.35,21.69,15.0,0.78,0.56,4.79,2026-02-09 17:19:33
1417,嘉裕,8.79,53.77,48.22,K>D,47.54,-0.03,-0.03,-0.0,DIF<MACD,8.94,8.78,8.63,52.1,149,150,1.0,16.7,,,,,2026-02-09 17:19:34
1418,東華,19.95,45.85,34.8,黃金交叉,50.0,-0.01,0.0,-0.01,DIF<MACD,20.14,19.93,19.73,54.3,5,9,0.56,10.84,,,,,2026-02-09 17:19:36
1419,新紡,68.1,14.59,24.0,K<D,34.94,-0.65,0.49,-1.14,DIF<MACD,81.21,73.57,65.92,14.3,210,201,1.04,203.78,15.27,4.46,1.5,2.2,2026-02-09 17:19:37
1423,利華,38.4,64.17,55.07,K>D,61.76,-0.06,-0.09,0.02,黃金交叉,38.4,38.09,37.78,99.4,11,15,0.72,38.26,9.04,4.25,0.8,2.08,2026-02-09 17:19:38
1432,大魯閣,19.15,74.61,66.95,K>D,69.64,0.22,0.16,0.07,DIF>MACD,19.17,18.48,17.79,98.4,490,418,1.17,20.68,,,,,2026-02-09 17:19:39
1434,福懋,17.75,69.07,63.53,黃金交叉,65.52,0.34,0.29,0.06,DIF>MACD,17.91,16.83,15.75,92.5,5581,4234,1.32,298.64,50.71,0.35,0.8,4.51,2026-02-09 17:19:41
1435,中福,21.3,50.73,51.88,K<D,47.62,-0.35,-0.36,0.01,黃金交叉,22.49,21.42,20.35,44.4,2,5,0.41,29.77,,,,,2026-02-09 17:19:42
1436,華友聯,56.8,19.42,23.64,K<D,23.96,-1.08,-0.7,-0.38,DIF<MACD,64.07,61.09,58.11,-22.1,765,344,2.22,98.09,9.4,6.04,7.53,13.26,2026-02-09 17:19:43
1437,勤益控,32.15,25.99,31.45,K<D,52.34,-0.22,-0.2,-0.02,DIF<MACD,32.95,32.35,31.75,33.0,44,70,0.63,64.9,15.38,2.09,1.83,5.69,2026-02-09 17:19:44
1438,三地開發,30.95,29.26,31.45,K<D,17.39,-0.56,-0.37,-0.19,DIF<MACD,34.07,32.54,31.01,-1.9,11,23,0.5,34.42,,,,,2026-02-09 17:19:45
1439,雋揚,29.9,78.25,71.53,K>D,41.67,0.14,0.21,-0.07,DIF<MACD,30.47,29.98,29.48,42.4,15,16,0.9,27.51,10.76,2.78,0.3,1.0,2026-02-09 17:19:47
1440,南紡,13.35,26.15,32.89,K<D,44.19,-0.02,0.01,-0.03,DIF<MACD,14.01,13.59,13.17,21.2,1413,1125,1.26,221.18,63.57,,0.3,2.25,2026-02-09 17:19:48
1441,大東,10.0,7.82,8.93,K<D,21.31,-0.12,-0.11,-0.01,DIF<MACD,10.47,10.15,9.83,26.0,37,19,1.92,7.17,,,,,2026-02-09 17:19:49
1442,名軒,29.7,65.14,61.21,K>D,45.21,-0.18,-0.26,0.08,DIF>MACD,30.57,29.73,28.9,47.9,203,535,0.38,108.76,7.84,3.79,4.5,15.15,2026-02-09 17:19:50
1443,立益物流,26.3,33.34,46.78,K<D,43.16,-0.08,-0.03,-0.06,DIF<MACD,27.58,26.97,26.36,-5.1,33,20,1.67,35.6,34.16,0.77,,,2026-02-09 17:19:52
1444,力麗,6.25,13.27,23.35,K<D,51.98,0.05,0.09,-0.03,DIF<MACD,6.9,6.36,5.82,39.8,581,468,1.24,61.52,22.32,,,,2026-02-09 17:19:53
1445,大宇,15.25,73.96,77.22,K<D,67.71,0.6,0.44,0.16,DIF>MACD,16.51,14.11,11.71,73.8,89,299,0.3,19.93,,,0.5,3.28,2026-02-09 17:19:54
1446,宏和,16.55,14.35,14.3,黃金交叉,18.37,-0.38,-0.3,-0.08,DIF<MACD,18.56,17.4,16.23,13.6,143,119,1.2,22.79,5.87,2.82,2.0,12.08,2026-02-09 17:19:56
1447,力鵬,5.39,15.14,25.64,K<D,53.42,0.02,0.03,-0.01,DIF<MACD,5.96,5.43,4.9,46.3,475,634,0.75,45.47,14.97,,,,2026-02-09 17:19:57
1449,佳和,11.15,23.22,20.88,K>D,25.0,-0.06,0.05,-0.11,DIF<MACD,12.7,11.75,10.8,18.4,423,456,0.93,14.17,5.52,,0.33,2.96,2026-02-09 17:19:58
1451,年興,17.5,25.3,25.75,K<D,40.43,0.02,0.09,-0.07,DIF<MACD,18.28,17.74,17.21,27.3,126,142,0.89,34.65,9.94,1.76,1.0,5.71,2026-02-09 17:19:59
1452,宏益,11.65,16.1,24.19,K<D,47.83,-0.02,0.0,-0.02,DIF<MACD,12.07,11.8,11.53,22.4,122,48,2.51,15.45,5.88,,0.5,4.29,2026-02-09 17:20:01
1453,大將,12.75,38.06,48.35,K<D,56.12,0.18,0.17,0.0,DIF>MACD,13.77,12.67,11.56,53.7,52,151,0.35,14.44,,,,,2026-02-09 17:20:02
1454,台富,13.8,41.25,59.25,K<D,55.63,0.43,0.35,0.08,DIF>MACD,15.93,13.64,11.34,53.5,142,952,0.15,16.85,,,0.25,1.81,2026-02-09 17:20:03
1455,集盛,8.5,17.54,28.83,K<D,55.06,0.2,0.27,-0.06,DIF<MACD,9.92,8.56,7.21,47.6,322,767,0.42,45.19,11.81,,,,2026-02-09 17:20:04
1456,怡華,13.1,75.53,69.79,K>D,54.55,-0.01,0.0,-0.01,DIF<MACD,13.44,13.11,12.77,49.3,13,21,0.61,12.28,10.31,1.27,,,2026-02-09 17:20:06
1457,宜進,14.95,7.62,13.63,K<D,35.29,-0.18,-0.15,-0.03,DIF<MACD,15.83,15.31,14.79,15.2,73,85,0.86,34.91,35.6,0.42,1.0,6.69,2026-02-09 17:20:07
1459,聯發,11.8,30.86,29.82,黃金交叉,57.14,-0.02,-0.02,-0.01,DIF<MACD,11.96,11.78,11.6,56.2,39,44,0.88,37.46,5.57,2.12,,,2026-02-09 17:20:08
1460,宏遠,6.78,76.95,72.96,K>D,69.41,0.11,0.11,0.01,DIF>MACD,6.84,6.58,6.32,88.0,663,771,0.86,45.73,10.43,,,,2026-02-09 17:20:09
1463,強盛新,18.05,79.36,74.17,K>D,68.42,-0.09,-0.22,0.13,DIF>MACD,18.09,17.53,16.98,96.7,36,46,0.78,30.97,4.76,3.79,2.1,11.63,2026-02-09 17:20:11
1464,得力,11.05,14.14,17.74,K<D,22.22,-0.05,0.01,-0.07,DIF<MACD,12.03,11.47,10.91,12.6,247,270,0.92,46.84,28.33,0.39,0.5,4.52,2026-02-09 17:20:12
1465,偉全,12.35,24.68,28.47,K<D,38.46,-0.07,-0.06,-0.01,DIF<MACD,12.61,12.46,12.3,16.9,84,39,2.16,12.8,,,0.6,4.86,2026-02-09 17:20:13
1466,聚隆,17.25,80.22,71.24,K>D,80.43,0.47,0.21,0.26,DIF>MACD,16.35,14.77,13.18,128.3,4718,1869,2.52,19.17,,,,,2026-02-09 17:20:14
1467,南緯,7.3,7.17,12.19,K<D,32.19,-0.03,0.05,-0.08,DIF<MACD,8.2,7.71,7.23,7.7,139,187,0.74,17.05,,,,,2026-02-09 17:20:15
1468,昶和,12.9,43.29,51.72,K<D,66.67,0.26,0.28,-0.02,DIF<MACD,13.68,12.6,11.52,63.9,38,41,0.91,20.69,129.0,0.1,,,2026-02-09 17:20:16
1471,首利,12.15,25.68,40.03,K<D,59.9,0.84,0.91,-0.07,DIF<MACD,14.94,11.75,8.57,56.2,588,829,0.71,18.28,,,,,2026-02-09 17:20:17
1472,三洋實業,91.2,75.48,61.02,K>D,73.08,0.17,-0.24,0.42,DIF>MACD,90.82,88.42,86.03,107.9,72,30,2.42,47.87,14.41,6.33,3.0,3.29,2026-02-09 17:20:19
1473,台南,24.85,17.38,27.13,K<D,51.79,0.08,0.25,-0.16,DIF<MACD,27.55,25.35,23.15,38.7,60,86,0.7,36.32,20.04,1.24,2.0,8.05,2026-02-09 17:20:20
1474,弘裕,10.05,22.43,31.27,K<D,36.67,-0.13,-0.13,0.0,DIF>MACD,10.59,10.33,10.07,-3.3,169,289,0.58,13.05,30.45,0.33,0.4,3.98,2026-02-09 17:20:21
1475,業旺,30.6,12.31,17.18,K<D,28.72,-0.34,-0.17,-0.17,DIF<MACD,33.71,32.07,30.43,5.0,14,34,0.4,20.2,8.92,3.43,3.6,11.76,2026-02-09 17:20:22
1476,儒鴻,424.0,66.83,49.08,K>D,51.79,2.71,1.62,1.09,DIF>MACD,427.82,410.5,393.18,89.0,1180,882,1.34,1163.32,20.62,20.56,17.0,4.01,2026-02-09 17:20:24
1477,聚陽,313.0,48.21,40.28,K>D,39.84,1.85,2.8,-0.95,DIF<MACD,334.38,318.38,302.37,33.2,832,978,0.85,772.15,20.89,14.98,16.1,5.14,2026-02-09 17:20:25
1503,士電,207.0,14.72,26.53,K<D,45.6,7.44,11.36,-3.91,DIF<MACD,249.13,215.88,182.62,36.7,1986,3257,0.61,1078.41,32.91,6.29,4.5,2.17,2026-02-09 17:20:26
1504,東元,80.1,19.33,19.94,K<D,34.41,-1.69,-1.09,-0.6,DIF<MACD,92.41,84.95,77.48,17.6,11983,11408,1.05,1878.05,31.54,2.54,2.2,2.75,2026-02-09 17:20:28
1506,正道,11.75,20.9,24.29,K<D,17.95,-0.04,0.08,-0.12,DIF<MACD,13.39,12.33,11.26,23.0,298,214,1.39,35.3,146.88,0.08,,,2026-02-09 17:20:29
1512,瑞利,7.89,20.74,20.14,黃金交叉,12.35,0.04,0.11,-0.06,DIF<MACD,9.05,8.08,7.11,40.4,38,89,0.43,7.75,,,,,2026-02-09 17:20:30
1513,中興電,163.0,20.78,30.75,K<D,40.15,2.69,4.98,-2.29,DIF<MACD,191.51,168.82,146.14,37.2,5424,6281,0.86,805.34,21.17,7.7,4.6,2.82,2026-02-09 17:20:32
1514,亞力,119.5,18.61,27.53,K<D,43.59,4.08,6.32,-2.25,DIF<MACD,149.39,124.72,100.06,39.4,2652,4913,0.54,323.69,40.92,2.92,1.7,1.42,2026-02-09 17:20:33
1515,力山,26.1,24.53,24.03,K>D,19.1,-0.41,-0.26,-0.15,DIF<MACD,29.28,27.35,25.43,17.4,230,261,0.88,47.36,8.42,,1.0,3.83,2026-02-09 17:20:34
1516,川飛,22.0,28.72,29.87,K<D,50.0,0.05,0.15,-0.1,DIF<MACD,22.69,21.98,21.26,51.6,146,58,2.5,8.8,,,,,2026-02-09 17:20:36
1517,利奇,11.75,19.09,24.51,K<D,31.67,0.09,0.2,-0.11,DIF<MACD,13.39,12.22,11.04,30.2,220,236,0.93,25.85,1.78,,0.2,1.7,2026-02-09 17:20:37
1519,華城,945.0,20.76,26.65,K<D,42.99,31.8,47.27,-15.47,DIF<MACD,1095.04,971.5,847.96,39.3,2305,4036,0.57,2985.07,69.23,13.65,9.0,0.95,2026-02-09 17:20:38
1521,大億,26.65,26.36,25.49,黃金交叉,28.97,0.4,0.64,-0.24,DIF<MACD,30.49,27.04,23.59,44.4,42,26,1.57,20.32,42.3,0.63,1.0,3.75,2026-02-09 17:20:40
1522,堤維西,47.55,16.95,19.7,K<D,35.74,0.04,0.49,-0.45,DIF<MACD,53.47,49.66,45.86,22.2,756,831,0.91,148.34,49.53,0.96,3.0,6.31,2026-02-09 17:20:41
1524,耿鼎,31.3,9.87,19.14,K<D,30.3,0.52,1.01,-0.49,DIF<MACD,36.84,33.25,29.66,22.8,829,1162,0.71,51.74,12.32,2.54,2.3,7.35,2026-02-09 17:20:42
1525,江申,62.8,17.46,19.33,K<D,49.63,-0.34,-0.27,-0.07,DIF<MACD,64.48,62.96,61.45,44.5,8,26,0.32,46.1,16.27,3.86,3.1,4.94,2026-02-09 17:20:44
1526,日馳,19.85,19.59,28.72,K<D,39.13,0.66,0.94,-0.28,DIF<MACD,24.57,20.56,16.54,41.2,235,313,0.75,11.91,,,,,2026-02-09 17:20:45
1527,鑽全,34.25,21.82,21.66,黃金交叉,32.08,0.11,0.34,-0.24,DIF<MACD,37.75,35.01,32.27,36.1,168,154,1.09,47.46,25.0,1.37,2.2,6.42,2026-02-09 17:20:46
1528,恩德,23.9,26.48,33.55,K<D,31.43,1.19,1.93,-0.74,DIF<MACD,32.45,27.61,22.76,11.8,7974,11074,0.72,45.73,,,0.1,0.42,2026-02-09 17:20:47
1529,樂事綠能,23.0,14.21,19.15,K<D,44.9,0.7,1.1,-0.4,DIF<MACD,27.55,23.9,20.25,37.7,584,983,0.59,35.67,30.67,0.75,0.2,0.87,2026-02-09 17:20:49
1530,亞崴,28.65,21.46,28.78,K<D,43.37,0.29,0.42,-0.13,DIF<MACD,30.39,29.06,27.73,34.5,22,25,0.86,27.1,47.75,0.6,1.53,5.34,2026-02-09 17:20:50
1531,高林股,12.0,17.97,21.76,K<D,23.08,0.01,0.07,-0.06,DIF<MACD,12.81,12.32,11.83,17.0,224,112,1.99,21.85,12.77,,0.4,3.33,2026-02-09 17:20:51
1532,勤美,24.1,26.49,24.06,K>D,29.17,-0.51,-0.49,-0.02,DIF<MACD,25.74,24.78,23.83,14.0,542,538,1.01,100.32,120.5,0.2,1.73,7.18,2026-02-09 17:20:52
1533,車王電,30.55,17.15,16.14,黃金交叉,26.61,-0.54,-0.36,-0.18,DIF<MACD,33.56,31.71,29.85,18.8,59,71,0.84,30.11,51.78,0.59,,,2026-02-09 17:20:53
1535,中宇,46.5,3.32,8.51,K<D,11.11,-1.34,-0.77,-0.57,DIF<MACD,55.83,51.64,47.46,-11.4,432,222,1.94,57.54,11.71,3.97,3.0,6.45,2026-02-09 17:20:55
1536,和大,62.5,32.98,31.87,黃金交叉,47.55,0.64,0.96,-0.33,DIF<MACD,67.51,61.78,56.06,56.2,4401,2650,1.66,174.35,416.67,,0.8,1.28,2026-02-09 17:20:56
1537,廣隆,122.0,24.41,30.76,K<D,33.33,-0.36,-0.2,-0.16,DIF<MACD,125.24,123.67,122.11,-3.5,53,40,1.33,100.12,14.81,8.24,10.5,8.61,2026-02-09 17:20:57
1538,正峰,26.2,45.78,43.02,K>D,60.0,0.0,0.02,-0.02,DIF<MACD,26.58,26.25,25.92,42.1,7,12,0.58,8.46,,,,,2026-02-09 17:20:58
1539,巨庭,17.9,12.44,16.65,K<D,15.19,0.04,0.27,-0.23,DIF<MACD,21.33,18.92,16.52,28.8,102,84,1.22,11.7,71.6,0.25,0.85,4.75,2026-02-09 17:20:59
1540,喬福,24.25,12.23,15.1,K<D,22.41,0.08,0.4,-0.32,DIF<MACD,28.26,25.6,22.93,24.8,182,347,0.52,20.73,23.32,1.04,1.6,6.6,2026-02-09 17:21:00
1541,錩泰,24.7,12.53,15.39,K<D,9.57,0.14,0.36,-0.23,DIF<MACD,29.06,25.54,22.01,38.2,35,26,1.34,19.46,17.03,1.45,0.5,2.02,2026-02-09 17:21:02
1558,伸興,95.4,21.38,12.28,K>D,28.17,-1.65,-1.39,-0.26,DIF<MACD,103.54,98.01,92.49,26.4,25,31,0.81,61.57,17.25,5.53,6.0,6.29,2026-02-09 17:21:03
1560,中砂,411.5,30.17,27.39,黃金交叉,43.6,3.23,8.05,-4.82,DIF<MACD,439.96,419.62,399.29,30.0,1698,1742,0.97,604.66,55.01,7.48,3.99,0.97,2026-02-09 17:21:04
1563,巧新,44.9,12.61,14.71,K<D,28.15,-0.23,0.23,-0.46,DIF<MACD,49.59,46.96,44.33,10.8,331,332,1.0,97.72,21.28,2.11,2.27,5.06,2026-02-09 17:21:06
