股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,24.3,29.77,41.6,34.44,0.0,0.26,-0.26,26.99,25.75,24.5,43365,39648,1.09,1869.44,16.85,1.0,4.12,2026-03-09,2026-03-09 07:30:58
1102,亞泥,34.15,26.44,35.05,30.65,-0.44,-0.36,-0.08,36.25,35.14,34.04,9049,9280,0.98,1211.15,9.65,2.2,6.44,2026-03-09,2026-03-09 07:30:58
1103,嘉泥,13.35,26.49,37.88,35.14,-0.1,-0.04,-0.06,14.42,13.95,13.47,692,507,1.36,87.94,31.79,0.55,4.12,2026-03-09,2026-03-09 07:30:59
1104,環泥,28.25,17.05,27.69,26.15,-0.31,-0.19,-0.13,30.53,29.54,28.56,1396,904,1.54,193.99,12.12,1.7,6.02,2026-03-09,2026-03-09 07:31:00
1108,幸福,14.9,28.67,45.34,38.89,0.0,0.03,-0.03,15.34,15.12,14.9,424,319,1.33,60.31,6.39,0.75,5.03,2026-03-09,2026-03-09 07:31:01
1109,信大,15.25,26.39,38.73,43.33,-0.01,0.02,-0.03,15.87,15.51,15.15,192,173,1.11,52.03,13.99,0.9,5.9,2026-03-09,2026-03-09 07:31:02
1110,東泥,15.9,41.38,43.9,43.86,-0.11,-0.05,-0.06,16.84,16.23,15.62,450,296,1.52,90.61,39.75,0.3,1.89,2026-03-09,2026-03-09 07:31:03
1201,味全,14.0,21.26,32.38,33.33,-0.08,-0.04,-0.04,14.75,14.43,14.11,698,421,1.66,70.85,25.0,0.5,3.57,2026-03-09,2026-03-09 07:31:03
1203,味王,38.75,29.45,39.98,44.9,0.03,0.18,-0.15,41.58,40.04,38.5,66,41,1.6,92.11,18.81,1.2,3.1,2026-03-09,2026-03-09 07:31:04
1210,大成,51.3,44.4,37.38,50.0,-0.14,-0.16,0.02,51.79,51.06,50.32,2479,1883,1.32,429.23,13.09,2.83,5.52,2026-03-09,2026-03-09 07:31:05
1213,大飲,9.35,32.47,33.95,38.26,-0.14,-0.11,-0.03,10.32,9.9,9.47,8,13,0.61,5.29,1.06,0.35,3.74,2026-03-09,2026-03-09 07:31:06
1215,卜蜂,159.0,84.42,82.79,67.24,3.36,2.52,0.84,160.97,152.03,143.08,1311,993,1.32,468.72,15.32,7.0,4.4,2026-03-09,2026-03-09 07:31:07
1216,統一,70.8,19.14,25.78,41.13,-0.73,-0.56,-0.17,75.23,72.83,70.44,14422,11446,1.26,4022.87,20.4,3.0,4.24,2026-03-09,2026-03-09 07:31:07
1217,愛之味,10.15,16.27,23.01,36.0,-0.07,-0.03,-0.04,10.74,10.46,10.19,647,757,0.85,50.19,37.59,0.37,3.65,2026-03-09,2026-03-09 07:31:08
1218,泰山,17.9,25.85,29.99,38.24,-0.08,-0.04,-0.03,18.48,18.15,17.83,1190,892,1.33,87.05,13.77,1.35,7.54,2026-03-09,2026-03-09 07:31:09
1219,福壽,13.9,54.52,47.74,65.22,0.02,0.01,0.01,13.78,13.56,13.34,1036,413,2.51,47.43,33.1,0.5,3.6,2026-03-09,2026-03-09 07:31:10
