股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,24.55,24.5,24.65,24.2,26.92,38.45,59.77,0.1,0.06,0.05,26.23,24.27,22.3,34011,20270,1.68,1888.68,15.11,1.0,4.07,2026-04-23,2026-04-23 09:12:38
1102,亞泥,36.05,35.65,36.1,35.5,64.44,56.37,60.87,0.17,0.13,0.05,36.22,35.31,34.4,16679,13257,1.26,1278.54,12.06,2.2,6.1,2026-04-23,2026-04-23 09:12:39
1103,嘉泥,13.6,13.8,13.8,13.5,37.09,53.52,41.38,0.02,0.02,-0.01,14.04,13.77,13.51,509,344,1.48,89.59,16.19,0.55,4.04,2026-04-23,2026-04-23 09:12:39
1104,環泥,28.8,29.15,29.15,28.6,22.92,27.36,30.95,-0.13,-0.09,-0.04,29.83,29.35,28.86,1143,854,1.34,,11.29,1.7,5.9,2026-04-23,2026-04-23 09:12:40
1108,幸福,14.6,14.75,14.75,14.55,24.95,35.92,33.33,-0.07,-0.06,-0.01,14.98,14.81,14.64,497,313,1.59,59.09,6.76,0.75,5.14,2026-04-23,2026-04-23 09:12:41
1109,信大,15.35,15.4,15.4,15.2,41.88,52.53,58.33,0.02,0.01,0.01,15.57,15.36,15.14,331,204,1.62,52.37,14.9,0.9,5.86,2026-04-23,2026-04-23 09:12:41
1110,東泥,14.75,15.1,15.2,14.75,31.67,53.65,47.5,-0.08,-0.09,0.01,16.06,15.25,14.44,254,171,1.48,84.06,40.97,0.3,2.03,2026-04-23,2026-04-23 09:12:42
1201,味全,13.05,13.1,13.1,12.9,21.91,22.66,32.0,-0.19,-0.19,-0.0,13.64,13.36,13.08,893,547,1.63,66.04,32.62,0.5,3.83,2026-04-23,2026-04-23 09:12:43
1203,味王,44.25,44.1,44.3,43.65,92.72,91.77,92.92,1.22,0.83,0.4,44.94,41.19,37.44,40,51,0.79,105.18,24.45,1.2,2.71,2026-04-23,2026-04-23 09:12:44
1210,大成,53.6,54.1,54.1,53.1,29.52,34.91,41.67,0.31,0.5,-0.19,55.21,54.41,53.61,3507,3065,1.14,448.48,12.41,2.83,5.28,2026-04-23,2026-04-23 09:12:44
1213,大飲,9.25,9.27,9.27,9.0,46.23,45.2,40.12,-0.16,-0.14,-0.02,9.94,9.45,8.96,3,27,0.12,5.24,,0.35,3.78,2026-04-23,2026-04-23 09:12:45
1215,卜蜂,140.0,142.0,142.0,138.5,29.26,42.89,55.17,-1.83,-2.03,0.2,146.97,141.85,136.73,1895,1198,1.58,412.71,13.49,7.0,5.0,2026-04-23,2026-04-23 09:12:46
1216,統一,71.9,71.5,72.2,71.3,46.61,57.84,50.0,0.17,0.14,0.03,73.41,72.12,70.82,13948,11592,1.2,4085.37,20.9,3.0,4.17,2026-04-23,2026-04-23 09:12:46
