股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,24.6,34.01,34.62,38.24,-0.14,0.04,-0.18,26.88,25.47,24.07,22465,26821,0.84,1892.52,15.14,1.0,4.07,2026-03-13,2026-03-15 07:31:29
1102,亞泥,34.8,46.35,37.56,37.68,-0.41,-0.41,-0.0,36.29,35.05,33.81,9427,9217,1.02,1234.2,9.83,2.2,6.32,2026-03-13,2026-03-15 07:31:30
1103,嘉泥,13.5,27.12,28.25,36.59,-0.13,-0.09,-0.04,14.37,13.83,13.29,357,382,0.93,88.93,32.14,0.55,4.07,2026-03-13,2026-03-15 07:31:31
1104,環泥,30.0,65.2,46.74,55.56,-0.14,-0.21,0.07,30.57,29.52,28.47,552,928,0.6,206.0,12.88,1.7,5.67,2026-03-13,2026-03-15 07:31:32
1108,幸福,15.2,53.73,43.64,52.0,0.0,0.01,-0.01,15.36,15.13,14.9,213,266,0.8,61.52,6.52,0.75,4.93,2026-03-13,2026-03-15 07:31:33
1109,信大,15.35,29.6,29.72,46.43,-0.04,-0.01,-0.03,15.87,15.49,15.11,174,151,1.15,52.37,14.9,0.9,5.86,2026-03-13,2026-03-15 07:31:34
1110,東泥,15.85,49.96,46.9,39.22,-0.14,-0.1,-0.04,16.85,16.17,15.49,217,236,0.92,90.33,39.62,0.3,1.89,2026-03-13,2026-03-15 07:31:35
1201,味全,14.05,39.6,35.01,36.67,-0.12,-0.08,-0.04,14.77,14.35,13.93,237,432,0.55,71.1,25.09,0.5,3.56,2026-03-13,2026-03-15 07:31:36
1203,味王,38.6,29.53,31.68,39.73,-0.28,-0.04,-0.24,41.76,39.89,38.02,52,43,1.22,91.75,18.74,1.2,3.11,2026-03-13,2026-03-15 07:31:37
1210,大成,52.9,70.73,60.65,65.31,0.2,-0.03,0.22,52.6,51.3,50.0,2320,2529,0.92,442.62,13.49,2.83,5.35,2026-03-13,2026-03-15 07:31:38
1213,大飲,9.8,63.38,53.36,50.34,-0.1,-0.11,0.01,10.24,9.85,9.46,13,7,1.67,5.55,1.11,0.35,3.57,2026-03-13,2026-03-15 07:31:39
1215,卜蜂,153.5,39.59,56.94,59.62,2.29,2.61,-0.32,161.75,153.22,144.7,725,957,0.76,452.5,14.79,7.0,4.56,2026-03-13,2026-03-15 07:31:40
1216,統一,70.0,6.3,12.04,36.29,-1.07,-0.82,-0.25,75.71,72.45,69.19,10858,10932,0.99,3977.41,20.35,3.0,4.29,2026-03-13,2026-03-15 07:31:41
1217,愛之味,10.25,26.02,24.16,39.29,-0.08,-0.06,-0.02,10.72,10.42,10.11,452,473,0.95,50.69,37.96,0.37,3.61,2026-03-13,2026-03-15 07:31:42
1218,泰山,19.15,75.65,58.6,68.63,0.11,0.0,0.11,18.92,18.25,17.58,2679,2075,1.29,93.13,14.73,1.35,7.05,2026-03-13,2026-03-15 07:31:43
1219,福壽,13.55,40.3,44.27,50.0,0.01,0.01,-0.0,13.79,13.57,13.34,154,443,0.35,46.24,32.26,0.5,3.69,2026-03-13,2026-03-15 07:31:44
1220,台榮,12.85,19.93,31.82,42.86,0.04,0.07,-0.03,13.28,12.98,12.68,142,251,0.57,22.67,51.4,0.7,5.45,2026-03-13,2026-03-15 07:31:45
1225,福懋油,32.55,46.09,55.59,65.81,1.05,0.88,0.18,34.57,30.66,26.75,534,1009,0.53,78.86,23.25,0.14,0.43,2026-03-13,2026-03-15 07:31:46
1227,佳格,29.65,43.1,39.99,52.78,-0.01,-0.01,-0.0,30.42,29.49,28.56,795,800,0.99,269.35,20.31,1.4,4.72,2026-03-13,2026-03-15 07:31:47
