股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,105.4,103.2,105.4,102.7,82.77,72.72,67.78,3.86,3.51,0.35,103.62,97.17,90.72,101963,108859,0.94,,34.49,,,2026-05-29,2026-05-29 10:55:18
0051,元大中型100,141.9,140.0,141.9,139.95,81.19,73.81,61.18,4.67,4.25,0.42,142.97,133.59,124.22,75,113,0.66,,27.91,,,2026-05-29,2026-05-29 10:55:19
0052,富邦科技,61.5,60.95,61.6,60.55,82.95,73.22,67.17,2.39,2.22,0.16,61.03,57.17,53.31,33137,36258,0.91,,35.9,,,2026-05-29,2026-05-29 10:55:20
0053,元大電子,241.2,240.8,242.0,239.05,84.19,77.18,64.68,9.77,9.15,0.62,241.17,224.61,208.05,28,27,1.04,,40.64,,,2026-05-29,2026-05-29 10:55:21
0055,元大MSCI金融,35.09,35.03,35.19,34.79,81.52,71.04,68.35,0.37,0.26,0.11,35.02,33.99,32.96,656,610,1.08,,14.17,,,2026-05-29,2026-05-29 10:55:22
0056,元大高股息,50.2,49.69,50.25,49.5,89.52,82.75,72.84,2.15,1.79,0.36,50.23,45.69,41.14,58088,58039,1.0,,20.07,,,2026-05-29,2026-05-29 10:55:22
0057,富邦摩台,309.6,306.95,309.6,306.35,84.7,74.96,65.68,11.11,10.46,0.65,307.51,289.47,271.44,80,64,1.24,,33.59,,,2026-05-29,2026-05-29 10:55:23
0061,元大寶滬深,25.2,24.98,25.28,24.98,51.37,39.21,50.54,0.2,0.24,-0.04,25.43,24.94,24.45,728,407,1.79,,20.63,,,2026-05-29,2026-05-29 10:55:24
1101,台泥,24.4,24.1,24.4,23.9,37.15,28.2,34.85,-0.16,-0.12,-0.04,25.46,24.43,23.41,49191,35842,1.37,1828.34,16.42,1.0,4.1,2026-05-29,2026-05-29 10:55:25
1102,亞泥,34.0,32.6,34.0,32.6,24.62,19.68,45.39,-0.48,-0.33,-0.15,36.0,34.42,32.83,205159,57538,3.57,1205.83,11.37,2.2,6.47,2026-05-29,2026-05-29 10:55:26
1103,嘉泥,13.45,13.25,13.45,13.2,84.41,67.68,50.0,-0.08,-0.13,0.05,13.56,13.21,12.86,409,359,1.14,88.6,16.01,0.55,4.09,2026-05-29,2026-05-29 10:55:27
1104,環泥,27.45,27.2,27.6,27.2,32.33,26.04,27.03,-0.39,-0.4,0.01,28.62,27.76,26.9,732,793,0.92,,10.76,1.7,6.19,2026-05-29,2026-05-29 10:55:28
1108,幸福,13.7,13.6,13.75,13.6,35.74,22.53,20.0,-0.29,-0.28,-0.01,14.87,14.0,13.13,280,304,0.92,55.45,6.34,0.75,5.47,2026-05-29,2026-05-29 10:55:29
1109,信大,14.6,14.45,14.6,14.45,41.62,26.22,23.53,-0.24,-0.21,-0.04,15.79,14.93,14.08,108,183,0.59,49.81,14.17,0.9,6.16,2026-05-29,2026-05-29 10:55:30
1110,東泥,14.6,14.1,14.6,14.1,47.54,28.23,36.36,-0.27,-0.29,0.02,15.45,14.5,13.55,267,260,1.03,83.29,40.56,0.3,2.05,2026-05-29,2026-05-29 10:55:31
1201,味全,12.1,12.0,12.25,12.0,40.14,37.55,44.44,-0.23,-0.28,0.05,12.43,12.16,11.9,314,598,0.53,61.23,30.25,0.5,4.13,2026-05-29,2026-05-29 10:55:32
1203,味王,43.55,43.0,44.0,43.0,76.09,65.43,46.34,0.17,0.14,0.03,44.46,42.72,40.98,21,26,0.81,103.52,24.06,1.2,2.76,2026-05-29,2026-05-29 10:55:32
1210,大成,52.6,51.9,52.6,51.7,21.81,22.37,53.33,-0.33,-0.3,-0.02,53.36,52.46,51.57,2670,2326,1.15,440.11,12.18,3.0,5.7,2026-05-29,2026-05-29 10:55:33
1213,大飲,8.31,8.41,8.41,8.17,33.05,34.72,34.25,-0.25,-0.23,-0.01,9.17,8.59,8.02,16,26,0.6,4.71,,0.35,4.21,2026-05-29,2026-05-29 10:55:34
1215,卜蜂,125.0,128.0,128.0,123.5,33.72,51.82,46.72,-1.19,-0.66,-0.53,139.02,131.85,124.68,2523,3327,0.76,368.49,12.04,7.0,5.6,2026-05-29,2026-05-29 10:55:35
1216,統一,71.8,71.6,73.1,70.8,18.49,20.73,40.87,-0.16,0.14,-0.3,76.7,72.25,67.8,38315,22621,1.69,4079.69,20.87,3.0,4.18,2026-05-29,2026-05-29 10:55:36
1217,愛之味,9.72,9.72,9.74,9.62,55.32,42.74,54.84,-0.08,-0.12,0.04,9.87,9.58,9.29,498,774,0.64,48.07,23.14,0.25,2.57,2026-05-29,2026-05-29 10:55:37
1218,泰山,18.75,18.65,18.85,18.6,47.8,34.01,38.89,-0.11,-0.12,0.0,19.17,18.7,18.23,907,797,1.14,91.18,14.42,1.35,7.2,2026-05-29,2026-05-29 10:55:38
