股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,93.5,93.4,96.0,92.0,22.39,32.02,28.11,-2.01,-0.75,-1.25,111.0,102.65,94.3,297681,275546,1.08,,28.35,,,2026-07-30,2026-07-30 07:30:50
0051,元大中型100,124.45,126.6,127.85,123.4,18.35,29.09,26.98,-3.69,-1.81,-1.88,153.18,139.45,125.72,119,103,1.15,,20.81,,,2026-07-30,2026-07-30 07:30:51
0052,富邦科技,54.3,53.8,55.85,53.5,20.44,29.73,26.95,-1.39,-0.59,-0.79,65.75,60.23,54.71,34885,35390,0.99,,29.39,,,2026-07-30,2026-07-30 07:30:52
0053,元大電子,206.7,204.1,213.05,203.8,18.63,29.74,30.92,-6.45,-3.24,-3.21,254.46,231.07,207.68,173,59,2.9,,30.38,,,2026-07-30,2026-07-30 07:30:53
0055,元大MSCI金融,42.51,42.08,42.51,41.4,59.51,60.45,48.77,0.5,0.64,-0.15,43.24,42.35,41.45,240,401,0.6,,17.09,,,2026-07-30,2026-07-30 07:30:54
0056,元大高股息,46.29,46.18,47.58,45.84,24.6,37.62,29.55,-0.57,-0.02,-0.55,53.22,50.1,46.98,75707,79300,0.95,,18.11,,,2026-07-30,2026-07-30 07:30:56
0057,富邦摩台,280.45,282.8,285.4,279.3,20.4,30.32,31.11,-6.02,-2.26,-3.76,331.88,306.38,280.88,41,20,2.04,,28.19,,,2026-07-30,2026-07-30 07:30:57
0061,元大寶滬深,24.19,24.41,24.73,24.11,37.88,47.95,41.84,-0.14,-0.08,-0.06,25.57,24.86,24.14,134,236,0.57,,19.81,,,2026-07-30,2026-07-30 07:30:58
1101,台泥,24.05,24.45,24.5,24.0,60.38,70.47,63.92,0.24,0.15,0.09,24.84,23.64,22.45,26723,33981,0.79,1802.11,17.91,0.8,3.33,2026-07-30,2026-07-30 07:30:59
1102,亞泥,33.2,33.0,33.4,32.75,56.22,52.38,48.64,-0.01,0.0,-0.01,34.17,33.08,31.99,11165,9080,1.23,1177.46,11.1,2.3,6.93,2026-07-30,2026-07-30 07:31:00
1103,嘉泥,13.15,13.35,13.35,13.15,49.59,58.16,59.22,0.07,0.05,0.02,13.37,13.09,12.81,526,753,0.7,86.63,16.65,0.52,3.95,2026-07-30,2026-07-30 07:31:01
