股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間,交易日
1304,台聚,10.75,24.88,48.2,K<D,44.38,0.12,0.19,-0.07,DIF<MACD,12.58,11.64,10.71,11.33,4751,8115,0.61,118.49,,0.2,1.81,2026-02-03 23:24:12,
1305,華夏,11.47,24.88,46.51,K<D,49.04,0.2,0.26,-0.07,DIF<MACD,12.92,11.93,10.94,21.86,2341,5189,0.94,66.24,,0.15,1.32,2026-02-03 23:24:13,
1307,三芳,30.44,27.8,43.17,K<D,37.07,-0.22,-0.11,-0.11,DIF<MACD,33.07,31.98,30.89,9.41,525,781,0.78,123.52,10.53,2.7,8.7,2026-02-03 23:24:14,
1308,亞聚,12.66,25.16,42.81,K<D,35.31,0.05,0.13,-0.07,DIF<MACD,14.42,13.64,12.86,0.61,1240,2688,0.33,77.19,48.15,0.25,1.92,2026-02-03 23:24:15,
1309,台達化,12.07,27.36,41.63,K<D,47.59,0.16,0.21,-0.05,DIF<MACD,12.72,11.93,11.14,47.39,904,1903,0.75,46.72,,0.2,1.7,2026-02-03 23:24:16,
1310,台苯,9.08,41.83,47.07,K<D,44.74,0.05,0.06,-0.01,DIF<MACD,9.21,8.91,8.6,42.5,1577,2790,0.24,46.61,33.96,,,2026-02-03 23:24:18,
1312,國喬,12.88,33.87,42.4,K<D,45.2,0.34,0.46,-0.12,DIF<MACD,14.2,13.09,11.99,31.73,5790,8705,0.55,145.11,19.17,,,2026-02-03 23:24:19,
1313,聯成,10.08,37.36,53.12,K<D,50.43,0.1,0.14,-0.03,DIF<MACD,11.47,10.63,9.78,31.37,3406,5998,0.42,135.75,,0.15,1.47,2026-02-03 23:24:20,
1314,中石化,7.65,20.83,23.74,K<D,41.54,-0.01,0.02,-0.03,DIF<MACD,8.4,8.11,7.81,0.0,12952,22258,0.51,296.73,4.51,,,2026-02-03 23:24:21,
1315,達新,65.11,38.31,41.0,K<D,58.07,0.02,0.04,-0.02,DIF<MACD,65.12,64.34,63.55,53.64,7,17,0.7,61.52,39.27,4.5,6.99,2026-02-03 23:24:22,
1316,上曜,13.65,12.73,19.46,K<D,19.16,-0.32,-0.28,-0.05,DIF<MACD,15.02,14.32,13.63,7.8,1686,2360,0.69,46.49,62.27,,,2026-02-03 23:24:23,
1319,東陽,108.48,44.31,48.26,K<D,64.64,3.62,3.65,-0.03,DIF<MACD,119.82,105.57,91.32,75.67,2329,3411,0.97,656.54,17.0,5.3,4.77,2026-02-03 23:24:25,
1321,大洋,33.19,30.24,36.44,K<D,32.91,-0.47,-0.44,-0.03,DIF<MACD,35.26,33.92,32.59,28.57,98,165,0.67,73.27,,0.38,1.14,2026-02-03 23:24:26,
1323,永裕,18.13,35.96,46.05,K<D,42.58,-0.17,-0.16,-0.01,DIF<MACD,19.5,18.94,18.39,19.24,31,59,0.37,17.02,186.5,0.9,4.83,2026-02-03 23:24:27,
1324,地球,10.86,24.41,28.81,K<D,34.37,-0.02,0.05,-0.07,DIF<MACD,11.49,11.03,10.58,11.22,43,45,1.27,7.96,,0.2,1.89,2026-02-03 23:24:28,
1325,恆大,29.71,30.77,42.9,K<D,47.53,0.17,0.05,0.12,DIF>MACD,33.66,30.38,27.1,38.99,1221,3457,0.1,25.71,,0.3,1.0,2026-02-03 23:24:29,
1326,台化,39.78,56.71,72.18,K<D,69.13,2.34,1.86,0.48,DIF>MACD,44.47,36.15,27.83,77.0,24312,63674,0.1,2304.51,44.73,0.5,1.27,2026-02-03 23:24:30,
1337,再生-KY,5.43,40.83,55.13,K<D,60.1,0.21,0.19,0.02,DIF>MACD,6.21,5.28,4.34,70.82,1115,1682,0.66,14.77,,,,2026-02-03 23:24:32,
1338,廣華-KY,19.72,10.16,12.06,K<D,46.02,-0.14,-0.06,-0.09,DIF<MACD,21.15,20.32,19.49,6.24,106,111,0.72,15.91,2.29,0.78,3.96,2026-02-03 23:24:33,
