股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,25.15,36.61,47.52,41.33,0.13,0.34,-0.21,26.92,25.85,24.78,19770,35900,0.55,1934.84,17.44,1.0,3.98,2026-03-06,2026-03-06 08:14:43
1102,亞泥,34.45,24.21,39.35,41.27,-0.39,-0.33,-0.06,36.22,35.21,34.2,6974,9784,0.71,1221.79,9.73,2.2,6.39,2026-03-06,2026-03-06 08:14:44
1103,嘉泥,13.8,37.11,43.57,41.94,-0.06,-0.02,-0.04,14.4,13.99,13.58,250,412,0.61,90.91,32.86,0.55,3.99,2026-03-06,2026-03-06 08:14:45
1104,環泥,28.9,20.14,33.02,32.08,-0.24,-0.16,-0.08,30.43,29.63,28.83,656,755,0.87,198.45,12.4,1.7,5.88,2026-03-06,2026-03-06 08:14:46
1108,幸福,15.1,38.46,53.67,50.0,0.02,0.04,-0.02,15.33,15.13,14.93,241,289,0.83,61.12,6.48,0.75,4.97,2026-03-06,2026-03-06 08:14:47
1109,信大,15.5,31.25,44.89,53.85,0.02,0.03,-0.01,15.86,15.52,15.19,112,148,0.76,52.88,14.22,0.9,5.81,2026-03-06,2026-03-06 08:14:48
1110,東泥,16.0,35.61,45.16,43.86,-0.1,-0.04,-0.06,16.83,16.24,15.65,185,240,0.77,91.18,40.0,0.3,1.88,2026-03-06,2026-03-06 08:14:49
1201,味全,14.35,31.89,37.94,48.28,-0.05,-0.03,-0.02,14.72,14.46,14.2,251,352,0.71,72.62,25.62,0.5,3.48,2026-03-06,2026-03-06 08:14:50
1203,味王,39.8,29.74,45.24,49.62,0.16,0.22,-0.06,41.51,40.1,38.68,20,33,0.61,94.61,19.32,1.2,3.02,2026-03-06,2026-03-06 08:14:51
1210,大成,51.3,34.24,33.87,53.06,-0.17,-0.16,-0.01,51.82,51.07,50.31,1493,1670,0.89,429.23,13.09,2.83,5.52,2026-03-06,2026-03-06 08:14:52
1213,大飲,9.86,45.14,34.68,46.15,-0.1,-0.1,-0.0,10.28,9.94,9.59,4,13,0.3,5.58,1.12,0.35,3.55,2026-03-06,2026-03-06 08:14:53
1215,卜蜂,163.5,90.69,81.97,78.0,3.26,2.3,0.95,159.97,151.65,143.33,1079,918,1.18,481.98,16.01,7.0,4.28,2026-03-06,2026-03-06 08:14:54
1216,統一,71.9,20.86,29.11,49.3,-0.61,-0.5,-0.1,75.13,72.93,70.73,8985,11077,0.81,4085.37,20.72,3.0,4.17,2026-03-06,2026-03-06 08:14:55
1217,愛之味,10.4,24.41,26.37,45.0,-0.05,-0.02,-0.03,10.72,10.49,10.25,336,721,0.47,51.43,38.52,0.37,3.56,2026-03-06,2026-03-06 08:14:56
1218,泰山,18.1,27.23,32.06,46.87,-0.06,-0.04,-0.03,18.54,18.19,17.84,435,780,0.56,88.02,13.92,1.35,7.46,2026-03-06,2026-03-06 08:14:57
1219,福壽,13.5,35.63,44.35,50.0,-0.01,0.01,-0.02,13.69,13.54,13.39,151,275,0.55,46.07,32.14,0.5,3.7,2026-03-06,2026-03-06 08:14:58
1220,台榮,12.9,39.45,56.12,52.17,0.08,0.1,-0.02,13.23,12.95,12.66,94,99,0.95,22.76,51.6,0.7,5.43,2026-03-06,2026-03-06 08:14:59
1225,福懋油,32.8,70.44,73.95,76.47,0.91,0.48,0.43,32.88,29.56,26.25,503,913,0.55,79.46,23.43,0.14,0.43,2026-03-06,2026-03-06 08:15:00
1227,佳格,29.6,41.76,54.31,62.32,0.03,-0.01,0.04,30.44,29.39,28.34,512,744,0.69,268.89,20.27,1.4,4.73,2026-03-06,2026-03-06 08:15:01
