股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,90.75,90.7,91.5,90.0,79.42,85.99,82.04,3.87,3.01,0.86,95.08,83.1,71.13,103585,134978,0.77,,29.7,,,2026-04-29,2026-04-29 08:28:54
0051,元大中型100,125.55,125.4,126.05,124.8,73.66,77.5,87.37,4.09,3.63,0.46,131.08,118.09,105.09,62,116,0.54,,24.69,,,2026-04-29,2026-04-29 08:28:55
0052,富邦科技,53.05,52.9,53.55,52.55,78.13,85.83,79.57,2.38,1.83,0.56,55.77,48.32,40.87,52041,72841,0.71,,30.96,,,2026-04-29,2026-04-29 08:28:55
0053,元大電子,207.45,207.0,210.15,206.25,82.54,87.84,80.92,10.11,8.12,1.99,219.83,188.84,157.84,39,37,1.05,,34.95,,,2026-04-29,2026-04-29 08:28:56
0055,元大MSCI金融,33.5,33.34,33.69,33.34,51.2,50.27,56.58,0.18,0.17,0.01,33.93,33.09,32.26,368,285,1.29,,13.53,,,2026-04-29,2026-04-29 08:28:57
0056,元大高股息,40.93,41.06,41.08,40.71,63.47,73.24,76.88,0.92,0.78,0.14,42.62,39.34,36.06,41431,100721,0.41,,16.36,,,2026-04-29,2026-04-29 08:28:58
0057,富邦摩台,269.65,268.3,272.45,267.95,79.31,85.85,81.34,11.6,9.12,2.48,282.47,246.98,211.49,69,42,1.64,,29.26,,,2026-04-29,2026-04-29 08:28:58
0061,元大寶滬深,24.27,24.21,24.27,24.09,58.04,66.54,81.16,0.23,0.19,0.04,24.81,23.81,22.81,154,310,0.5,,19.87,,,2026-04-29,2026-04-29 08:28:59
1101,台泥,24.5,24.7,24.7,24.4,26.53,27.01,38.89,0.02,0.03,-0.02,25.86,24.59,23.33,22967,27014,0.85,1884.83,15.08,1.0,4.08,2026-04-29,2026-04-29 08:29:00
1102,亞泥,35.4,35.5,35.65,35.25,43.23,50.72,43.24,0.12,0.14,-0.02,36.1,35.47,34.83,7662,10037,0.76,1255.48,11.84,2.2,6.21,2026-04-29,2026-04-29 08:29:01
1103,嘉泥,13.5,13.6,13.65,13.5,21.72,28.15,42.86,-0.06,-0.01,-0.04,14.08,13.74,13.39,188,367,0.51,88.93,16.07,0.55,4.07,2026-04-29,2026-04-29 08:29:01
1104,環泥,28.6,28.5,28.8,28.3,24.36,21.59,36.36,-0.24,-0.16,-0.08,29.82,29.12,28.42,308,846,0.36,196.39,11.22,1.7,5.94,2026-04-29,2026-04-29 08:29:02
1108,幸福,14.65,14.65,14.65,14.5,25.67,23.05,40.0,-0.1,-0.08,-0.01,14.98,14.75,14.51,89,231,0.39,59.29,6.78,0.75,5.12,2026-04-29,2026-04-29 08:29:03
1109,信大,15.45,15.5,15.5,15.4,59.97,55.31,50.0,0.02,0.02,0.01,15.58,15.4,15.23,68,175,0.39,52.71,15.0,0.9,5.83,2026-04-29,2026-04-29 08:29:04
1110,東泥,15.6,15.15,15.85,15.05,40.44,36.12,52.94,-0.09,-0.1,0.02,16.06,15.21,14.36,325,218,1.49,88.9,43.33,0.3,1.92,2026-04-29,2026-04-29 08:29:04
1201,味全,12.65,12.8,12.85,12.65,15.25,17.59,18.18,-0.27,-0.23,-0.04,13.79,13.22,12.65,384,597,0.64,64.02,31.62,0.5,3.95,2026-04-29,2026-04-29 08:29:05
1203,味王,43.45,44.1,44.1,43.45,63.36,76.42,75.91,1.13,1.03,0.09,45.73,42.03,38.33,19,23,0.84,103.28,24.01,1.2,2.76,2026-04-29,2026-04-29 08:29:06
1210,大成,53.7,54.2,54.3,53.5,36.12,32.0,45.07,0.1,0.28,-0.18,55.34,54.31,53.28,1278,1997,0.64,449.31,12.43,2.83,5.27,2026-04-29,2026-04-29 08:29:07
1213,大飲,8.84,8.5,8.84,8.5,38.96,36.85,23.93,-0.21,-0.17,-0.04,9.74,9.27,8.81,10,32,0.31,5.01,,0.35,3.96,2026-04-29,2026-04-29 08:29:08
1215,卜蜂,140.0,139.0,141.5,139.0,26.15,28.28,46.15,-1.95,-1.98,0.03,145.97,141.12,136.28,910,1351,0.67,412.71,13.49,7.0,5.0,2026-04-29,2026-04-29 08:29:09
1216,統一,70.0,70.5,70.6,69.8,15.34,27.77,34.37,-0.26,0.0,-0.26,73.7,71.95,70.2,15226,11725,1.3,3977.41,20.35,3.0,4.29,2026-04-29,2026-04-29 08:29:10
1217,愛之味,9.93,9.98,10.05,9.91,16.31,31.82,40.22,-0.02,-0.01,-0.01,10.17,10.05,9.94,890,880,1.01,49.11,23.64,0.25,2.52,2026-04-29,2026-04-29 08:29:10
1218,泰山,19.0,19.0,19.05,18.9,45.75,34.5,37.04,-0.02,0.04,-0.05,19.67,19.17,18.67,771,801,0.96,92.4,14.62,1.35,7.11,2026-04-29,2026-04-29 08:29:11
1219,福壽,13.5,13.55,13.65,13.5,19.64,23.03,41.18,-0.05,0.05,-0.1,14.63,13.98,13.32,219,487,0.45,46.07,30.0,0.5,3.7,2026-04-29,2026-04-29 08:29:12
1220,台榮,12.4,12.6,12.6,12.4,16.43,26.42,45.0,-0.07,-0.06,-0.01,12.79,12.54,12.29,63,72,0.87,21.87,155.0,0.7,5.65,2026-04-29,2026-04-29 08:29:13
1225,福懋油,32.85,31.9,32.85,31.4,38.68,37.83,52.44,0.12,0.34,-0.22,34.63,32.67,30.72,218,380,0.57,79.59,20.28,0.14,0.43,2026-04-29,2026-04-29 08:29:13
1227,佳格,29.2,29.25,29.3,29.1,16.17,17.32,35.94,-0.21,-0.07,-0.14,31.18,30.02,28.86,352,1004,0.35,265.26,21.95,1.4,4.79,2026-04-29,2026-04-29 08:29:14
1229,聯華,41.9,42.2,42.2,41.75,13.35,12.49,19.1,-0.68,-0.43,-0.25,46.01,43.81,41.62,1750,3544,0.49,749.47,16.3,1.3,3.1,2026-04-29,2026-04-29 08:29:15
1231,聯華食,87.6,87.5,88.0,86.8,25.44,18.34,27.18,-0.93,-0.51,-0.42,94.51,90.0,85.5,189,376,0.5,261.45,22.99,1.6,1.83,2026-04-29,2026-04-29 08:29:15
1232,大統益,149.0,150.0,150.0,148.5,33.49,37.11,38.46,-0.09,0.05,-0.14,150.97,149.78,148.58,51,93,0.55,238.36,18.08,7.0,4.7,2026-04-29,2026-04-29 08:29:16
1233,天仁,29.05,29.2,29.2,29.05,35.84,30.21,44.9,-0.43,-0.5,0.08,29.82,28.99,28.17,18,21,0.85,26.3,38.73,0.95,3.27,2026-04-29,2026-04-29 08:29:17
1234,黑松,35.25,35.3,35.35,35.25,13.8,22.22,32.35,-0.23,-0.17,-0.06,36.42,35.78,35.15,115,176,0.65,141.66,17.62,1.65,4.68,2026-04-29,2026-04-29 08:29:18
