股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,22.8,18.74,27.6,22.81,-0.47,-0.23,-0.24,27.06,24.99,22.92,35145,33761,1.04,1754.05,14.04,1.0,4.39,2026-03-23,2026-03-23 08:31:46
1102,亞泥,34.2,44.59,50.23,38.82,-0.34,-0.37,0.03,36.02,34.78,33.54,9507,8932,1.06,1212.92,11.44,2.2,6.43,2026-03-23,2026-03-23 08:31:47
1103,嘉泥,13.5,52.67,49.46,38.64,-0.11,-0.11,0.0,14.27,13.72,13.16,383,233,1.64,88.93,16.07,0.55,4.07,2026-03-23,2026-03-23 08:31:48
1104,環泥,29.2,46.38,56.51,44.05,-0.11,-0.12,0.0,30.54,29.47,28.39,624,742,0.84,200.51,12.53,1.7,5.82,2026-03-23,2026-03-23 08:31:48
1108,幸福,14.8,22.66,36.75,36.67,-0.05,-0.01,-0.03,15.4,15.08,14.77,175,618,0.28,59.9,6.35,0.75,5.07,2026-03-23,2026-03-23 08:31:49
1109,信大,15.15,34.31,44.68,32.0,-0.06,-0.04,-0.02,15.89,15.47,15.04,194,219,0.89,51.69,14.71,0.9,5.94,2026-03-23,2026-03-23 08:31:50
1110,東泥,14.9,28.16,41.46,29.09,-0.27,-0.18,-0.09,16.86,15.9,14.94,493,289,1.7,84.91,41.39,0.3,2.01,2026-03-23,2026-03-23 08:31:51
1201,味全,13.45,16.45,24.59,19.35,-0.22,-0.15,-0.06,14.83,14.14,13.46,718,644,1.12,68.07,33.62,0.5,3.72,2026-03-23,2026-03-23 08:31:51
1203,味王,38.4,36.28,40.85,22.92,-0.38,-0.28,-0.11,41.8,39.56,37.33,14,14,0.98,91.28,18.64,1.2,3.12,2026-03-23,2026-03-23 08:31:52
1210,大成,54.0,79.64,78.02,71.88,0.66,0.42,0.24,54.6,52.1,49.6,2309,2432,0.95,451.82,12.5,2.83,5.24,2026-03-23,2026-03-23 08:31:53
1213,大飲,9.97,87.77,79.39,49.8,-0.03,-0.07,0.04,10.13,9.81,9.48,11,15,0.73,5.65,,0.35,3.51,2026-03-23,2026-03-23 08:31:54
1215,卜蜂,147.5,13.23,20.84,33.96,0.03,1.25,-1.22,161.5,153.65,145.8,511,657,0.78,434.82,14.21,7.0,4.75,2026-03-23,2026-03-23 08:31:54
