股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,25.0,48.49,60.33,37.84,0.3,0.45,-0.15,26.86,25.97,25.08,50237,33725,1.49,1873.3,17.33,1.0,4.0,2026-03-04,2026-03-04 16:28:35
1102,亞泥,34.45,40.3,56.07,47.95,-0.3,-0.31,0.02,36.27,35.36,34.44,10352,11197,0.92,1221.79,9.73,2.2,6.39,2026-03-04,2026-03-04 16:28:37
1103,嘉泥,13.5,41.3,53.32,32.26,-0.03,0.01,-0.04,14.39,14.03,13.68,924,503,1.83,88.93,32.14,0.55,4.07,2026-03-04,2026-03-04 16:28:39
1104,環泥,28.8,33.71,46.93,40.0,-0.15,-0.12,-0.03,30.42,29.75,29.08,1266,922,1.37,197.76,12.36,1.7,5.9,2026-03-04,2026-03-04 16:28:40
1108,幸福,14.95,50.42,71.4,46.15,0.04,0.05,-0.01,15.33,15.13,14.94,618,297,2.08,60.51,6.42,0.75,5.02,2026-03-04,2026-03-04 16:28:41
1109,信大,15.4,45.31,61.28,48.0,0.05,0.04,0.01,15.86,15.52,15.19,216,145,1.49,52.54,14.13,0.9,5.84,2026-03-04,2026-03-04 16:28:42
1110,東泥,15.5,36.37,58.62,42.86,-0.06,-0.01,-0.05,16.82,16.28,15.74,244,225,1.08,88.33,38.75,0.3,1.94,2026-03-04,2026-03-04 16:28:44
1201,味全,14.2,35.22,47.13,42.86,-0.03,-0.02,-0.01,14.7,14.48,14.26,684,463,1.48,71.86,25.36,0.5,3.52,2026-03-04,2026-03-04 16:28:46
1203,味王,39.9,48.83,61.14,54.61,0.3,0.24,0.06,41.52,40.08,38.65,39,38,1.04,94.84,19.37,1.2,3.01,2026-03-04,2026-03-04 16:28:47
1210,大成,50.4,31.21,40.13,46.51,-0.16,-0.13,-0.03,52.08,51.18,50.28,2653,1713,1.55,421.7,12.86,2.83,5.62,2026-03-04,2026-03-04 16:28:49
1213,大飲,9.5,19.53,26.64,38.0,-0.12,-0.1,-0.03,10.36,9.97,9.58,32,13,2.45,5.38,1.08,0.35,3.68,2026-03-04,2026-03-04 16:28:50
1215,卜蜂,156.5,84.61,73.4,71.79,2.46,2.04,0.43,156.06,150.65,145.24,1455,1030,1.41,461.35,15.34,7.0,4.47,2026-03-04,2026-03-04 16:28:52
1216,統一,71.6,26.88,40.22,50.0,-0.42,-0.46,0.04,75.08,73.1,71.12,11740,14528,0.81,4068.32,20.63,3.0,4.19,2026-03-04,2026-03-04 16:28:53
1217,愛之味,10.2,18.56,31.82,38.89,-0.04,-0.0,-0.03,10.78,10.52,10.27,1206,994,1.21,50.44,37.78,0.37,3.63,2026-03-04,2026-03-04 16:28:55
1218,泰山,17.85,28.58,40.9,41.38,-0.05,-0.02,-0.03,18.63,18.24,17.86,1598,957,1.67,86.81,13.73,1.35,7.56,2026-03-04,2026-03-04 16:28:56
1219,福壽,13.4,41.28,57.44,41.67,0.01,0.02,-0.01,13.67,13.54,13.41,506,306,1.66,45.73,31.9,0.5,3.73,2026-03-04,2026-03-04 16:28:58
1220,台榮,12.9,60.98,72.65,52.17,0.11,0.11,0.0,13.25,12.93,12.6,199,149,1.33,22.76,51.6,0.7,5.43,2026-03-04,2026-03-04 16:28:59
