股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間,交易日
1101,台泥,25.6,47.79,60.68,K<D,57.3,0.75,0.83,-0.08,DIF<MACD,27.3,25.41,23.52,55.0,33297,39364,0.85,1918.25,16.75,1.0,3.91,2026-02-03 23:23:37,
1102,亞泥,34.4,4.51,9.44,K<D,20.48,-0.61,-0.45,-0.16,DIF<MACD,38.02,36.12,34.23,4.6,6763,8303,0.81,1220.02,9.72,2.2,6.4,2026-02-03 23:23:39,
1103,嘉泥,13.9,39.03,56.01,K<D,42.86,0.05,0.06,-0.01,DIF<MACD,14.31,14.05,13.78,22.1,297,364,0.82,91.57,33.1,0.55,3.96,2026-02-03 23:23:40,
1104,環泥,29.55,23.88,23.64,黃金交叉,29.17,-0.18,-0.13,-0.05,DIF<MACD,30.68,30.03,29.37,13.5,311,555,0.56,202.91,12.68,1.7,5.75,2026-02-03 23:23:41,
1108,幸福,15.05,29.96,34.06,K<D,50.0,0.03,0.04,-0.01,DIF<MACD,15.23,15.05,14.87,50.7,111,167,0.67,60.91,6.46,0.75,4.98,2026-02-03 23:23:42,
1109,信大,15.35,44.41,51.19,K<D,40.0,-0.02,-0.02,-0.0,DIF<MACD,15.55,15.45,15.35,1.2,90,109,0.82,52.37,14.08,0.9,5.86,2026-02-03 23:23:44,
1110,東泥,16.15,26.27,21.23,黃金交叉,44.83,-0.09,-0.06,-0.03,DIF<MACD,16.67,16.33,15.99,23.9,114,172,0.66,92.04,40.38,0.3,1.86,2026-02-03 23:23:45,
1201,味全,14.35,41.39,53.84,K<D,46.15,-0.05,-0.05,0.01,DIF>MACD,14.64,14.46,14.28,18.8,186,263,0.71,72.62,25.62,0.5,3.48,2026-02-03 23:23:46,
1203,味王,39.6,35.59,40.59,K<D,50.0,-0.04,-0.02,-0.02,DIF<MACD,39.97,39.62,39.26,47.9,10,10,0.95,94.13,19.22,1.2,3.03,2026-02-03 23:23:47,
1210,大成,50.7,17.01,26.2,K<D,34.29,-0.15,0.01,-0.16,DIF<MACD,52.84,51.72,50.6,4.3,1520,1959,0.78,424.21,12.93,2.83,5.58,2026-02-03 23:23:48,
1213,大飲,9.84,47.62,58.01,K<D,48.42,-0.09,-0.08,-0.01,DIF<MACD,10.38,10.08,9.79,8.9,21,12,1.63,5.57,1.12,0.35,3.56,2026-02-03 23:23:49,
1215,卜蜂,148.5,23.02,32.22,K<D,50.0,2.54,3.04,-0.5,DIF<MACD,159.1,148.2,137.3,51.4,505,596,0.85,437.76,14.56,4.5,3.03,2026-02-03 23:23:50,
1216,統一,72.5,15.17,9.38,黃金交叉,24.14,-1.15,-0.92,-0.24,DIF<MACD,77.08,74.17,71.26,21.3,6171,9195,0.67,4119.46,20.89,3.0,4.14,2026-02-03 23:23:51,
1217,愛之味,10.45,18.03,31.16,K<D,43.75,0.01,0.04,-0.02,DIF<MACD,10.77,10.56,10.35,24.2,230,547,0.42,51.68,38.7,0.37,3.54,2026-02-03 23:23:53,
1218,泰山,18.15,25.04,37.81,K<D,42.31,0.02,0.06,-0.04,DIF<MACD,18.63,18.34,18.05,16.7,645,525,1.23,88.27,13.96,1.35,7.44,2026-02-03 23:23:54,
1219,福壽,13.5,58.7,53.49,K>D,43.75,-0.0,-0.01,0.01,DIF>MACD,13.66,13.49,13.31,53.5,126,238,0.53,46.07,32.14,0.5,3.7,2026-02-03 23:23:55,
1220,台榮,12.85,67.36,67.44,K<D,61.54,0.08,0.07,0.01,DIF>MACD,13.07,12.72,12.37,68.6,64,139,0.46,22.67,51.4,0.7,5.45,2026-02-03 23:23:56,
