股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,22.8,14.49,17.09,32.56,-0.67,-0.46,-0.2,26.41,24.27,22.14,13354,25669,0.52,1754.05,14.04,1.0,4.39,2026-03-27,2026-03-29 07:31:14
1102,亞泥,34.55,50.96,48.77,55.41,-0.23,-0.28,0.05,35.33,34.55,33.77,10874,8866,1.23,1225.34,11.56,2.2,6.37,2026-03-27,2026-03-29 07:31:15
1103,嘉泥,13.75,77.64,68.07,65.38,-0.06,-0.1,0.03,13.99,13.63,13.27,82,186,0.44,90.58,16.37,0.55,4.0,2026-03-27,2026-03-29 07:31:16
1104,環泥,29.7,62.9,57.98,73.02,-0.04,-0.08,0.05,30.31,29.38,28.45,956,506,1.89,203.94,11.65,1.7,5.72,2026-03-27,2026-03-29 07:31:17
1108,幸福,14.85,20.0,24.82,48.0,-0.06,-0.04,-0.02,15.31,15.01,14.72,97,141,0.69,60.1,6.37,0.75,5.05,2026-03-27,2026-03-29 07:31:17
1109,信大,15.2,24.94,31.68,46.67,-0.07,-0.06,-0.02,15.65,15.36,15.06,262,176,1.49,51.86,14.76,0.9,5.92,2026-03-27,2026-03-29 07:31:18
1110,東泥,15.35,41.5,35.91,36.59,-0.28,-0.25,-0.03,16.44,15.62,14.8,14,202,0.07,87.48,42.64,0.3,1.95,2026-03-27,2026-03-29 07:31:19
1201,味全,13.4,18.72,19.95,20.0,-0.26,-0.21,-0.05,14.6,13.91,13.23,233,381,0.61,67.81,33.5,0.5,3.73,2026-03-27,2026-03-29 07:31:19
1203,味王,39.55,60.45,50.04,61.11,-0.19,-0.27,0.08,40.88,39.2,37.52,27,27,0.98,94.01,21.85,1.2,3.03,2026-03-27,2026-03-29 07:31:20
1210,大成,54.3,75.43,74.73,77.78,0.73,0.59,0.14,55.36,52.66,49.95,3333,2190,1.52,454.33,12.57,2.83,5.21,2026-03-27,2026-03-29 07:31:21
1213,大飲,9.98,91.22,86.94,69.09,-0.01,-0.04,0.03,10.16,9.82,9.49,4,9,0.43,5.65,,0.35,3.51,2026-03-27,2026-03-29 07:31:22
1215,卜蜂,142.5,13.58,16.9,7.69,-1.6,-0.07,-1.53,163.18,152.5,141.82,1201,1029,1.17,420.08,13.74,7.0,4.91,2026-03-27,2026-03-29 07:31:22
1216,統一,72.0,63.74,45.52,59.09,-0.61,-0.85,0.24,73.33,71.02,68.72,9136,9134,1.0,4091.05,20.93,3.0,4.17,2026-03-27,2026-03-29 07:31:23
1217,愛之味,10.3,51.24,37.01,61.54,-0.07,-0.08,0.01,10.43,10.25,10.08,324,479,0.68,50.93,24.52,0.25,2.43,2026-03-27,2026-03-29 07:31:24
1218,泰山,19.3,80.43,79.63,85.0,0.26,0.22,0.04,19.84,18.73,17.61,744,702,1.06,93.86,14.85,1.35,6.99,2026-03-27,2026-03-29 07:31:25
1219,福壽,13.9,70.41,56.97,50.0,0.06,0.03,0.03,13.89,13.6,13.31,319,456,0.7,47.43,30.89,0.5,3.6,2026-03-27,2026-03-29 07:31:25
1220,台榮,12.4,19.41,15.79,5.26,-0.13,-0.07,-0.06,13.32,12.78,12.25,68,132,0.51,21.87,155.0,0.7,5.65,2026-03-27,2026-03-29 07:31:26
1225,福懋油,32.3,53.84,40.99,39.34,0.55,0.62,-0.06,33.61,32.05,30.49,324,309,1.05,78.25,19.94,0.14,0.43,2026-03-27,2026-03-29 07:31:27
1227,佳格,30.35,67.52,69.01,64.38,0.2,0.16,0.04,30.76,29.89,29.02,599,981,0.61,275.71,20.79,1.4,4.61,2026-03-27,2026-03-29 07:31:27
