股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,105.9,106.05,106.05,104.85,63.67,54.51,55.97,2.7,3.13,-0.43,109.83,102.08,94.34,70487,131013,0.54,,30.93,,,2026-06-16,2026-06-16 07:31:42
0051,元大中型100,143.4,144.55,144.55,142.5,56.94,52.68,52.76,3.03,3.71,-0.68,149.66,140.18,130.7,105,103,1.03,,28.2,,,2026-06-16,2026-06-16 07:31:43
0052,富邦科技,61.85,61.95,61.95,61.25,57.74,49.15,54.12,1.49,1.8,-0.31,64.47,59.94,55.41,23960,31654,0.76,,36.1,,,2026-06-16,2026-06-16 07:31:44
0053,元大電子,241.8,240.55,242.7,240.5,57.21,49.13,52.08,5.76,7.1,-1.35,252.91,235.24,217.57,39,34,1.15,,40.74,,,2026-06-16,2026-06-16 07:31:45
0055,元大MSCI金融,41.98,41.04,42.09,41.04,92.57,90.48,83.29,1.87,1.47,0.4,42.69,37.22,31.75,1575,1241,1.27,,16.96,,,2026-06-16,2026-06-16 07:31:46
0056,元大高股息,51.55,51.8,51.9,51.4,57.59,55.42,56.14,1.8,2.08,-0.28,54.91,49.88,44.86,30348,48141,0.63,,20.61,,,2026-06-16,2026-06-16 07:31:47
0057,富邦摩台,314.05,311.6,314.05,310.6,60.94,49.77,55.56,7.56,8.8,-1.24,325.01,302.48,279.96,10,29,0.37,,34.07,,,2026-06-16,2026-06-16 07:31:48
0061,元大寶滬深,25.28,25.21,25.39,25.21,56.99,40.15,53.05,0.07,0.07,-0.01,25.62,24.88,24.15,250,294,0.85,,20.7,,,2026-06-16,2026-06-16 07:31:48
1101,台泥,24.5,25.0,25.1,24.5,52.3,47.67,58.44,0.01,-0.04,0.05,24.95,24.27,23.58,30766,33074,0.93,1835.83,16.48,0.8,3.27,2026-06-16,2026-06-16 07:31:49
1102,亞泥,35.6,35.55,35.95,35.25,80.52,76.68,73.64,0.14,-0.1,0.23,35.76,34.17,32.58,19006,16609,1.14,1262.58,11.91,2.3,6.46,2026-06-16,2026-06-16 07:31:50
1103,嘉泥,13.7,13.8,13.8,13.65,77.19,70.41,63.89,0.07,0.02,0.05,13.8,13.36,12.93,278,288,0.96,90.25,16.31,0.55,4.01,2026-06-16,2026-06-16 07:31:51
1104,環泥,29.1,29.2,29.25,29.1,66.85,72.84,79.69,0.28,0.16,0.12,29.98,28.32,26.66,608,837,0.73,199.82,11.41,1.85,6.36,2026-06-16,2026-06-16 07:31:52
1108,幸福,13.85,14.0,14.0,13.8,46.57,43.75,59.46,-0.1,-0.15,0.05,14.07,13.73,13.38,473,444,1.07,56.06,6.41,0.75,5.42,2026-06-16,2026-06-16 07:31:53
1109,信大,14.7,14.75,14.75,14.65,60.83,60.8,61.9,-0.09,-0.12,0.03,14.9,14.63,14.37,118,194,0.61,50.15,14.27,0.9,6.12,2026-06-16,2026-06-16 07:31:54
1110,東泥,15.75,15.9,15.95,15.75,40.19,46.16,74.63,0.25,0.15,0.1,16.5,14.93,13.36,166,241,0.69,89.85,43.75,0.3,1.9,2026-06-16,2026-06-16 07:31:55
1201,味全,12.4,12.4,12.45,12.35,54.48,56.66,60.0,-0.01,-0.06,0.05,12.65,12.28,11.9,204,357,0.57,62.75,31.0,0.21,1.69,2026-06-16,2026-06-16 07:31:56
1203,味王,43.15,44.2,44.3,42.6,61.15,55.83,53.54,0.11,0.12,-0.01,44.26,42.88,41.51,51,32,1.58,102.57,23.84,1.2,2.78,2026-06-16,2026-06-16 07:31:57
1210,大成,55.6,55.9,55.9,54.8,85.95,81.23,81.97,0.71,0.41,0.3,56.45,53.62,50.8,3592,5987,0.6,465.21,12.87,3.0,5.4,2026-06-16,2026-06-16 07:31:58
1213,大飲,8.5,9.44,9.44,8.5,47.02,50.66,57.45,-0.07,-0.12,0.04,8.69,8.43,8.16,8,6,1.25,4.81,,0.35,4.12,2026-06-16,2026-06-16 07:31:59
1215,卜蜂,115.5,116.0,117.0,114.5,41.52,35.47,27.42,-4.47,-4.2,-0.27,140.24,123.17,106.1,1869,2529,0.74,340.48,11.13,7.0,6.06,2026-06-16,2026-06-16 07:32:00
1216,統一,75.6,76.4,76.4,75.4,75.93,79.45,75.0,0.94,0.63,0.31,77.04,73.34,69.64,8200,13691,0.6,4295.6,21.98,3.0,3.97,2026-06-16,2026-06-16 07:32:00
1217,愛之味,9.84,9.84,9.88,9.82,35.95,45.81,60.61,0.04,0.03,0.01,10.14,9.74,9.35,411,560,0.73,48.66,23.43,0.25,2.54,2026-06-16,2026-06-16 07:32:01
1218,泰山,17.9,18.0,18.0,17.85,53.45,61.96,70.45,0.12,0.11,0.01,18.52,17.73,16.93,1063,2049,0.52,87.05,13.77,1.32,7.37,2026-06-16,2026-06-16 07:32:02
1219,福壽,12.55,12.55,12.6,12.5,76.43,77.2,93.55,-0.03,-0.09,0.07,12.75,12.27,11.79,328,318,1.03,42.83,27.89,0.5,3.98,2026-06-16,2026-06-16 07:32:03
1220,台榮,11.7,11.8,11.8,11.6,35.66,35.69,47.06,-0.13,-0.15,0.01,11.97,11.76,11.55,73,86,0.85,20.64,146.25,0.7,5.98,2026-06-16,2026-06-16 07:32:04
1225,福懋油,32.0,31.0,32.0,30.35,72.92,61.61,68.46,-0.02,-0.33,0.31,31.35,29.85,28.35,429,452,0.95,77.53,19.75,0.14,0.44,2026-06-16,2026-06-16 07:32:05
