股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,22.55,11.79,15.32,31.11,-0.7,-0.51,-0.19,26.12,24.08,22.05,18229,22331,0.82,1734.81,13.88,1.0,4.43,2026-03-30,2026-03-30 07:31:02
1102,亞泥,35.15,67.31,54.95,61.63,-0.17,-0.26,0.1,35.16,34.52,33.88,13291,9628,1.38,1246.62,11.76,2.2,6.26,2026-03-30,2026-03-30 07:31:03
1103,嘉泥,13.5,60.09,65.41,54.84,-0.07,-0.09,0.02,13.91,13.6,13.3,330,176,1.87,88.93,16.07,0.55,4.07,2026-03-30,2026-03-30 07:31:03
1104,環泥,29.85,64.52,60.16,69.64,-0.0,-0.07,0.06,30.3,29.38,28.45,888,560,1.59,204.97,11.71,1.7,5.7,2026-03-30,2026-03-30 07:31:04
1108,幸福,14.85,18.89,22.84,48.0,-0.06,-0.04,-0.02,15.26,14.99,14.72,133,133,1.0,60.1,6.37,0.75,5.05,2026-03-30,2026-03-30 07:31:05
1109,信大,15.2,27.74,30.37,42.86,-0.07,-0.06,-0.01,15.54,15.33,15.11,234,185,1.27,51.86,14.76,0.9,5.92,2026-03-30,2026-03-30 07:31:05
1110,東泥,15.4,49.89,40.57,40.0,-0.26,-0.25,-0.01,16.28,15.57,14.86,149,133,1.12,87.76,42.78,0.3,1.95,2026-03-30,2026-03-30 07:31:06
1201,味全,13.4,19.14,19.68,20.0,-0.26,-0.22,-0.04,14.53,13.86,13.19,235,297,0.79,67.81,33.5,0.5,3.73,2026-03-30,2026-03-30 07:31:07
1203,味王,39.45,63.16,54.41,59.46,-0.14,-0.24,0.1,40.45,39.11,37.76,17,28,0.61,93.78,21.8,1.2,3.04,2026-03-30,2026-03-30 07:31:08
1210,大成,54.5,81.77,77.08,78.18,0.76,0.63,0.13,55.57,52.81,50.05,1749,2084,0.84,456.01,12.62,2.83,5.19,2026-03-30,2026-03-30 07:31:08
1213,大飲,9.57,78.05,83.98,43.21,-0.04,-0.04,0.01,10.17,9.82,9.46,6,8,0.73,5.42,,0.35,3.66,2026-03-30,2026-03-30 07:31:09
1215,卜蜂,140.0,12.28,15.36,7.69,-2.14,-0.47,-1.67,163.66,151.72,139.79,1241,1179,1.05,412.71,13.5,7.0,5.0,2026-03-30,2026-03-30 07:31:10
1216,統一,71.9,69.94,53.66,63.93,-0.48,-0.77,0.29,72.95,70.94,68.93,13617,9382,1.45,4085.37,20.9,3.0,4.17,2026-03-30,2026-03-30 07:31:11
1217,愛之味,10.4,67.5,47.17,58.33,-0.05,-0.07,0.02,10.42,10.25,10.08,725,525,1.38,51.43,24.76,0.25,2.4,2026-03-30,2026-03-30 07:31:11
1218,泰山,19.35,81.4,80.22,82.86,0.27,0.23,0.04,19.9,18.79,17.67,1021,752,1.36,94.1,14.88,1.35,6.98,2026-03-30,2026-03-30 07:31:12
1219,福壽,14.2,80.27,64.74,82.35,0.1,0.04,0.05,14.03,13.63,13.24,860,481,1.79,48.46,31.56,0.5,3.52,2026-03-30,2026-03-30 07:31:13
1220,台榮,12.75,38.58,23.39,38.1,-0.11,-0.08,-0.03,13.26,12.76,12.26,215,132,1.63,22.49,159.38,0.7,5.49,2026-03-30,2026-03-30 07:31:14
1225,福懋油,31.85,50.18,44.05,48.65,0.52,0.6,-0.08,33.55,32.01,30.48,192,268,0.72,77.16,19.66,0.14,0.44,2026-03-30,2026-03-30 07:31:14
1227,佳格,30.3,66.35,68.12,60.87,0.2,0.17,0.03,30.8,29.91,29.03,925,827,1.12,275.25,20.75,1.4,4.62,2026-03-30,2026-03-30 07:31:15
1229,聯華,44.75,71.17,62.68,55.75,-0.12,-0.29,0.17,45.43,44.27,43.11,1930,1866,1.03,800.45,17.41,1.3,2.91,2026-03-30,2026-03-30 07:31:16
1231,聯華食,91.7,81.3,80.66,75.31,0.41,-0.29,0.7,95.47,88.22,80.98,266,278,0.96,273.68,24.07,1.6,1.74,2026-03-30,2026-03-30 07:31:16
1232,大統益,150.0,66.48,62.55,45.45,0.35,0.54,-0.2,151.94,150.4,148.86,63,56,1.13,239.96,18.2,7.0,4.67,2026-03-30,2026-03-30 07:31:17
1233,天仁,29.0,18.44,18.93,20.37,-0.79,-0.59,-0.2,33.62,31.0,28.39,13,14,0.96,26.26,38.67,0.95,3.28,2026-03-30,2026-03-30 07:31:18
1234,黑松,35.85,33.91,31.65,40.38,-0.29,-0.29,0.0,36.97,36.19,35.41,125,107,1.17,144.07,17.93,1.65,4.6,2026-03-30,2026-03-30 07:31:19
1235,興泰,37.9,50.48,50.79,49.31,-0.86,-1.1,0.25,45.25,39.35,33.45,15,13,1.16,17.23,,0.5,1.32,2026-03-30,2026-03-30 07:31:19
1236,宏亞,26.05,23.57,30.46,10.2,-0.07,0.14,-0.21,28.43,27.23,26.03,38,39,0.98,22.58,,0.6,2.3,2026-03-30,2026-03-30 07:31:20
1256,鮮活果汁-KY,149.5,20.75,17.57,31.65,-2.56,-1.35,-1.21,172.29,157.75,143.21,46,29,1.55,53.48,13.41,4.66,3.12,2026-03-30,2026-03-30 07:31:21
1301,台塑,48.25,41.05,30.25,55.97,0.08,0.13,-0.05,49.93,47.11,44.28,59200,30112,1.97,3071.47,38.55,0.5,1.04,2026-03-30,2026-03-30 07:31:21
1303,南亞,81.4,34.55,29.63,53.54,-0.52,0.35,-0.88,89.75,80.01,70.27,132682,70508,1.88,6455.69,142.81,0.7,0.86,2026-03-30,2026-03-30 07:31:22
1304,台聚,17.8,79.78,71.37,74.16,1.15,0.8,0.35,17.25,13.96,10.68,29406,45193,0.65,190.87,,0.2,1.12,2026-03-30,2026-03-30 07:31:23
1305,華夏,18.4,74.62,73.27,73.03,1.39,1.1,0.3,19.01,14.83,10.65,27805,35514,0.78,106.91,,0.15,0.82,2026-03-30,2026-03-30 07:31:24
1307,三芳,34.8,46.67,46.0,58.68,0.35,0.36,-0.02,35.42,34.09,32.76,2811,1476,1.9,138.44,12.25,2.7,7.76,2026-03-30,2026-03-30 07:31:25
1308,亞聚,19.4,71.81,65.2,70.82,1.12,0.79,0.33,19.04,15.82,12.59,25970,28724,0.9,115.19,71.85,0.25,1.29,2026-03-30,2026-03-30 07:31:25
1309,台達化,24.35,89.33,83.72,83.28,2.4,1.69,0.71,23.21,16.71,10.2,4572,19892,0.23,96.81,,0.2,0.82,2026-03-30,2026-03-30 07:31:26
1310,台苯,11.95,36.18,37.49,58.42,0.5,0.57,-0.07,12.7,11.21,9.72,34352,19503,1.76,63.08,45.96,,,2026-03-30,2026-03-30 07:31:27
1312,國喬,14.15,34.73,34.8,56.98,0.2,0.23,-0.03,14.66,13.74,12.83,44344,22009,2.01,161.52,21.44,,,2026-03-30,2026-03-30 07:31:28
1313,聯成,13.45,43.72,36.73,64.29,0.42,0.45,-0.03,13.51,12.77,12.02,31277,15117,2.07,179.0,,0.15,1.12,2026-03-30,2026-03-30 07:31:28
1314,中石化,8.21,11.76,14.17,32.23,-0.02,0.05,-0.08,9.33,8.54,7.75,87067,52658,1.65,310.74,4.72,,,2026-03-30,2026-03-30 07:31:29
1315,達新,63.1,41.23,41.63,37.04,-0.3,-0.23,-0.07,64.87,63.67,62.48,13,19,0.7,60.28,40.71,4.5,7.13,2026-03-30,2026-03-30 07:31:30
1316,上曜,12.25,19.21,24.54,36.36,-0.39,-0.38,-0.01,13.39,12.72,12.06,1685,1399,1.2,41.57,55.68,,,2026-03-30,2026-03-30 07:31:31
1319,東陽,82.0,34.09,31.23,34.09,-4.39,-4.63,0.24,94.72,86.45,78.18,2522,1819,1.39,485.01,12.75,5.3,6.46,2026-03-30,2026-03-30 07:31:32
1321,大洋,33.85,62.75,55.68,51.46,0.06,-0.06,0.12,34.48,33.51,32.55,124,290,0.43,74.7,,0.38,1.12,2026-03-30,2026-03-30 07:31:33
1323,永裕,21.0,82.81,81.32,85.29,0.25,0.08,0.17,20.05,18.93,17.81,446,145,3.08,19.17,80.77,0.9,4.29,2026-03-30,2026-03-30 07:31:35
1324,地球,10.9,53.02,39.73,66.67,0.0,-0.05,0.05,10.81,10.5,10.2,340,165,2.06,8.19,,0.2,1.83,2026-03-30,2026-03-30 07:31:36
1325,恆大,27.35,21.93,26.6,51.9,-0.54,-0.64,0.1,28.11,27.33,26.56,214,240,0.89,23.32,,0.3,1.1,2026-03-30,2026-03-30 07:31:36
1326,台化,48.65,57.85,45.21,61.28,1.0,1.04,-0.04,47.94,44.51,41.08,116543,48576,2.4,2845.55,42.74,0.5,1.03,2026-03-30,2026-03-30 07:31:37
1337,再生-KY,6.43,47.36,51.32,73.08,0.23,0.21,0.01,6.68,5.97,5.25,4163,1683,2.47,17.29,,,,2026-03-30,2026-03-30 07:31:38
1338,廣華-KY,14.2,11.29,14.35,26.15,-1.13,-1.13,-0.0,17.67,15.49,13.32,55,166,0.33,11.47,1.65,0.78,5.49,2026-03-30,2026-03-30 07:31:38
