股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,25.0,30.87,34.25,45.92,-0.1,0.13,-0.23,26.9,25.56,24.23,21638,31391,0.69,1923.3,17.33,1.0,4.0,2026-03-11,2026-03-11 07:31:24
1102,亞泥,34.0,27.43,30.93,27.12,-0.5,-0.41,-0.09,36.3,35.02,33.75,8948,7747,1.16,1205.83,9.6,2.2,6.47,2026-03-11,2026-03-11 07:31:24
1103,嘉泥,13.65,25.22,29.56,45.24,-0.13,-0.07,-0.06,14.38,13.87,13.36,396,364,1.09,89.92,32.5,0.55,4.03,2026-03-11,2026-03-11 07:31:25
1104,環泥,29.6,38.53,30.09,50.59,-0.27,-0.23,-0.05,30.49,29.47,28.46,1224,898,1.36,203.26,12.7,1.7,5.74,2026-03-11,2026-03-11 07:31:26
1108,幸福,15.15,35.89,37.59,52.17,-0.01,0.02,-0.02,15.35,15.12,14.88,214,266,0.8,61.32,6.5,0.75,4.95,2026-03-11,2026-03-11 07:31:26
1109,信大,15.35,25.93,31.41,48.39,-0.03,0.0,-0.04,15.87,15.5,15.12,132,149,0.89,52.37,14.08,0.9,5.86,2026-03-11,2026-03-11 07:31:27
1110,東泥,15.85,45.52,44.3,38.46,-0.14,-0.08,-0.05,16.85,16.19,15.53,148,243,0.61,90.33,39.62,0.3,1.89,2026-03-11,2026-03-11 07:31:28
1201,味全,14.1,31.28,30.31,41.94,-0.11,-0.06,-0.05,14.76,14.38,14.0,280,423,0.66,71.35,25.18,0.5,3.55,2026-03-11,2026-03-11 07:31:29
1203,味王,39.15,31.87,34.89,45.21,-0.12,0.08,-0.2,41.64,39.98,38.32,17,32,0.54,93.06,19.0,1.2,3.07,2026-03-11,2026-03-11 07:31:29
1210,大成,51.7,62.71,49.65,61.36,-0.05,-0.13,0.08,51.82,51.08,50.34,2113,1818,1.16,432.58,13.19,2.83,5.47,2026-03-11,2026-03-11 07:31:30
1213,大飲,9.79,44.98,37.62,46.2,-0.13,-0.11,-0.01,10.3,9.88,9.47,15,12,1.17,5.54,1.11,0.35,3.58,2026-03-10,2026-03-11 07:31:31
1215,卜蜂,154.5,59.27,72.89,55.56,2.87,2.7,0.18,161.62,152.62,143.63,1112,969,1.15,455.45,14.88,7.0,4.53,2026-03-11,2026-03-11 07:31:31
1216,統一,70.2,11.02,18.26,38.28,-0.95,-0.69,-0.26,75.51,72.65,69.79,5988,10154,0.59,3988.77,20.41,3.0,4.27,2026-03-11,2026-03-11 07:31:32
1217,愛之味,10.3,26.4,23.66,44.44,-0.07,-0.04,-0.03,10.71,10.44,10.16,513,440,1.16,50.93,38.15,0.37,3.59,2026-03-11,2026-03-11 07:31:33
1218,泰山,18.45,56.04,40.97,60.0,-0.03,-0.04,0.01,18.48,18.15,17.83,1447,944,1.53,89.73,14.19,1.35,7.32,2026-03-11,2026-03-11 07:31:33
1219,福壽,13.5,46.45,48.77,48.39,0.02,0.02,0.0,13.79,13.56,13.34,299,419,0.71,46.07,32.14,0.5,3.7,2026-03-11,2026-03-11 07:31:34
1220,台榮,12.95,33.17,43.38,53.33,0.07,0.09,-0.02,13.28,12.98,12.67,155,226,0.68,22.84,51.8,0.7,5.41,2026-03-11,2026-03-11 07:31:35
1225,福懋油,31.75,54.19,64.66,65.44,1.04,0.78,0.26,34.13,30.2,26.26,502,968,0.52,76.92,22.68,0.14,0.44,2026-03-11,2026-03-11 07:31:35
1227,佳格,29.4,35.73,41.58,56.94,-0.01,-0.01,-0.0,30.45,29.42,28.39,905,727,1.25,267.08,20.14,1.4,4.76,2026-03-11,2026-03-11 07:31:36
1229,聯華,43.75,18.8,22.27,41.35,-0.6,-0.56,-0.04,45.93,44.73,43.52,4926,3396,1.45,782.57,17.16,1.3,2.97,2026-03-11,2026-03-11 07:31:37
1231,聯華食,88.4,41.85,23.0,41.13,-2.78,-2.61,-0.17,98.02,88.89,79.75,992,666,1.49,263.83,24.49,1.6,1.81,2026-03-11,2026-03-11 07:31:38
1232,大統益,150.5,39.23,53.94,65.22,1.3,1.42,-0.12,154.48,149.62,144.77,48,103,0.47,240.76,18.24,7.0,4.65,2026-03-11,2026-03-11 07:31:38
1233,天仁,32.7,58.17,60.07,55.0,0.04,0.11,-0.07,33.6,32.49,31.38,1,13,0.11,29.61,40.88,0.95,2.91,2026-03-11,2026-03-11 07:31:39
1234,黑松,36.65,41.85,38.05,44.78,-0.23,-0.16,-0.07,37.72,36.89,36.07,76,259,0.29,147.29,18.7,1.9,5.18,2026-03-11,2026-03-11 07:31:40
1235,興泰,38.6,14.42,30.32,44.42,-0.87,-0.34,-0.53,47.68,42.23,36.77,8,26,0.34,17.55,,0.5,1.3,2026-03-11,2026-03-11 07:31:40
1236,宏亞,28.15,72.67,70.54,77.59,0.62,0.52,0.1,28.43,26.97,25.5,137,124,1.1,24.4,,0.6,2.13,2026-03-11,2026-03-11 07:31:41
1256,鮮活果汁-KY,171.0,64.25,54.29,65.42,2.85,2.22,0.64,170.31,160.65,150.99,111,98,1.13,61.17,17.83,4.66,2.73,2026-03-11,2026-03-11 07:31:42
1301,台塑,47.15,20.23,31.86,51.07,0.83,1.29,-0.46,52.39,47.72,43.05,22623,57191,0.4,3001.45,31.82,0.5,1.06,2026-03-11,2026-03-11 07:31:42
1303,南亞,82.4,28.03,34.85,53.51,2.11,3.28,-1.17,94.61,80.63,66.65,107477,87176,1.23,6535.0,24.21,0.7,0.85,2026-03-11,2026-03-11 07:31:43
1304,台聚,12.45,45.94,57.32,56.49,0.33,0.27,0.06,13.53,12.1,10.66,13288,25253,0.53,133.5,,0.2,1.61,2026-03-11,2026-03-11 07:31:44
1305,華夏,12.75,47.1,54.71,54.93,0.32,0.25,0.07,13.6,12.26,10.93,7460,15876,0.47,74.08,,0.15,1.18,2026-03-11,2026-03-11 07:31:45
1307,三芳,33.2,36.15,47.19,57.53,0.45,0.49,-0.04,36.52,33.08,29.64,2283,2953,0.77,132.08,11.25,2.7,8.13,2026-03-11,2026-03-11 07:31:45
1308,亞聚,14.2,45.18,55.66,53.79,0.28,0.2,0.08,15.25,13.91,12.57,6803,13946,0.49,84.31,52.59,0.25,1.76,2026-03-11,2026-03-11 07:31:46
1309,台達化,13.75,65.14,69.02,60.14,0.55,0.38,0.17,14.57,12.69,10.8,9398,12675,0.74,54.67,,0.2,1.45,2026-03-11,2026-03-11 07:31:47
1310,台苯,11.3,80.67,76.06,76.01,0.55,0.31,0.24,11.33,9.55,7.78,13775,19959,0.69,59.65,43.46,,,2026-03-11,2026-03-11 07:31:47
1312,國喬,13.5,41.75,47.83,54.2,0.21,0.19,0.02,14.18,13.16,12.13,15546,34230,0.45,154.86,20.45,,,2026-03-11,2026-03-11 07:31:48
1313,聯成,12.3,54.84,67.9,64.1,0.58,0.44,0.14,13.6,11.4,9.19,10803,34756,0.31,163.69,,0.15,1.22,2026-03-11,2026-03-11 07:31:49
1314,中石化,8.49,54.06,61.96,55.81,0.21,0.14,0.08,9.26,8.29,7.32,101977,118811,0.86,321.33,4.88,,,2026-03-11,2026-03-11 07:31:49
1315,達新,64.4,32.72,29.4,52.86,-0.13,-0.04,-0.09,65.89,64.4,62.9,15,33,0.46,61.52,39.27,4.5,6.99,2026-03-11,2026-03-11 07:31:50
1316,上曜,13.05,31.94,27.15,45.95,-0.38,-0.34,-0.04,14.41,13.48,12.55,1099,1648,0.67,45.3,59.32,,,2026-03-11,2026-03-11 07:31:51
1319,東陽,89.3,9.77,9.03,18.86,-3.99,-2.36,-1.63,114.28,99.6,84.92,2420,2923,0.83,528.19,13.68,5.3,5.94,2026-03-11,2026-03-11 07:31:51
1321,大洋,33.55,57.97,62.8,59.34,-0.08,-0.14,0.06,34.18,33.45,32.72,103,161,0.64,74.04,,0.38,1.13,2026-03-11,2026-03-11 07:31:52
1323,永裕,18.65,80.83,74.98,46.87,-0.1,-0.12,0.01,18.86,18.65,18.45,50,80,0.62,17.02,186.5,0.9,4.83,2026-03-11,2026-03-11 07:31:53
1324,地球,10.45,25.64,32.62,50.0,-0.09,-0.08,-0.01,10.89,10.59,10.3,49,167,0.3,7.85,,0.2,1.91,2026-03-11,2026-03-11 07:31:54
1325,恆大,27.55,24.28,17.75,32.81,-0.83,-0.64,-0.19,31.47,29.0,26.53,139,229,0.61,23.49,,0.3,1.09,2026-03-11,2026-03-11 07:31:54
1326,台化,44.0,25.53,35.63,51.96,1.87,2.39,-0.52,50.37,43.61,36.85,33035,51128,0.65,2573.57,34.66,0.5,1.14,2026-03-11,2026-03-11 07:31:55
1337,再生-KY,5.76,56.21,54.95,58.96,0.12,0.09,0.04,5.97,5.47,4.97,1196,2744,0.44,15.49,,,,2026-03-11,2026-03-11 07:31:56
1338,廣華-KY,15.55,6.62,9.05,8.6,-1.07,-0.76,-0.32,21.15,18.3,15.45,366,354,1.03,12.56,1.8,0.78,5.02,2026-03-11,2026-03-11 07:31:56
1339,昭輝,41.55,28.13,33.0,42.2,-0.49,-0.3,-0.2,44.58,42.7,40.81,58,56,1.03,30.8,20.17,3.0,7.22,2026-03-11,2026-03-11 07:31:57
1340,勝悅-KY,7.14,59.28,55.72,56.8,0.05,0.02,0.03,7.49,6.92,6.34,113,273,0.42,10.92,,,,2026-03-11,2026-03-11 07:31:58
1341,富林-KY,58.0,35.74,44.52,50.0,0.16,0.5,-0.33,63.05,59.92,56.79,16,13,1.21,30.65,14.54,5.2,8.97,2026-03-11,2026-03-11 07:31:58
1342,八貫,95.9,23.13,24.24,32.16,0.27,1.19,-0.93,105.15,98.63,92.11,1030,595,1.73,74.8,17.16,6.0,6.26,2026-03-11,2026-03-11 07:31:59
1402,遠東新,28.45,22.53,28.78,50.94,0.1,0.1,0.01,29.28,28.41,27.54,7985,13922,0.57,1522.67,17.14,1.6,5.62,2026-03-11,2026-03-11 07:32:00
1409,新纖,15.2,47.5,46.35,52.05,-0.02,-0.01,-0.01,15.79,15.15,14.51,3089,4964,0.62,245.29,12.67,0.6,3.95,2026-03-11,2026-03-11 07:32:00
1410,南染,32.8,26.99,27.3,39.29,-0.33,-0.22,-0.11,34.28,33.21,32.14,66,54,1.22,20.34,58.57,0.51,1.55,2026-03-11,2026-03-11 07:32:01
1413,宏洲,9.73,36.65,39.51,47.52,-0.04,-0.02,-0.02,10.17,9.91,9.66,232,58,3.96,12.85,21.62,,,2026-03-11,2026-03-11 07:32:02
1414,東和,20.7,64.35,74.97,72.73,0.36,0.3,0.06,20.95,19.94,18.94,410,388,1.06,36.89,159.23,0.26,1.26,2026-03-11,2026-03-11 07:32:02
1416,廣豐,11.6,34.11,36.32,45.83,-0.06,-0.04,-0.02,11.89,11.68,11.47,275,236,1.17,21.5,14.87,0.56,4.83,2026-03-11,2026-03-11 07:32:03
1417,嘉裕,8.62,48.03,50.88,40.66,-0.05,-0.03,-0.01,8.93,8.72,8.52,165,199,0.83,16.37,,,,2026-03-11,2026-03-11 07:32:04
