股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,23.9,29.82,35.92,25.49,-0.28,-0.12,-0.16,26.91,25.24,23.57,36761,25712,1.43,1838.67,14.71,1.0,4.18,2026-03-19,2026-03-19 10:03:33
1102,亞泥,34.1,52.12,51.48,26.03,-0.37,-0.39,0.01,36.17,34.88,33.59,9461,8646,1.09,1209.38,11.4,2.2,6.45,2026-03-19,2026-03-19 10:03:34
1103,嘉泥,13.55,50.66,40.62,35.71,-0.12,-0.12,-0.01,14.33,13.76,13.19,141,232,0.61,89.26,16.13,0.55,4.06,2026-03-19,2026-03-19 10:03:34
1104,環泥,29.2,65.18,64.72,40.66,-0.1,-0.14,0.04,30.55,29.49,28.43,416,751,0.55,200.51,12.53,1.7,5.82,2026-03-19,2026-03-19 10:03:35
1108,幸福,14.9,40.98,48.7,36.67,-0.02,0.0,-0.02,15.38,15.11,14.85,589,622,0.95,60.31,6.39,0.75,5.03,2026-03-19,2026-03-19 10:03:36
1109,信大,15.35,60.53,49.08,30.77,-0.04,-0.03,-0.01,15.87,15.48,15.09,299,185,1.61,52.37,14.9,0.9,5.86,2026-03-19,2026-03-19 10:03:37
1110,東泥,15.6,54.98,53.04,29.63,-0.18,-0.14,-0.04,16.83,16.04,15.26,98,233,0.42,88.9,43.33,0.3,1.92,2026-03-19,2026-03-19 10:03:38
1201,味全,13.75,28.15,32.23,20.69,-0.17,-0.12,-0.05,14.8,14.24,13.67,1034,533,1.94,69.58,34.38,0.5,3.64,2026-03-19,2026-03-19 10:03:39
1203,味王,38.75,51.49,42.85,24.49,-0.35,-0.22,-0.13,41.81,39.7,37.58,20,34,0.58,92.11,18.81,1.2,3.1,2026-03-19,2026-03-19 10:03:39
1210,大成,53.1,77.3,76.91,67.74,0.55,0.29,0.26,54.05,51.83,49.6,2636,2544,1.04,444.29,13.55,2.83,5.33,2026-03-19,2026-03-19 10:03:40
1213,大飲,9.77,76.18,71.11,47.64,-0.06,-0.08,0.02,10.15,9.81,9.46,25,15,1.64,5.53,,0.35,3.58,2026-03-19,2026-03-19 10:03:41
1215,卜蜂,149.0,16.95,28.23,43.4,0.79,1.83,-1.04,161.46,153.65,145.84,1037,718,1.44,439.24,14.35,7.0,4.7,2026-03-19,2026-03-19 10:03:42
1216,統一,70.4,32.56,24.45,38.46,-0.9,-0.88,-0.01,75.31,71.97,68.63,11078,10385,1.07,4000.14,20.47,3.0,4.26,2026-03-19,2026-03-19 10:03:42
1217,愛之味,10.2,30.26,28.89,37.5,-0.08,-0.07,-0.01,10.7,10.37,10.03,755,595,1.27,50.44,24.29,0.37,3.63,2026-03-19,2026-03-19 10:03:43
1218,泰山,19.1,88.1,81.21,66.0,0.25,0.13,0.12,19.44,18.46,17.47,822,1396,0.59,92.89,14.69,1.35,7.07,2026-03-19,2026-03-19 10:03:44
1219,福壽,13.55,37.12,39.52,46.15,0.0,0.01,-0.0,13.79,13.57,13.35,277,284,0.98,46.24,30.11,0.5,3.69,2026-03-19,2026-03-19 10:03:45
1220,台榮,12.65,6.17,13.33,28.0,-0.02,0.03,-0.05,13.3,12.97,12.64,233,150,1.55,22.31,158.12,0.7,5.53,2026-03-19,2026-03-19 10:03:46
1225,福懋油,31.05,16.02,28.05,55.29,0.62,0.8,-0.18,34.37,31.2,28.04,113,257,0.44,75.22,22.18,0.14,0.45,2026-03-19,2026-03-19 10:03:46
1227,佳格,30.0,75.09,66.4,50.0,0.14,0.07,0.07,30.58,29.76,28.93,605,803,0.75,272.53,20.55,1.4,4.67,2026-03-19,2026-03-19 10:03:47
1229,聯華,44.6,45.42,31.48,48.45,-0.36,-0.51,0.15,45.7,44.43,43.16,2054,3109,0.66,797.77,17.35,1.3,2.91,2026-03-19,2026-03-19 10:03:48
1231,聯華食,91.0,83.94,73.91,59.91,-0.7,-1.64,0.93,95.04,87.77,80.49,268,469,0.57,271.59,23.88,1.6,1.76,2026-03-19,2026-03-19 10:03:49
1232,大統益,149.5,42.38,40.37,40.91,0.66,0.97,-0.31,152.98,150.7,148.42,61,86,0.71,239.16,18.14,7.0,4.68,2026-03-19,2026-03-19 10:03:50
1233,天仁,30.1,14.87,28.37,23.02,-0.46,-0.19,-0.27,34.13,32.11,30.09,12,13,0.9,27.26,40.13,0.95,3.16,2026-03-19,2026-03-19 10:03:51
1234,黑松,36.0,46.87,45.43,33.33,-0.28,-0.24,-0.04,37.71,36.67,35.62,209,181,1.16,144.67,18.0,1.65,4.58,2026-03-19,2026-03-19 10:03:51
1235,興泰,36.15,11.39,12.0,20.0,-1.9,-1.33,-0.57,48.64,40.87,33.11,33,25,1.31,16.43,,0.5,1.38,2026-03-19,2026-03-19 10:03:52
1236,宏亞,27.2,36.41,40.6,58.73,0.34,0.44,-0.1,28.51,27.2,25.89,38,44,0.88,23.58,,0.6,2.21,2026-03-19,2026-03-19 10:03:53
1256,鮮活果汁-KY,156.0,13.82,25.83,50.0,0.16,1.38,-1.22,170.08,160.32,150.57,25,49,0.51,55.8,16.27,4.66,2.99,2026-03-19,2026-03-19 10:03:54
1301,台塑,48.6,23.84,19.96,41.57,0.34,0.6,-0.26,52.27,47.99,43.7,66831,36743,1.82,3093.75,32.8,0.5,1.03,2026-03-19,2026-03-19 10:03:54
1303,南亞,84.2,60.84,53.44,43.12,2.33,2.5,-0.17,95.28,83.58,71.87,51945,105553,0.49,6677.75,147.72,0.7,0.83,2026-03-19,2026-03-19 10:03:55
1304,台聚,14.15,57.17,48.78,63.5,0.41,0.33,0.08,13.95,12.63,11.31,32267,14579,2.21,151.73,,0.2,1.41,2026-03-19,2026-03-19 10:03:56
1305,華夏,15.45,75.41,65.02,68.05,0.65,0.46,0.2,15.01,13.01,11.0,25016,14445,1.73,89.77,,0.15,0.97,2026-03-19,2026-03-19 10:03:57
1307,三芳,34.8,47.69,41.91,48.18,0.43,0.43,0.0,36.25,33.93,31.61,1849,1168,1.58,138.44,12.25,2.7,7.76,2026-03-19,2026-03-19 10:03:58
1308,亞聚,16.05,55.59,50.32,61.41,0.41,0.32,0.09,15.96,14.45,12.94,15618,8533,1.83,95.3,59.44,0.25,1.56,2026-03-19,2026-03-19 10:03:58
1309,台達化,17.15,83.21,77.73,71.96,1.08,0.78,0.3,17.1,13.85,10.6,16348,16093,1.02,68.19,,0.2,1.17,2026-03-19,2026-03-19 10:03:59
1310,台苯,11.85,66.32,71.04,73.14,0.72,0.61,0.11,12.7,10.39,8.07,23073,17322,1.33,62.55,45.58,,,2026-03-19,2026-03-19 10:04:00
1312,國喬,14.4,46.61,43.91,56.3,0.29,0.24,0.05,14.56,13.51,12.47,41106,20371,2.02,165.19,21.82,,,2026-03-19,2026-03-19 10:04:01
1313,聯成,13.1,33.04,36.9,67.89,0.53,0.5,0.03,13.97,12.1,10.22,23330,14122,1.65,174.34,,0.15,1.15,2026-03-19,2026-03-19 10:04:02
1314,中石化,8.65,30.03,38.04,53.94,0.15,0.17,-0.02,9.37,8.51,7.64,90192,75874,1.19,327.39,4.97,,,2026-03-19,2026-03-19 10:04:03
1315,達新,63.9,37.98,35.15,41.03,-0.15,-0.14,-0.0,65.94,64.31,62.68,31,25,1.23,61.04,41.23,4.5,7.04,2026-03-19,2026-03-19 10:04:03
1316,上曜,12.65,51.97,49.92,35.29,-0.34,-0.35,0.01,14.16,13.22,12.27,1867,1448,1.29,43.91,57.5,,,2026-03-19,2026-03-19 10:04:04
1319,東陽,82.0,8.75,10.28,13.52,-5.16,-4.17,-0.99,107.42,92.84,78.25,4539,4276,1.06,485.01,12.75,5.3,6.46,2026-03-19,2026-03-19 10:04:05
1321,大洋,32.95,33.6,41.15,43.97,-0.16,-0.13,-0.03,34.2,33.48,32.75,237,217,1.09,72.72,,0.38,1.15,2026-03-19,2026-03-19 10:04:06
1323,永裕,19.2,93.63,87.4,63.89,0.01,-0.06,0.08,19.06,18.68,18.3,61,69,0.9,17.52,192.0,0.9,4.69,2026-03-19,2026-03-19 10:04:06
1324,地球,10.45,11.18,14.63,41.67,-0.1,-0.09,-0.01,10.88,10.54,10.19,156,98,1.59,7.85,,0.2,1.91,2026-03-19,2026-03-19 10:04:07
1325,恆大,26.7,35.01,34.21,30.95,-0.79,-0.75,-0.03,30.27,28.09,25.91,350,203,1.72,22.77,,0.3,1.12,2026-03-19,2026-03-19 10:04:08
1326,台化,46.6,50.13,37.8,40.13,1.36,1.6,-0.24,49.99,44.84,39.69,71155,55730,1.28,2725.64,36.71,0.5,1.07,2026-03-19,2026-03-19 10:04:09
1337,再生-KY,6.28,66.03,63.79,66.54,0.21,0.15,0.06,6.37,5.64,4.91,3320,2192,1.51,16.89,,,,2026-03-19,2026-03-19 10:04:09
1338,廣華-KY,15.55,22.42,14.97,21.9,-1.15,-1.08,-0.07,20.27,17.02,13.77,138,151,0.91,12.56,1.8,0.78,5.02,2026-03-19,2026-03-19 10:04:10
1339,昭輝,41.6,55.57,43.22,32.67,-0.52,-0.48,-0.04,44.66,42.35,40.04,52,54,0.97,30.84,17.26,3.0,7.21,2026-03-19,2026-03-19 10:04:11
1340,勝悅-KY,7.03,39.28,56.42,47.5,0.06,0.06,-0.01,7.53,7.11,6.69,189,345,0.55,10.75,,,,2026-03-19,2026-03-19 10:04:12
1341,富林-KY,59.3,59.02,50.39,39.2,-0.14,0.06,-0.2,62.95,60.01,57.07,7,43,0.17,31.34,16.03,5.2,8.77,2026-03-19,2026-03-19 10:04:12
1342,八貫,86.7,21.51,24.96,20.53,-0.77,-0.07,-0.7,98.34,91.63,84.91,315,357,0.88,67.63,15.51,6.0,6.92,2026-03-19,2026-03-19 10:04:13
1402,遠東新,26.7,6.97,9.62,30.91,-0.34,-0.12,-0.22,29.65,28.13,26.62,23486,18867,1.24,1429.01,17.23,1.6,5.99,2026-03-19,2026-03-19 10:04:14
1409,新纖,16.7,73.08,68.74,59.83,0.35,0.18,0.17,16.86,15.58,14.29,8161,18533,0.44,269.49,13.92,0.6,3.59,2026-03-19,2026-03-19 10:04:15
1410,南染,31.7,16.6,18.8,32.69,-0.52,-0.4,-0.11,34.44,32.77,31.1,10,42,0.24,19.65,56.61,0.51,1.61,2026-03-19,2026-03-19 10:04:15
1413,宏洲,9.61,30.89,32.29,30.3,-0.09,-0.07,-0.02,10.22,9.83,9.45,14,29,0.48,12.7,21.36,,,2026-03-19,2026-03-19 10:04:16
1414,東和,18.8,13.98,28.22,38.2,0.02,0.19,-0.17,20.95,20.03,19.11,278,379,0.73,33.5,144.62,0.2,1.06,2026-03-19,2026-03-19 10:04:17
1416,廣豐,11.65,77.27,67.64,44.44,-0.02,-0.03,0.01,11.86,11.66,11.46,78,213,0.37,21.59,14.38,0.56,4.81,2026-03-19,2026-03-19 10:04:18
1417,嘉裕,8.95,77.42,64.44,55.28,0.0,-0.03,0.03,8.97,8.74,8.5,567,325,1.74,17.0,14.44,,,2026-03-19,2026-03-19 10:04:19
1418,東華,18.45,30.12,30.5,31.65,-0.28,-0.24,-0.05,20.03,19.2,18.36,25,14,1.76,10.02,,,,2026-03-19,2026-03-19 10:04:20
1419,新紡,61.3,29.15,30.22,30.77,-2.33,-2.18,-0.15,71.34,65.29,59.24,69,128,0.54,183.43,13.74,1.5,2.45,2026-03-19,2026-03-19 10:04:20
1423,利華,39.8,50.96,55.87,64.91,0.5,0.38,0.12,41.04,38.93,36.82,168,113,1.49,39.66,9.36,0.8,2.01,2026-03-19,2026-03-19 10:04:21
1432,大魯閣,18.1,55.52,53.51,51.26,-0.06,-0.12,0.06,19.63,18.1,16.57,919,2441,0.38,19.55,3.01,,,2026-03-19,2026-03-19 10:04:22
1434,福懋,16.75,17.75,15.24,25.4,-0.12,-0.01,-0.11,18.51,17.27,16.03,2606,1544,1.69,281.81,32.84,0.8,4.78,2026-03-19,2026-03-19 10:04:23
1435,中福,18.55,8.26,12.14,16.77,-0.84,-0.57,-0.27,24.55,20.94,17.32,19,15,1.25,25.93,,,,2026-03-19,2026-03-19 10:04:23
1436,華友聯,54.2,59.6,51.42,35.87,-1.46,-1.68,0.21,59.21,55.42,51.63,207,255,0.81,105.23,11.34,7.53,13.89,2026-03-19,2026-03-19 10:04:24
1437,勤益控,30.7,22.27,26.02,16.67,-0.46,-0.34,-0.11,33.68,31.96,30.23,93,81,1.14,61.97,12.79,1.83,5.96,2026-03-19,2026-03-19 10:04:25
1438,三地開發,29.55,23.53,21.45,21.39,-0.83,-0.66,-0.16,35.49,31.57,27.64,26,19,1.37,32.86,17.91,,,2026-03-19,2026-03-19 10:04:26
1439,雋揚,27.7,34.07,30.45,33.65,-0.5,-0.5,0.0,30.61,28.44,26.26,10,20,0.52,25.48,9.96,0.3,1.08,2026-03-19,2026-03-19 10:04:27
1440,南紡,13.4,63.02,45.88,49.15,-0.09,-0.15,0.07,13.7,13.07,12.44,2212,2272,0.97,222.01,63.81,0.3,2.24,2026-03-19,2026-03-19 10:04:27
1441,大東,9.93,23.71,17.99,32.65,-0.05,-0.06,0.0,10.16,10.01,9.87,55,30,1.86,7.12,,,,2026-03-19,2026-03-19 10:04:28
1442,名軒,27.05,59.9,47.56,39.88,-0.7,-0.74,0.04,30.45,27.79,25.13,480,703,0.68,99.06,8.93,4.5,16.64,2026-03-19,2026-03-19 10:04:29
1443,立益物流,24.35,3.84,6.7,18.18,-0.68,-0.52,-0.16,28.34,25.92,23.49,5,20,0.26,32.96,21.55,,,2026-03-19,2026-03-19 10:04:30
1444,力麗,6.48,62.3,42.96,53.57,-0.0,-0.03,0.03,6.54,6.23,5.92,1679,1421,1.18,63.79,23.14,,,2026-03-19,2026-03-19 10:04:30
1445,大宇,12.85,31.78,28.59,24.39,-0.39,-0.26,-0.14,15.75,13.81,11.88,59,91,0.65,16.79,,0.5,3.89,2026-03-19,2026-03-19 10:04:31
1446,宏和,17.25,87.15,75.97,62.79,-0.01,-0.26,0.25,17.57,16.18,14.79,466,396,1.18,23.75,6.12,2.0,11.59,2026-03-19,2026-03-19 10:04:32
1447,力鵬,5.61,57.29,49.45,53.6,0.02,0.02,0.01,5.66,5.48,5.31,1366,968,1.41,47.32,15.58,,,2026-03-19,2026-03-19 10:04:32
1449,佳和,13.05,83.03,68.46,72.45,0.13,-0.1,0.23,12.1,10.88,9.66,8193,2596,3.16,16.59,108.75,0.33,2.53,2026-03-19,2026-03-19 10:04:33
1451,年興,18.0,56.41,53.37,43.55,0.04,0.09,-0.05,18.71,18.15,17.59,111,130,0.86,35.64,10.23,1.0,5.56,2026-03-19,2026-03-19 10:04:34
1452,宏益,11.2,47.57,38.07,36.0,-0.15,-0.15,0.0,11.83,11.36,10.88,58,66,0.89,14.86,5.66,0.5,4.46,2026-03-19,2026-03-19 10:04:35
1453,大將,12.3,26.75,25.47,35.38,-0.13,-0.09,-0.04,13.62,12.66,11.71,82,146,0.57,13.93,307.5,,,2026-03-19,2026-03-19 10:04:35
1454,台富,12.8,29.38,25.23,22.64,-0.25,-0.19,-0.06,14.65,13.35,12.06,45,32,1.43,15.63,,0.25,1.95,2026-03-19,2026-03-19 10:04:36
1455,集盛,9.42,76.63,68.83,75.35,0.22,0.14,0.08,9.44,8.68,7.91,1185,1439,0.82,50.09,13.08,,,2026-03-19,2026-03-19 10:04:37
1456,怡華,13.15,68.74,73.78,51.47,0.09,0.08,0.01,13.85,13.27,12.68,58,80,0.73,12.32,3.87,,,2026-03-19,2026-03-19 10:04:37
1457,宜進,16.1,80.62,71.79,51.72,0.16,0.08,0.08,16.41,15.65,14.89,139,243,0.58,37.6,38.33,1.0,6.21,2026-03-19,2026-03-19 10:04:38
1459,聯發,11.7,27.47,26.11,29.41,-0.04,-0.01,-0.03,12.45,11.94,11.43,127,182,0.7,37.15,8.42,,,2026-03-19,2026-03-19 10:04:39
1460,宏遠,6.92,73.29,62.73,52.83,0.08,0.07,0.01,7.07,6.84,6.6,733,886,0.83,46.67,10.65,,,2026-03-19,2026-03-19 10:04:40
1463,強盛新,17.6,65.23,65.86,22.58,-0.05,-0.02,-0.04,18.49,18.03,17.58,67,99,0.68,30.2,135.38,2.1,11.93,2026-03-19,2026-03-19 10:04:41
1464,得力,10.6,15.9,21.37,39.47,-0.15,-0.13,-0.02,11.28,10.88,10.49,559,375,1.49,44.93,27.18,0.5,4.72,2026-03-19,2026-03-19 10:04:41
1465,偉全,12.15,29.0,41.93,29.41,-0.07,-0.05,-0.02,12.58,12.37,12.17,58,189,0.31,12.59,,0.6,4.94,2026-03-19,2026-03-19 10:04:42
1466,聚隆,17.8,46.77,42.38,34.31,0.55,0.63,-0.08,19.51,17.87,16.23,309,768,0.4,19.79,,,,2026-03-19,2026-03-19 10:04:43
1467,南緯,7.09,35.27,35.67,30.08,-0.1,-0.09,-0.01,7.63,7.29,6.95,244,209,1.16,16.56,,,,2026-03-19,2026-03-19 10:04:44
1468,昶和,12.15,26.25,26.42,15.38,-0.14,-0.03,-0.11,13.83,12.82,11.81,79,54,1.46,19.49,57.86,,,2026-03-19,2026-03-19 10:04:45
1470,大統新創,22.75,36.21,33.75,44.03,-0.19,-0.11,-0.09,24.2,22.92,21.65,4,10,0.37,19.51,29.17,1.01,4.44,2026-03-19,2026-03-19 10:04:46
1471,首利,12.7,52.15,50.4,43.92,0.35,0.37,-0.03,14.3,12.51,10.72,951,1837,0.52,19.1,423.33,,,2026-03-19,2026-03-19 10:04:46
1472,三洋實業,96.7,84.47,82.2,70.21,1.43,0.83,0.6,95.31,91.28,87.24,268,165,1.62,50.76,15.9,3.0,3.1,2026-03-19,2026-03-19 10:04:47
1473,台南,23.5,45.57,50.04,34.82,-0.31,-0.23,-0.08,26.05,24.61,23.18,58,132,0.44,34.35,41.23,2.0,8.51,2026-03-19,2026-03-19 10:04:48
1474,弘裕,10.0,26.24,24.9,29.17,-0.1,-0.1,0.0,10.38,10.14,9.9,67,75,0.89,12.99,30.3,0.4,4.0,2026-03-19,2026-03-19 10:04:49
1475,業旺,28.85,57.91,42.41,33.61,-0.71,-0.75,0.03,31.68,29.48,27.27,9,28,0.32,19.05,8.41,1.5,5.2,2026-03-19,2026-03-19 10:04:49
1476,儒鴻,372.5,32.96,24.6,30.35,-9.38,-7.22,-2.16,445.45,397.88,350.3,2194,1205,1.82,1022.02,18.52,17.0,4.56,2026-03-19,2026-03-19 10:04:50
1477,聚陽,293.0,41.65,30.43,31.25,-6.08,-4.88,-1.2,330.61,303.82,277.04,1985,1677,1.18,722.81,20.1,15.0,5.12,2026-03-19,2026-03-19 10:04:51
