股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,25.3,25.35,25.45,25.15,73.83,71.1,76.04,0.13,-0.18,0.31,25.97,23.92,21.87,24342,43208,0.56,1946.37,15.57,1.0,3.95,2026-04-14,2026-04-14 09:04:48
1102,亞泥,35.55,35.85,35.85,35.3,78.72,81.02,69.57,0.17,0.04,0.13,36.04,34.96,33.89,9611,9554,1.01,1260.8,11.89,2.2,6.19,2026-04-14,2026-04-14 09:04:49
1103,嘉泥,13.9,13.9,13.95,13.85,76.76,70.07,61.11,0.02,-0.02,0.04,13.95,13.68,13.41,292,324,0.9,91.57,16.55,0.55,3.96,2026-04-14,2026-04-14 09:04:50
1104,環泥,29.1,29.4,29.5,29.05,18.74,26.8,48.15,-0.08,-0.05,-0.02,29.91,29.45,28.98,1284,791,1.62,199.82,11.41,1.7,5.84,2026-04-14,2026-04-14 09:04:50
1108,幸福,14.85,14.85,14.9,14.8,52.39,43.33,53.33,-0.06,-0.06,0.01,15.11,14.88,14.65,420,405,1.04,60.1,6.88,0.75,5.05,2026-04-14,2026-04-14 09:04:51
1109,信大,15.45,15.4,15.5,15.35,78.37,68.71,80.0,0.0,-0.03,0.03,15.51,15.31,15.12,170,101,1.69,52.71,15.0,0.9,5.83,2026-04-14,2026-04-14 09:04:52
1110,東泥,15.45,15.35,15.55,15.25,70.52,56.65,59.02,-0.18,-0.25,0.07,15.94,15.2,14.46,183,169,1.08,88.05,42.92,0.3,1.94,2026-04-14,2026-04-14 09:04:53
1201,味全,13.35,13.3,13.4,13.25,29.18,36.25,44.44,-0.2,-0.21,0.01,13.92,13.53,13.14,547,477,1.15,67.56,33.38,0.5,3.75,2026-04-14,2026-04-14 09:04:53
1203,味王,41.85,41.7,41.9,41.3,85.54,76.24,87.1,0.41,0.12,0.29,41.34,39.49,37.64,78,40,1.92,99.48,23.12,1.2,2.87,2026-04-14,2026-04-14 09:04:54
1210,大成,54.2,55.2,55.2,54.2,38.51,49.93,52.5,0.62,0.69,-0.06,55.15,54.18,53.22,2602,2147,1.21,453.5,12.55,2.83,5.22,2026-04-14,2026-04-14 09:04:55
