股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1309,台達化,20.0,86.63,84.33,80.25,1.7,1.14,0.56,19.73,14.94,10.15,47789,25331,1.89,79.52,,0.2,1.0,2026-03-24,2026-03-24 07:31:09
1310,台苯,11.55,46.69,59.99,68.81,0.69,0.66,0.03,12.99,10.8,8.62,19406,24757,0.78,60.97,44.42,,,2026-03-24,2026-03-24 07:31:10
1312,國喬,13.95,45.51,47.38,64.37,0.3,0.27,0.03,14.67,13.71,12.74,16821,30291,0.56,159.24,21.14,,,2026-03-24,2026-03-24 07:31:10
1313,聯成,12.65,39.12,40.36,48.31,0.48,0.51,-0.02,13.84,12.44,11.04,10164,16580,0.61,168.35,,0.15,1.19,2026-03-24,2026-03-24 07:31:11
1314,中石化,8.32,15.43,24.44,52.16,0.07,0.13,-0.06,9.32,8.57,7.81,39492,65884,0.6,314.9,4.78,,,2026-03-24,2026-03-24 07:31:12
1315,達新,63.0,35.84,36.07,45.45,-0.26,-0.18,-0.09,65.75,64.07,62.39,20,17,1.15,60.18,40.65,4.5,7.14,2026-03-24,2026-03-24 07:31:13
1316,上曜,12.3,23.97,34.34,43.1,-0.38,-0.35,-0.02,13.92,13.0,12.09,1767,1810,0.98,42.69,55.91,,,2026-03-24,2026-03-24 07:31:13
1319,東陽,82.2,13.15,11.91,24.21,-5.14,-4.63,-0.51,102.72,89.7,76.68,1578,2626,0.6,486.19,12.78,5.3,6.45,2026-03-24,2026-03-24 07:31:14
1321,大洋,33.0,27.67,33.42,47.32,-0.18,-0.15,-0.04,34.22,33.44,32.66,67,153,0.44,72.83,,0.38,1.15,2026-03-24,2026-03-24 07:31:15
1323,永裕,19.0,82.06,86.72,60.0,0.07,-0.01,0.07,19.22,18.74,18.26,44,59,0.75,17.34,73.08,0.9,4.74,2026-03-24,2026-03-24 07:31:16
1324,地球,10.4,30.51,27.22,50.0,-0.07,-0.08,0.02,10.77,10.5,10.24,148,178,0.83,7.81,,0.2,1.92,2026-03-24,2026-03-24 07:31:16
1325,恆大,27.25,37.8,39.64,50.46,-0.66,-0.72,0.06,29.35,27.72,26.1,500,410,1.22,23.24,,0.3,1.1,2026-03-24,2026-03-24 07:31:17
1326,台化,43.0,40.15,43.06,48.51,0.91,1.34,-0.43,49.85,45.12,40.4,21449,44301,0.48,2515.08,40.16,0.5,1.16,2026-03-24,2026-03-24 07:31:18
1337,再生-KY,6.28,62.31,63.38,72.93,0.24,0.19,0.05,6.56,5.79,5.03,1088,2053,0.53,16.89,,,,2026-03-24,2026-03-24 07:31:19
1338,廣華-KY,14.35,18.09,19.25,22.45,-1.15,-1.11,-0.05,19.31,16.36,13.4,319,220,1.45,11.59,1.66,0.78,5.44,2026-03-24,2026-03-24 07:31:19
1339,昭輝,41.25,52.52,50.24,46.09,-0.52,-0.51,-0.01,44.17,42.01,39.84,36,46,0.79,30.58,17.12,3.0,7.27,2026-03-24,2026-03-24 07:31:20
1340,勝悅-KY,6.86,18.49,32.34,54.55,0.0,0.04,-0.04,7.51,7.09,6.68,116,179,0.65,10.49,,,,2026-03-24,2026-03-24 07:31:21
1341,富林-KY,57.6,51.99,55.93,42.86,-0.26,-0.06,-0.2,62.69,59.67,56.66,4,6,0.59,30.44,15.57,5.2,9.03,2026-03-24,2026-03-24 07:31:21
1342,八貫,84.8,17.26,18.84,26.34,-1.39,-0.62,-0.77,97.38,90.11,82.85,231,359,0.64,66.14,15.17,6.0,7.08,2026-03-24,2026-03-24 07:31:22
1402,遠東新,26.1,7.69,7.23,29.25,-0.55,-0.31,-0.25,29.92,27.82,25.72,18570,22210,0.84,1396.9,16.84,1.6,6.13,2026-03-24,2026-03-24 07:31:23
1409,新纖,15.8,48.32,58.98,61.4,0.27,0.24,0.03,16.97,15.67,14.37,4745,8965,0.53,254.97,13.28,0.6,3.8,2026-03-24,2026-03-24 07:31:24
1410,南染,31.35,15.72,15.34,33.88,-0.6,-0.49,-0.11,34.22,32.39,30.56,52,46,1.12,19.44,55.98,0.51,1.63,2026-03-24,2026-03-24 07:31:24
1413,宏洲,9.67,40.46,36.53,45.63,-0.08,-0.08,-0.01,10.12,9.77,9.43,14,25,0.56,12.78,21.49,,,2026-03-24,2026-03-24 07:31:25
1414,東和,17.65,6.22,13.54,27.78,-0.36,-0.02,-0.34,21.58,19.73,17.89,136,247,0.55,31.45,135.77,0.2,1.13,2026-03-24,2026-03-24 07:31:26
1416,廣豐,11.4,46.97,60.84,44.83,-0.04,-0.03,-0.01,11.87,11.63,11.4,438,212,2.07,21.13,14.07,0.56,4.91,2026-03-24,2026-03-24 07:31:26
1417,嘉裕,9.16,73.67,73.06,77.39,0.07,0.01,0.06,9.14,8.78,8.42,478,413,1.16,17.4,14.77,,,2026-03-24,2026-03-24 07:31:28
1418,東華,19.0,31.53,29.76,48.65,-0.23,-0.24,0.01,19.83,19.07,18.32,91,36,2.52,10.32,,,,2026-03-24,2026-03-24 07:31:30
1419,新紡,60.7,29.64,27.22,37.33,-2.44,-2.33,-0.1,68.9,63.83,58.75,87,111,0.79,181.64,14.8,1.5,2.47,2026-03-24,2026-03-24 07:31:31
1423,利華,39.95,35.16,45.33,67.89,0.49,0.44,0.05,41.33,39.19,37.05,16,79,0.2,39.81,9.23,0.8,2.0,2026-03-24,2026-03-24 07:31:31
1432,大魯閣,17.95,37.48,47.56,54.81,-0.07,-0.09,0.02,19.11,17.92,16.73,797,897,0.89,19.39,2.98,,,2026-03-24,2026-03-24 07:31:32
