股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,24.5,24.75,24.9,24.4,27.41,44.21,65.0,0.12,0.05,0.08,26.27,24.17,22.07,20551,17829,1.15,1884.83,15.08,1.0,4.08,2026-04-22,2026-04-22 09:06:56
1102,亞泥,35.65,35.3,35.65,35.25,48.84,52.33,63.01,0.13,0.11,0.02,36.13,35.24,34.36,8471,11749,0.72,1264.35,11.92,2.2,6.17,2026-04-22,2026-04-22 09:06:57
1103,嘉泥,13.8,13.9,13.9,13.75,46.55,61.73,59.38,0.04,0.02,0.01,14.04,13.77,13.51,316,288,1.1,90.91,16.43,0.55,3.99,2026-04-22,2026-04-22 09:06:59
1104,環泥,29.05,29.35,29.35,29.0,25.68,29.58,42.86,-0.1,-0.08,-0.02,29.8,29.39,28.97,505,692,0.73,,11.39,1.7,5.85,2026-04-22,2026-04-22 09:07:00
1108,幸福,14.7,14.8,14.8,14.65,31.17,41.41,50.0,-0.06,-0.06,-0.0,14.96,14.83,14.69,382,267,1.43,59.5,6.81,0.75,5.1,2026-04-22,2026-04-22 09:07:01
1109,信大,15.4,15.45,15.5,15.4,44.07,57.85,66.67,0.02,0.01,0.01,15.57,15.35,15.13,135,172,0.79,52.54,14.95,0.9,5.84,2026-04-22,2026-04-22 09:07:02
1110,東泥,15.1,15.7,15.7,15.05,47.51,64.64,47.5,-0.03,-0.09,0.06,16.06,15.26,14.46,153,177,0.87,86.05,41.94,0.3,1.99,2026-04-22,2026-04-22 09:07:03
1201,味全,13.15,13.2,13.2,13.1,19.23,23.04,37.5,-0.19,-0.19,0.01,13.62,13.38,13.14,342,437,0.78,66.55,32.88,0.5,3.8,2026-04-22,2026-04-22 09:07:04
1203,味王,44.1,44.2,44.5,43.8,92.24,91.29,91.07,1.16,0.73,0.42,44.54,40.9,37.26,30,56,0.54,104.83,24.36,1.2,2.72,2026-04-22,2026-04-22 09:07:05
1210,大成,54.1,54.1,54.1,53.6,33.86,37.61,48.28,0.4,0.55,-0.14,55.17,54.42,53.68,2894,2745,1.05,452.66,12.52,2.83,5.23,2026-04-22,2026-04-22 09:07:07
1213,大飲,9.17,9.33,9.33,8.98,41.28,44.69,36.75,-0.16,-0.13,-0.03,10.02,9.49,8.95,13,33,0.39,5.19,,0.35,3.82,2026-04-22,2026-04-22 09:07:08
1215,卜蜂,141.0,143.5,143.5,141.0,34.51,49.71,67.65,-1.66,-1.95,0.29,147.73,142.2,136.67,1166,1035,1.13,415.65,13.6,7.0,4.96,2026-04-22,2026-04-22 09:07:09
1216,統一,72.4,72.1,72.6,72.0,57.41,63.46,61.29,0.22,0.14,0.08,73.61,72.03,70.44,11190,10501,1.07,4113.78,21.05,3.0,4.14,2026-04-22,2026-04-22 09:07:10
1217,愛之味,10.35,10.35,10.4,10.3,73.3,71.49,55.56,0.01,-0.0,0.01,10.45,10.3,10.16,788,559,1.41,51.18,24.64,0.25,2.42,2026-04-22,2026-04-22 09:07:11
1218,泰山,19.0,19.05,19.05,18.9,26.75,31.69,37.5,0.06,0.14,-0.08,19.6,19.26,18.92,395,752,0.53,92.4,14.62,1.35,7.11,2026-04-22,2026-04-22 09:07:12
1219,福壽,14.0,14.05,14.05,13.9,32.1,45.36,51.06,0.13,0.15,-0.02,14.58,14.05,13.52,369,544,0.68,47.77,31.11,0.5,3.57,2026-04-22,2026-04-22 09:07:14
1220,台榮,12.6,12.7,12.7,12.55,51.33,55.78,52.38,-0.02,-0.04,0.02,12.81,12.56,12.31,75,118,0.64,22.23,157.5,0.7,5.56,2026-04-22,2026-04-22 09:07:15
1225,福懋油,33.2,33.5,33.5,33.15,54.53,63.41,62.84,0.63,0.64,-0.01,34.56,32.73,30.89,147,353,0.42,80.43,20.49,0.14,0.42,2026-04-22,2026-04-22 09:07:16
1227,佳格,29.85,30.15,30.15,29.75,20.84,24.47,37.14,0.03,0.09,-0.07,30.95,30.28,29.61,1540,1388,1.11,271.16,22.44,1.4,4.69,2026-04-22,2026-04-22 09:07:17
1229,聯華,43.5,43.5,43.75,43.4,13.75,19.28,25.4,-0.25,-0.16,-0.1,45.49,44.45,43.4,3187,2909,1.1,778.09,16.93,1.3,2.99,2026-04-22,2026-04-22 09:07:18
1231,聯華食,88.9,90.0,90.0,88.8,8.27,16.33,28.75,-0.3,0.07,-0.38,94.22,91.14,88.06,275,316,0.87,265.33,23.33,1.6,1.8,2026-04-22,2026-04-22 09:07:19
1232,大統益,150.0,151.5,151.5,149.5,49.36,59.8,57.14,0.2,0.19,0.01,151.08,150.0,148.92,91,81,1.12,239.96,18.18,7.0,4.67,2026-04-22,2026-04-22 09:07:21
1233,天仁,28.7,28.7,28.7,28.55,27.68,44.35,50.94,-0.49,-0.56,0.06,30.18,29.2,28.22,22,19,1.15,25.99,38.27,0.95,3.31,2026-04-22,2026-04-22 09:07:22
1234,黑松,35.85,36.1,36.2,35.85,49.61,54.71,51.43,-0.08,-0.13,0.05,36.27,35.92,35.57,133,128,1.04,144.07,17.93,1.65,4.6,2026-04-22,2026-04-22 09:07:23
1235,興泰,45.9,46.45,46.45,45.45,89.89,87.01,77.57,1.62,0.98,0.65,48.42,41.91,35.41,3,37,0.08,20.87,,0.5,1.09,2026-04-22,2026-04-22 09:07:24
1236,宏亞,25.45,25.45,25.55,25.2,40.04,51.76,42.35,-0.15,-0.11,-0.03,27.3,26.19,25.08,19,75,0.26,22.06,,0.6,2.36,2026-04-22,2026-04-22 09:07:25
1256,鮮活果汁-KY,163.5,165.5,167.0,163.5,83.36,75.66,75.31,1.48,-0.5,1.98,163.99,152.53,141.06,79,73,1.09,58.49,14.66,4.66,2.85,2026-04-22,2026-04-22 09:07:26
1301,台塑,51.9,52.0,52.5,51.2,62.23,66.19,66.3,1.57,1.21,0.36,55.55,49.15,42.75,15227,26552,0.57,3303.82,37.83,0.5,0.96,2026-04-22,2026-04-22 09:07:29
1303,南亞,89.4,88.8,91.2,87.3,71.04,70.65,71.23,2.52,1.87,0.65,94.28,82.28,70.29,59408,75252,0.79,7090.16,156.84,0.7,0.78,2026-04-22,2026-04-22 09:07:30
1304,台聚,14.35,14.9,15.0,14.35,6.78,12.25,23.65,0.15,0.55,-0.41,18.51,16.02,13.53,8132,10954,0.74,153.87,,0.2,1.39,2026-04-22,2026-04-22 09:07:32
1305,華夏,14.45,14.65,14.9,14.4,10.07,17.24,32.94,0.06,0.54,-0.49,18.99,16.59,14.19,4797,9101,0.53,83.96,,0.15,1.04,2026-04-22,2026-04-22 09:07:33
1307,三芳,32.15,31.7,32.35,31.6,45.26,40.75,48.08,-0.43,-0.4,-0.03,34.67,32.45,30.22,984,632,1.56,127.9,11.32,2.7,8.4,2026-04-22,2026-04-22 09:07:34
1308,亞聚,15.3,15.65,15.75,15.2,9.13,10.98,25.76,-0.1,0.27,-0.37,19.52,17.01,14.5,2912,4654,0.63,90.84,56.67,0.25,1.63,2026-04-22,2026-04-22 09:07:35
1309,台達化,18.6,19.5,19.9,18.6,6.87,14.9,33.08,0.61,1.5,-0.89,26.74,21.92,17.1,9860,11601,0.85,73.95,,0.2,1.08,2026-04-22,2026-04-22 09:07:36
1310,台苯,9.8,10.05,10.1,9.8,11.55,12.82,33.85,-0.21,-0.05,-0.16,11.86,10.66,9.45,3981,5793,0.69,51.73,37.69,,,2026-04-22,2026-04-22 09:07:37
1312,國喬,12.85,13.3,13.4,12.85,27.76,37.69,45.54,-0.04,0.03,-0.07,14.73,13.53,12.33,7944,12928,0.61,146.68,19.47,,,2026-04-22,2026-04-22 09:07:39
1313,聯成,11.7,12.0,12.05,11.7,20.19,29.18,39.29,-0.06,0.07,-0.13,13.42,12.43,11.45,3932,5857,0.67,155.71,,0.15,1.28,2026-04-22,2026-04-22 09:07:40
1314,中石化,7.68,7.81,7.86,7.67,32.5,31.34,35.85,-0.18,-0.14,-0.03,8.49,8.01,7.53,14933,17972,0.83,290.68,4.41,,,2026-04-22,2026-04-22 09:07:41
1315,達新,65.4,65.9,65.9,65.4,53.99,45.14,70.37,0.39,0.19,0.21,65.93,64.07,62.22,53,36,1.49,62.47,42.19,4.5,6.88,2026-04-22,2026-04-22 09:07:42
1316,上曜,11.7,11.95,12.0,11.65,17.34,23.97,39.29,-0.27,-0.28,0.01,12.48,12.11,11.75,3161,2494,1.27,38.81,53.18,,,2026-04-22,2026-04-22 09:07:43
1319,東陽,78.1,79.0,79.1,78.1,27.97,26.53,42.42,-2.91,-3.34,0.44,84.79,80.46,76.13,2245,2473,0.91,461.94,12.15,5.3,6.79,2026-04-22,2026-04-22 09:07:44
1321,大洋,32.25,32.7,32.85,32.05,17.65,22.05,27.08,-0.25,-0.14,-0.11,34.43,33.32,32.21,424,225,1.88,71.17,,0.38,1.18,2026-04-22,2026-04-22 09:07:45
1323,永裕,20.25,20.65,20.65,20.15,7.93,16.73,37.33,0.34,0.62,-0.28,24.26,21.27,18.27,101,117,0.86,18.48,77.88,0.9,4.44,2026-04-22,2026-04-22 09:07:47
1324,地球,11.5,11.25,11.85,11.25,18.93,19.77,45.79,0.16,0.21,-0.05,12.49,11.35,10.22,395,232,1.7,8.64,,0.2,1.74,2026-04-22,2026-04-22 09:07:48
1325,恆大,26.85,27.0,27.2,26.85,39.31,31.66,43.75,-0.31,-0.36,0.05,27.76,27.08,26.4,210,157,1.34,22.9,,0.3,1.12,2026-04-22,2026-04-22 09:07:49
1326,台化,50.6,50.8,51.4,50.3,59.22,60.4,64.68,1.95,1.73,0.22,54.33,47.52,40.71,22852,24929,0.92,2959.6,47.63,0.5,0.99,2026-04-22,2026-04-22 09:07:50
1337,再生-KY,5.34,5.39,5.4,5.31,8.34,12.42,24.84,-0.12,-0.03,-0.08,6.56,5.86,5.17,622,666,0.93,14.36,,,,2026-04-22,2026-04-22 09:07:51
