股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,100.25,102.6,102.95,100.2,47.59,65.61,63.86,3.33,3.86,-0.53,109.46,100.01,90.56,192289,172228,1.12,,29.28,,,2026-06-10,2026-06-10 07:36:54
0051,元大中型100,136.15,140.4,141.3,136.15,47.97,66.88,60.23,3.92,4.72,-0.8,150.18,137.56,124.95,182,119,1.53,,26.78,,,2026-06-10,2026-06-10 07:36:55
0052,富邦科技,58.25,59.5,59.9,58.25,41.7,61.31,60.98,1.93,2.35,-0.42,64.42,58.84,53.26,46752,44009,1.06,,34.0,,,2026-06-10,2026-06-10 07:36:56
0053,元大電子,227.3,237.7,237.7,227.3,39.31,60.69,60.61,7.46,9.3,-1.85,253.05,230.98,208.9,58,42,1.39,,38.3,,,2026-06-10,2026-06-10 07:36:57
0055,元大MSCI金融,39.55,39.97,40.09,39.46,90.35,90.56,85.68,1.42,0.95,0.47,39.8,35.51,31.22,1343,1435,0.94,,15.97,,,2026-06-10,2026-06-10 07:36:59
0056,元大高股息,49.62,50.5,51.05,49.59,54.02,71.91,67.48,2.28,2.4,-0.12,54.83,48.32,41.82,72874,74842,0.97,,19.84,,,2026-06-10,2026-06-10 07:37:00
0057,富邦摩台,293.7,303.6,304.1,293.7,38.01,62.12,61.69,9.16,11.07,-1.92,323.4,297.3,271.19,71,29,2.39,,31.87,,,2026-06-10,2026-06-10 07:37:01
0061,元大寶滬深,24.26,24.49,24.5,24.26,25.02,43.26,42.36,0.05,0.17,-0.11,25.61,24.95,24.28,333,324,1.03,,19.86,,,2026-06-10,2026-06-10 07:37:02
1101,台泥,23.9,23.95,24.25,23.85,32.39,42.84,45.45,-0.11,-0.08,-0.03,24.83,24.21,23.58,31934,35815,0.89,1790.87,16.08,0.8,3.35,2026-06-10,2026-06-10 07:37:03
1102,亞泥,34.4,33.8,34.6,33.8,74.37,66.2,45.6,-0.2,-0.29,0.09,35.4,34.07,32.74,16511,15217,1.08,1220.02,11.51,2.3,6.69,2026-06-10,2026-06-10 07:37:04
1103,嘉泥,13.45,13.3,13.5,13.25,60.34,66.65,61.11,0.01,-0.02,0.04,13.68,13.24,12.8,223,394,0.57,88.6,16.01,0.55,4.09,2026-06-10,2026-06-10 07:37:06
1104,環泥,29.0,29.05,29.25,28.75,80.67,79.88,72.73,0.2,-0.01,0.21,29.56,28.0,26.45,894,1214,0.74,199.14,11.37,1.85,6.38,2026-06-10,2026-06-10 07:37:07
1108,幸福,13.6,13.75,13.8,13.55,36.81,51.91,45.45,-0.16,-0.19,0.03,14.07,13.73,13.39,881,618,1.43,55.04,6.3,0.75,5.51,2026-06-10,2026-06-10 07:37:08
1109,信大,14.6,14.65,14.65,14.4,60.22,65.97,48.0,-0.13,-0.16,0.03,15.04,14.66,14.28,455,186,2.45,49.81,14.17,0.9,6.16,2026-06-10,2026-06-10 07:37:09
1110,東泥,15.4,15.3,15.5,15.25,50.81,57.49,68.75,0.19,0.04,0.16,16.13,14.66,13.19,279,533,0.53,87.85,42.78,0.3,1.95,2026-06-10,2026-06-10 07:37:10
1201,味全,12.4,12.2,12.45,12.15,54.41,58.51,57.89,-0.06,-0.12,0.06,12.56,12.2,11.83,387,518,0.75,62.75,31.0,0.5,4.03,2026-06-10,2026-06-10 07:37:11
1203,味王,41.7,41.15,41.95,41.15,38.82,55.39,38.27,-0.0,0.17,-0.17,44.43,42.6,40.77,26,16,1.6,99.12,23.04,1.2,2.88,2026-06-10,2026-06-10 07:37:13
