股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,106.95,107.1,107.35,106.7,62.65,52.27,65.65,0.77,0.56,0.21,107.63,104.33,101.03,77932,59530,1.31,,32.43,,,2026-08-28,2026-08-28 07:31:29
0051,元大中型100,146.0,146.15,146.95,145.55,61.07,50.2,71.28,1.27,0.86,0.4,148.49,141.56,134.62,34,29,1.15,,24.42,,,2026-08-28,2026-08-28 07:31:30
0052,富邦科技,62.35,62.5,62.7,62.25,62.95,52.12,64.83,0.38,0.22,0.16,62.83,60.83,58.84,15144,10697,1.42,,33.75,,,2026-08-28,2026-08-28 07:31:31
0053,元大電子,243.5,244.0,244.2,243.2,67.97,59.2,66.16,2.34,1.75,0.59,246.84,236.77,226.7,44,48,0.93,,35.79,,,2026-08-28,2026-08-28 07:31:32
0055,元大MSCI金融,45.11,44.99,45.16,44.85,78.49,66.91,60.94,0.51,0.49,0.02,44.95,44.03,43.11,309,326,0.95,,18.13,,,2026-08-28,2026-08-28 07:31:33
0056,元大高股息,53.85,54.0,54.45,53.75,60.08,52.54,72.95,0.75,0.66,0.09,54.39,52.08,49.77,19140,19343,0.99,,21.06,,,2026-08-28,2026-08-28 07:31:34
0057,富邦摩台,319.55,320.75,320.8,319.0,64.86,54.24,65.8,2.42,1.8,0.62,321.94,311.68,301.42,12,9,1.34,,32.12,,,2026-08-28,2026-08-28 07:31:35
0061,元大寶滬深,24.37,24.31,24.46,24.29,29.57,29.68,33.61,-0.16,-0.1,-0.05,25.35,24.7,24.05,51,105,0.49,,19.95,,,2026-08-28,2026-08-28 07:31:35
1101,台泥,24.3,24.1,24.4,24.1,30.22,40.07,45.61,0.13,0.18,-0.04,24.97,24.3,23.64,16801,30706,0.55,1820.84,21.44,0.8,3.29,2026-08-28,2026-08-28 07:31:36
1102,亞泥,34.55,34.9,34.9,34.3,82.86,86.3,64.04,0.56,0.39,0.17,35.77,33.57,31.36,8904,8241,1.08,1225.34,9.14,2.3,6.66,2026-08-28,2026-08-28 07:31:37
1103,嘉泥,13.15,13.2,13.25,13.15,45.37,49.95,46.15,0.04,0.04,-0.0,13.35,13.15,12.96,209,302,0.69,92.23,9.33,0.52,3.95,2026-08-28,2026-08-28 07:31:38
1104,環泥,26.45,26.6,26.65,26.45,56.98,61.33,45.0,-0.03,-0.03,0.0,26.94,26.61,26.28,931,694,1.34,,9.83,1.85,6.99,2026-08-28,2026-08-28 07:31:39
1108,幸福,11.75,11.75,11.8,11.7,30.63,33.24,31.58,-0.14,-0.16,0.02,12.15,11.86,11.56,113,139,0.81,47.56,17.54,1.0,8.51,2026-08-28,2026-08-28 07:31:40
1109,信大,13.5,13.6,13.6,13.5,40.31,43.56,47.62,-0.04,-0.04,0.0,13.73,13.58,13.42,73,78,0.94,46.06,19.57,0.9,6.67,2026-08-28,2026-08-28 07:31:41
1110,東泥,15.95,16.05,16.05,15.9,42.8,39.37,41.03,0.04,0.08,-0.04,16.43,16.03,15.63,24,105,0.24,90.99,25.32,0.3,1.88,2026-08-28,2026-08-28 07:31:42
1201,味全,12.25,12.2,12.3,12.15,33.54,47.09,56.25,0.01,0.01,-0.0,12.45,12.22,11.99,303,394,0.77,61.99,20.08,0.21,1.71,2026-08-28,2026-08-28 07:31:43
1203,味王,45.2,46.0,46.0,45.05,61.94,53.62,45.99,-0.19,-0.17,-0.02,48.98,45.81,42.64,13,14,0.91,107.44,21.52,1.0,2.21,2026-08-28,2026-08-28 07:31:44
1210,大成,52.0,52.2,52.4,51.9,37.81,46.76,40.0,-0.26,-0.22,-0.04,53.61,52.63,51.64,1729,1095,1.58,435.09,12.81,3.0,5.77,2026-08-28,2026-08-28 07:31:45
1213,大飲,7.7,8.07,8.07,7.69,44.14,31.69,49.22,-0.06,-0.08,0.02,7.84,7.43,7.02,113,38,2.96,4.36,,0.35,4.55,2026-08-28,2026-08-28 07:31:46
1215,卜蜂,108.5,108.5,109.0,107.5,41.13,55.9,48.0,-0.19,-0.44,0.25,112.54,108.05,103.56,450,632,0.71,319.85,12.53,7.0,6.45,2026-08-28,2026-08-28 07:31:47
1216,統一,75.7,76.5,76.5,75.2,57.92,71.92,51.19,0.71,0.75,-0.04,79.21,75.95,72.69,10257,10640,0.96,4301.29,18.37,3.0,3.96,2026-08-28,2026-08-28 07:31:48
1217,愛之味,9.97,9.99,10.0,9.97,63.15,72.51,65.12,0.03,0.02,0.01,10.1,9.92,9.74,360,429,0.84,49.3,15.11,0.25,2.51,2026-08-28,2026-08-28 07:31:49
1218,泰山,14.55,14.6,14.65,14.35,41.7,37.48,28.07,-0.45,-0.47,0.02,16.08,15.03,13.98,2440,1785,1.37,70.76,11.93,1.32,9.07,2026-08-28,2026-08-28 07:31:50
1219,福壽,11.5,11.7,11.75,11.45,75.1,77.15,65.91,-0.01,-0.13,0.12,11.78,11.09,10.4,578,655,0.88,39.24,,0.5,4.35,2026-08-28,2026-08-28 07:31:51
1220,台榮,10.9,10.95,10.95,10.8,37.54,35.05,30.77,-0.1,-0.1,-0.0,11.28,11.03,10.77,116,71,1.64,19.23,155.71,0.2,1.83,2026-08-28,2026-08-28 07:31:52
1225,福懋油,25.45,26.4,26.4,25.35,54.65,52.63,55.17,-0.31,-0.58,0.27,25.86,24.69,23.51,294,161,1.82,61.66,121.19,0.14,0.55,2026-08-28,2026-08-28 07:31:52
1227,佳格,28.65,28.9,28.9,28.6,31.92,45.26,40.68,0.03,0.08,-0.05,29.32,28.92,28.51,756,533,1.42,260.26,17.8,1.34,4.68,2026-08-28,2026-08-28 07:31:53
1229,聯華,42.15,42.45,42.45,41.85,76.13,72.16,63.3,0.42,0.37,0.05,42.76,41.29,39.81,1030,1227,0.84,769.04,17.27,1.8,4.27,2026-08-28,2026-08-28 07:31:54
1231,聯華食,80.6,81.1,81.1,80.6,23.04,34.57,51.46,0.27,0.44,-0.16,83.01,81.03,79.05,266,212,1.26,264.61,17.99,1.5,1.86,2026-08-28,2026-08-28 07:31:55
1232,大統益,156.5,156.5,157.5,156.0,61.96,61.56,51.85,1.23,1.28,-0.05,158.83,155.25,151.67,102,81,1.27,250.36,17.37,7.2,4.6,2026-08-28,2026-08-28 07:31:56
1233,天仁,28.9,28.55,28.9,28.55,73.94,58.35,60.71,0.02,-0.06,0.08,29.22,28.29,27.35,7,13,0.53,26.17,31.41,0.2,0.69,2026-08-28,2026-08-28 07:31:57
1234,黑松,33.25,33.25,33.4,33.2,15.75,21.78,45.65,-0.07,-0.02,-0.05,33.95,33.5,33.06,40,59,0.68,133.62,20.27,1.65,4.96,2026-08-28,2026-08-28 07:31:58
1235,興泰,37.0,37.25,37.25,37.0,53.93,55.65,51.98,0.17,0.0,0.16,38.21,36.58,34.95,2,25,0.11,16.82,,0.5,1.35,2026-08-28,2026-08-28 07:31:59
1236,宏亞,25.55,25.5,25.75,25.45,72.92,73.35,50.0,0.37,0.39,-0.02,25.92,25.31,24.7,111,65,1.69,22.15,,1.65,6.46,2026-08-28,2026-08-28 07:32:00
1240,茂生農經,57.2,57.3,57.3,57.1,80.49,86.35,87.1,0.59,0.53,0.06,58.15,56.32,54.49,11,8,1.3,25.3,10.67,3.0,5.24,2026-08-28,2026-08-28 07:32:01
1256,鮮活果汁-KY,188.0,185.5,188.0,183.5,82.42,69.71,67.24,0.49,-0.52,1.0,187.69,180.75,173.81,109,64,1.68,67.26,13.8,6.6,3.51,2026-08-28,2026-08-28 07:32:02
1259,安心,62.7,61.2,62.7,61.2,39.34,53.79,61.25,1.13,1.38,-0.25,67.42,62.51,57.59,6,5,1.2,20.31,17.71,1.2,1.91,2026-08-28,2026-08-28 07:32:03
1264,德麥,252.0,252.0,252.0,251.5,10.71,19.54,22.73,-1.08,-0.41,-0.67,260.84,255.93,251.01,13,28,0.48,93.37,11.9,15.0,5.95,2026-08-28,2026-08-28 07:32:05
1268,漢來美食,181.0,181.0,182.0,180.5,66.41,63.43,35.71,2.32,2.54,-0.22,188.0,179.18,170.35,16,12,1.34,76.42,13.75,8.0,4.42,2026-08-28,2026-08-28 07:32:06
1294,漢田生技,54.4,54.4,54.5,54.4,11.86,16.64,32.38,-0.82,-0.64,-0.18,59.33,56.52,53.71,17,27,0.63,19.76,13.43,3.0,5.51,2026-08-28,2026-08-28 07:32:07
1295,生合,46.3,46.6,46.65,46.2,48.92,40.23,46.32,-0.41,-0.54,0.13,47.22,46.3,45.39,24,54,0.45,17.41,10.82,2.99,6.46,2026-08-28,2026-08-28 07:32:08
1301,台塑,62.7,63.2,64.8,62.1,67.03,58.24,68.59,1.01,0.47,0.54,62.67,57.68,52.69,33668,35878,0.94,3991.32,38.23,0.5,0.8,2026-08-28,2026-08-28 07:32:09
1303,南亞,220.5,230.5,238.5,219.0,68.44,58.64,64.98,9.51,6.77,2.73,222.45,191.45,160.45,191816,114244,1.68,17487.46,35.51,0.8,0.36,2026-08-28,2026-08-28 07:32:10
1304,台聚,12.05,12.4,12.55,12.0,49.3,47.78,49.02,-0.08,-0.17,0.09,12.5,11.89,11.28,2944,3057,0.96,129.21,,0.15,1.24,2026-08-28,2026-08-28 07:32:11
1305,華夏,12.1,12.5,12.55,12.05,59.99,62.29,57.41,0.01,-0.08,0.1,12.46,11.76,11.06,1926,2129,0.9,70.31,,0.1,0.83,2026-08-28,2026-08-28 07:32:12
1307,三芳,30.7,31.0,31.1,30.6,53.9,48.79,46.67,-0.28,-0.33,0.05,32.27,31.02,29.77,598,516,1.16,122.13,9.19,2.2,7.17,2026-08-28,2026-08-28 07:32:13
1308,亞聚,13.85,14.15,14.35,13.85,56.26,57.74,53.7,0.09,0.0,0.08,14.33,13.5,12.67,1490,1692,0.88,82.23,51.3,0.2,1.44,2026-08-28,2026-08-28 07:32:14
1309,台達化,13.1,13.4,13.55,13.05,58.33,58.3,53.7,-0.15,-0.27,0.12,13.47,12.95,12.44,1941,2028,0.96,52.08,,0.15,1.15,2026-08-28,2026-08-28 07:32:15
1310,台苯,8.43,8.69,8.78,8.37,54.21,46.83,59.56,-0.15,-0.27,0.11,8.66,8.08,7.5,5227,4845,1.08,44.5,32.42,,,2026-08-28,2026-08-28 07:32:16
1312,國喬,14.15,15.7,15.7,13.8,70.67,62.19,80.82,0.21,-0.11,0.32,13.69,12.13,10.57,212442,46498,4.57,215.77,21.44,,,2026-08-28,2026-08-28 07:32:17
1313,聯成,11.85,12.25,12.3,11.75,62.89,63.85,53.62,0.07,-0.0,0.07,12.33,11.53,10.72,3548,3391,1.05,157.71,,0.1,0.84,2026-08-28,2026-08-28 07:32:18
1314,中石化,8.05,8.21,8.25,8.03,59.14,59.82,59.51,-0.01,-0.07,0.06,8.17,7.85,7.52,18022,22552,0.8,304.68,4.63,,,2026-08-28,2026-08-28 07:32:19
1315,達新,65.5,66.3,66.3,65.2,84.36,84.34,79.39,0.86,0.66,0.19,65.75,63.17,60.6,72,48,1.49,62.57,26.73,4.5,6.87,2026-08-28,2026-08-28 07:32:20
1316,上曜,11.15,11.85,11.95,11.05,60.31,67.12,63.75,0.32,0.19,0.13,11.74,10.56,9.37,9574,9333,1.03,40.48,50.68,,,2026-08-28,2026-08-28 07:32:21
1319,東陽,82.1,82.0,84.3,82.0,35.35,48.08,69.57,1.73,1.53,0.2,87.5,79.62,71.75,2789,1712,1.63,485.6,13.33,5.0,6.09,2026-08-28,2026-08-28 07:32:22
