股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,104.9,106.45,106.45,104.85,75.85,84.0,75.93,0.83,0.25,0.58,109.97,102.46,94.95,65201,67987,0.96,,31.8,,,2026-08-18,2026-08-18 07:31:33
0051,元大中型100,142.25,144.75,144.75,142.2,63.83,75.92,79.57,1.08,0.09,0.99,150.38,138.3,126.21,46,37,1.23,,23.79,,,2026-08-18,2026-08-18 07:31:35
0052,富邦科技,60.9,61.85,61.9,60.85,67.65,79.06,75.59,0.34,0.01,0.33,64.27,59.75,55.23,15243,19368,0.79,,32.96,,,2026-08-18,2026-08-18 07:31:36
0053,元大電子,239.0,243.0,243.0,238.1,79.53,85.17,66.82,1.99,-0.08,2.07,251.29,230.25,209.21,32,43,0.74,,35.13,,,2026-08-18,2026-08-18 07:31:37
0055,元大MSCI金融,43.96,43.79,44.05,43.61,50.93,58.52,61.77,0.59,0.65,-0.06,45.07,43.41,41.76,167,199,0.84,,17.67,,,2026-08-18,2026-08-18 07:31:38
0056,元大高股息,52.7,53.1,53.2,52.4,78.05,83.55,70.86,0.79,0.44,0.35,54.56,50.64,46.72,30780,36206,0.85,,20.61,,,2026-08-18,2026-08-18 07:31:39
0057,富邦摩台,313.5,316.95,317.45,311.9,76.86,84.39,62.81,2.24,0.32,1.93,327.37,305.16,282.94,15,9,1.61,,31.51,,,2026-08-18,2026-08-18 07:31:40
0061,元大寶滬深,24.8,25.0,25.05,24.8,56.59,66.78,53.83,-0.01,-0.03,0.02,25.38,24.85,24.32,51,207,0.25,,20.31,,,2026-08-18,2026-08-18 07:31:41
1101,台泥,24.1,24.1,24.45,23.9,46.91,54.46,46.27,0.15,0.18,-0.03,24.82,24.19,23.57,26178,23405,1.12,1805.86,17.95,0.8,3.32,2026-08-18,2026-08-18 07:31:43
1102,亞泥,33.5,33.3,33.5,33.2,68.52,52.47,57.0,0.03,-0.05,0.08,33.69,32.82,31.95,5611,13316,0.42,1188.1,10.67,2.3,6.87,2026-08-18,2026-08-18 07:31:44
1103,嘉泥,13.05,13.05,13.15,13.05,38.71,42.75,40.0,0.02,0.03,-0.01,13.36,13.14,12.92,228,258,0.88,85.97,16.52,0.52,3.98,2026-08-18,2026-08-18 07:31:45
1104,環泥,26.4,26.5,26.55,26.4,27.76,28.38,40.82,-0.08,-0.07,-0.01,27.05,26.65,26.25,1289,775,1.66,181.28,10.35,1.85,7.01,2026-08-18,2026-08-18 07:31:46
1108,幸福,11.8,11.8,11.9,11.7,34.35,38.59,43.48,-0.18,-0.19,0.0,12.29,11.98,11.66,208,377,0.55,47.76,17.61,1.0,8.47,2026-08-18,2026-08-18 07:31:47
1109,信大,13.75,13.5,13.75,13.5,61.22,37.44,41.67,-0.04,-0.05,0.01,13.92,13.67,13.42,73,157,0.47,46.91,19.93,0.9,6.55,2026-08-18,2026-08-18 07:31:48
1110,東泥,15.85,15.95,16.15,15.85,48.74,60.12,45.65,0.12,0.16,-0.04,16.45,16.05,15.66,344,278,1.24,90.42,48.03,0.3,1.89,2026-08-18,2026-08-18 07:31:49
1201,味全,12.3,12.2,12.35,12.2,76.68,63.32,52.63,-0.01,-0.02,0.01,12.48,12.23,11.97,261,210,1.24,62.25,20.16,0.21,1.71,2026-08-18,2026-08-18 07:31:50
1203,味王,43.7,43.6,43.85,43.55,26.83,34.1,12.57,-0.13,0.45,-0.58,50.22,47.04,43.86,15,15,1.01,103.88,20.81,1.0,2.29,2026-08-18,2026-08-18 07:31:51
1210,大成,53.0,52.0,53.2,52.0,36.83,34.4,42.67,-0.28,-0.17,-0.12,55.13,53.24,51.35,2443,2895,0.84,443.45,13.05,3.0,5.66,2026-08-18,2026-08-18 07:31:52
