股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,108.35,106.15,108.8,106.1,80.86,67.83,62.66,2.37,2.58,-0.21,112.28,105.64,99.01,82202,71053,1.16,,31.64,,,2026-07-03,2026-07-03 11:26:48
0051,元大中型100,149.35,147.85,149.5,147.85,83.88,72.17,64.16,3.08,3.28,-0.2,153.48,144.51,135.54,67,50,1.33,,29.38,,,2026-07-03,2026-07-03 11:26:49
0052,富邦科技,63.55,62.5,63.85,62.4,80.68,67.46,62.85,1.43,1.53,-0.1,66.17,61.89,57.62,29801,21418,1.39,,37.09,,,2026-07-03,2026-07-03 11:26:50
0053,元大電子,247.4,244.1,248.55,243.25,81.88,68.47,61.32,4.89,5.26,-0.37,255.97,241.0,226.03,23,14,1.58,,41.68,,,2026-07-03,2026-07-03 11:26:52
0055,元大MSCI金融,41.54,41.15,41.89,40.53,80.13,70.74,61.07,1.37,1.71,-0.34,44.29,41.34,38.4,432,530,0.82,,16.78,,,2026-07-03,2026-07-03 11:26:53
0056,元大高股息,52.85,52.1,52.95,52.1,82.1,70.45,62.63,1.26,1.53,-0.27,54.62,51.93,49.24,33906,33158,1.02,,21.13,,,2026-07-03,2026-07-03 11:26:54
0057,富邦摩台,322.6,318.35,322.6,318.35,81.96,68.63,64.51,7.06,7.42,-0.36,332.54,312.58,292.62,8,11,0.74,,35.0,,,2026-07-03,2026-07-03 11:26:56
0061,元大寶滬深,25.27,24.98,25.44,24.77,34.32,43.59,61.57,0.15,0.17,-0.02,26.09,25.11,24.13,252,447,0.56,,20.69,,,2026-07-03,2026-07-03 11:26:57
1101,台泥,23.65,23.1,23.9,23.1,18.08,17.94,38.16,-0.21,-0.1,-0.12,25.08,24.13,23.19,28078,33194,0.85,1772.14,15.91,0.8,3.38,2026-07-03,2026-07-03 11:26:58
1102,亞泥,36.45,36.05,37.1,36.05,59.25,53.25,62.89,0.38,0.32,0.06,36.95,35.34,33.73,17514,33308,0.53,1292.72,12.19,2.3,6.31,2026-07-03,2026-07-03 11:27:00
1103,嘉泥,13.65,13.3,13.7,13.3,39.29,33.35,54.55,0.02,0.04,-0.02,13.88,13.54,13.21,604,352,1.71,89.92,16.25,0.55,4.03,2026-07-03,2026-07-03 11:27:01
