股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,100.8,99.55,101.0,99.55,66.43,51.47,67.51,3.17,3.39,-0.22,100.11,95.05,89.99,128979,94941,1.36,,32.98,,,2026-05-25,2026-05-25 07:36:14
0051,元大中型100,140.65,138.45,141.2,138.45,69.38,53.93,71.48,3.97,3.84,0.13,138.95,130.62,122.3,135,78,1.71,,27.66,,,2026-05-25,2026-05-25 07:36:15
0052,富邦科技,59.6,58.9,59.95,58.9,65.81,52.03,68.58,2.04,2.15,-0.1,59.16,55.86,52.56,46376,31774,1.46,,34.79,,,2026-05-25,2026-05-25 07:36:16
0053,元大電子,235.35,229.7,235.35,229.7,72.23,58.15,66.99,8.32,8.79,-0.47,232.94,219.24,205.53,45,22,1.98,,39.65,,,2026-05-25,2026-05-25 07:36:17
0055,元大MSCI金融,33.95,33.88,33.95,33.7,55.56,51.2,59.69,0.19,0.19,0.0,34.42,33.69,32.95,687,337,2.03,,13.71,,,2026-05-25,2026-05-25 07:36:18
0056,元大高股息,48.35,47.51,48.41,47.51,77.82,66.35,80.71,1.63,1.49,0.15,48.13,44.03,39.93,64394,50199,1.28,,19.33,,,2026-05-25,2026-05-25 07:36:18
0057,富邦摩台,298.35,298.55,299.7,296.95,65.28,53.04,63.9,9.37,10.35,-0.98,299.13,283.27,267.42,148,49,2.97,,32.37,,,2026-05-25,2026-05-25 07:36:19
0061,元大寶滬深,24.83,24.79,24.99,24.79,23.13,32.8,54.55,0.22,0.29,-0.07,25.51,24.8,24.09,314,239,1.32,,20.33,,,2026-05-25,2026-05-25 07:36:20
1101,台泥,24.3,24.1,24.45,23.95,31.63,29.21,52.38,-0.11,-0.05,-0.07,25.4,24.53,23.65,33747,25789,1.31,1820.84,16.35,1.0,4.12,2026-05-25,2026-05-25 07:36:21
1102,亞泥,33.6,34.45,34.5,33.6,23.44,31.45,36.63,-0.25,-0.15,-0.1,35.71,34.83,33.95,26435,12360,2.14,1191.65,11.24,2.2,6.55,2026-05-25,2026-05-25 07:36:22
1103,嘉泥,13.2,13.1,13.25,13.05,44.51,29.11,45.83,-0.15,-0.16,0.0,13.65,13.25,12.85,412,248,1.66,86.96,15.71,0.55,4.17,2026-05-25,2026-05-25 07:36:23
1104,環泥,27.55,27.85,27.85,27.5,27.61,23.39,23.08,-0.41,-0.39,-0.02,28.86,27.99,27.12,816,532,1.53,,10.8,1.7,6.17,2026-05-25,2026-05-25 07:36:24
1108,幸福,13.5,13.55,13.55,13.4,12.17,14.5,10.71,-0.3,-0.24,-0.07,15.03,14.2,13.36,406,306,1.33,54.64,6.25,0.75,5.56,2026-05-25,2026-05-25 07:36:25
1109,信大,14.4,14.6,14.6,14.4,13.7,22.53,16.67,-0.24,-0.15,-0.09,15.94,15.13,14.32,404,227,1.78,49.13,13.98,0.9,6.25,2026-05-25,2026-05-25 07:36:26
1110,東泥,14.0,14.2,14.25,13.9,14.25,15.75,28.57,-0.33,-0.27,-0.06,15.75,14.71,13.67,505,234,2.15,79.86,38.89,0.3,2.14,2026-05-25,2026-05-25 07:36:27
1201,味全,12.0,12.05,12.05,11.9,25.43,21.94,31.58,-0.3,-0.32,0.02,12.72,12.27,11.81,950,475,2.0,60.73,30.0,0.5,4.17,2026-05-25,2026-05-25 07:36:28
1203,味王,42.6,42.6,43.1,42.2,56.1,44.82,49.31,0.03,0.19,-0.16,44.69,42.83,40.97,53,38,1.4,101.26,23.54,1.2,2.82,2026-05-25,2026-05-25 07:36:28
1210,大成,52.1,52.4,52.4,52.0,28.53,40.55,47.06,-0.26,-0.25,-0.01,54.01,52.8,51.59,2594,2071,1.25,435.92,12.06,3.0,5.76,2026-05-25,2026-05-25 07:36:30
1213,大飲,8.27,8.47,8.47,8.1,40.0,45.73,34.2,-0.24,-0.21,-0.02,9.22,8.73,8.23,52,28,1.82,4.68,,0.35,4.23,2026-05-25,2026-05-25 07:36:30
1215,卜蜂,142.5,143.5,144.0,139.0,76.11,72.95,53.66,0.1,-0.83,0.93,145.28,139.28,133.27,1750,1641,1.07,420.08,13.73,7.0,4.91,2026-05-25,2026-05-25 07:36:31
1216,統一,71.2,72.0,72.0,71.2,23.07,44.47,57.24,0.32,0.47,-0.15,76.78,72.09,67.4,13620,14283,0.95,4045.59,20.7,3.0,4.21,2026-05-25,2026-05-25 07:36:32
1217,愛之味,9.41,9.4,9.48,9.34,20.06,15.24,23.33,-0.16,-0.14,-0.02,10.06,9.64,9.22,663,571,1.16,46.53,22.4,0.25,2.66,2026-05-25,2026-05-25 07:36:33
1218,泰山,18.45,18.6,18.6,18.35,24.59,26.61,40.0,-0.13,-0.1,-0.03,19.26,18.78,18.3,1236,551,2.24,89.73,14.19,1.35,7.32,2026-05-25,2026-05-25 07:36:34
1219,福壽,12.45,12.4,12.55,12.3,10.35,9.49,11.54,-0.35,-0.28,-0.07,13.94,13.08,12.22,596,535,1.11,42.48,27.67,0.5,4.02,2026-05-25,2026-05-25 07:36:35
1220,台榮,11.85,11.85,11.9,11.7,14.27,13.51,18.75,-0.19,-0.16,-0.03,12.65,12.18,11.71,290,138,2.1,20.9,148.13,0.7,5.91,2026-05-25,2026-05-25 07:36:36
1225,福懋油,29.8,29.6,30.2,29.4,21.49,16.31,35.17,-0.82,-0.62,-0.2,33.93,30.97,28.02,134,113,1.19,72.2,18.4,0.14,0.47,2026-05-25,2026-05-25 07:36:37
1227,佳格,28.1,28.4,28.4,28.05,20.67,20.91,34.78,-0.37,-0.36,-0.01,29.36,28.73,28.1,1405,925,1.52,255.27,21.13,1.4,4.98,2026-05-25,2026-05-25 07:36:38
1229,聯華,38.5,38.7,38.95,38.0,13.63,11.21,23.28,-1.27,-1.14,-0.13,43.11,40.39,37.68,5412,3363,1.61,688.66,14.98,1.3,3.38,2026-05-25,2026-05-25 07:36:39
1231,聯華食,84.8,85.5,85.5,84.1,40.01,45.44,33.77,-0.82,-0.83,0.01,87.89,86.49,85.08,671,366,1.83,253.09,22.26,1.6,1.89,2026-05-25,2026-05-25 07:36:39
1232,大統益,148.5,147.5,148.5,147.5,43.34,39.25,53.33,-0.38,-0.46,0.08,149.47,148.28,147.08,131,76,1.73,237.56,18.0,7.0,4.71,2026-05-25,2026-05-25 07:36:40
1233,天仁,28.55,28.8,28.85,28.55,25.08,28.13,37.04,-0.18,-0.23,0.04,29.03,28.76,28.5,30,16,1.9,25.85,38.07,0.2,0.7,2026-05-25,2026-05-25 07:36:41
1234,黑松,33.95,33.55,33.95,33.55,27.26,21.52,35.53,-0.53,-0.48,-0.05,35.94,34.57,33.19,139,124,1.12,136.44,16.98,1.65,4.86,2026-05-25,2026-05-25 07:36:42
1235,興泰,37.95,38.35,39.4,37.3,17.95,18.82,36.73,-1.37,-0.69,-0.68,47.9,41.94,35.99,14,24,0.57,17.25,,0.5,1.32,2026-05-25,2026-05-25 07:36:43
1236,宏亞,24.35,25.0,25.0,24.0,31.41,23.47,31.46,-0.61,-0.51,-0.1,27.13,25.06,22.99,36,34,1.05,21.11,,1.65,6.78,2026-05-25,2026-05-25 07:36:44
1240,茂生農經,57.7,57.5,57.8,57.5,30.74,36.64,30.0,-0.36,-0.29,-0.08,59.69,58.54,57.39,12,9,1.39,25.52,11.92,2.7,4.68,2026-05-25,2026-05-25 07:36:45
1256,鮮活果汁-KY,184.0,183.5,184.0,180.0,39.39,50.77,65.57,7.04,6.85,0.19,197.49,175.5,153.51,115,97,1.19,65.82,16.49,4.66,2.53,2026-05-25,2026-05-25 07:36:46
1259,安心,57.0,56.3,57.0,56.2,24.2,28.22,50.45,-0.58,-0.51,-0.07,59.6,57.72,55.84,14,15,0.93,18.46,23.27,1.2,2.11,2026-05-25,2026-05-25 07:36:47
1264,德麥,272.0,272.5,272.5,271.0,56.2,53.38,50.0,-1.03,-1.36,0.32,274.25,272.4,270.55,29,20,1.48,100.78,13.32,14.5,5.33,2026-05-25,2026-05-25 07:36:48
1268,漢來美食,169.5,172.0,172.0,167.0,75.36,76.64,82.61,2.9,1.37,1.52,170.21,159.35,148.49,51,265,0.19,71.57,16.78,7.5,4.42,2026-05-25,2026-05-25 07:36:49
1294,漢田生技,77.0,77.6,77.6,77.0,14.49,18.66,31.88,-0.93,-0.91,-0.02,80.29,78.48,76.67,22,16,1.33,23.31,16.96,2.84,3.69,2026-05-25,2026-05-25 07:36:51
1295,生合,50.3,52.1,52.1,50.2,27.67,25.35,32.87,-2.54,-2.71,0.17,58.11,53.33,48.54,89,55,1.62,17.34,9.53,3.0,5.96,2026-05-25,2026-05-25 07:36:51
1301,台塑,44.8,45.45,45.5,44.2,11.12,9.87,14.29,-1.26,-0.83,-0.43,53.08,48.17,43.27,21369,15856,1.35,2851.85,32.65,0.5,1.12,2026-05-25,2026-05-25 07:36:52
1303,南亞,87.1,87.4,89.2,86.4,45.47,29.86,36.98,-0.21,0.23,-0.44,94.95,87.96,80.96,32516,50470,0.64,6907.75,152.81,0.7,0.8,2026-05-25,2026-05-25 07:36:53
1304,台聚,12.15,12.25,12.3,11.85,20.89,16.58,26.76,-0.64,-0.61,-0.03,14.37,12.97,11.57,5589,4787,1.17,130.28,,0.2,1.65,2026-05-25,2026-05-25 07:36:54
1305,華夏,12.35,12.3,12.5,11.9,20.08,16.33,28.0,-0.69,-0.68,-0.02,14.71,13.19,11.68,4525,2932,1.54,71.76,,0.15,1.21,2026-05-25,2026-05-25 07:36:56
1307,三芳,31.0,31.5,31.65,30.75,17.47,24.44,44.93,-0.22,-0.2,-0.02,32.41,31.62,30.84,1666,733,2.27,123.32,10.92,2.7,8.71,2026-05-25,2026-05-25 07:36:57
1308,亞聚,13.35,13.2,13.45,12.9,39.53,26.76,32.69,-0.62,-0.67,0.05,14.99,13.73,12.46,3323,2168,1.53,79.26,49.44,0.25,1.87,2026-05-25,2026-05-25 07:36:58
1309,台達化,15.65,15.55,15.75,14.95,22.8,16.63,18.7,-1.07,-0.94,-0.13,20.6,17.27,13.95,6331,4775,1.33,62.22,,0.2,1.28,2026-05-25,2026-05-25 07:36:59
1310,台苯,8.01,7.95,8.05,7.78,16.24,10.89,21.02,-0.55,-0.55,0.0,9.78,8.59,7.4,3881,2576,1.51,42.28,30.81,,,2026-05-25,2026-05-25 07:37:00
1312,國喬,10.4,10.5,10.5,10.1,12.87,9.04,26.76,-0.7,-0.66,-0.05,13.03,11.36,9.69,7372,4696,1.57,116.98,15.76,,,2026-05-25,2026-05-25 07:37:01
1313,聯成,10.7,10.65,10.8,10.3,29.49,22.99,42.42,-0.34,-0.36,0.02,11.55,10.9,10.24,4313,2470,1.75,142.4,,0.15,1.4,2026-05-25,2026-05-25 07:37:02
1314,中石化,7.07,7.11,7.11,6.92,62.89,48.04,39.37,-0.2,-0.24,0.04,7.56,7.15,6.73,18785,17026,1.1,267.59,4.06,,,2026-05-25,2026-05-25 07:37:03
1315,達新,60.9,60.9,60.9,60.5,32.49,25.25,37.74,-0.35,-0.26,-0.09,63.11,61.57,60.02,16,14,1.21,58.18,39.29,4.5,7.39,2026-05-25,2026-05-25 07:37:03
1316,上曜,10.25,10.4,10.4,10.0,17.95,20.25,33.33,-0.38,-0.34,-0.04,11.74,10.98,10.22,3958,2771,1.43,36.45,46.59,,,2026-05-25,2026-05-25 07:37:04
1319,東陽,80.8,82.6,82.7,80.7,71.17,72.67,66.42,0.21,-0.35,0.56,83.55,78.38,73.21,2967,2511,1.18,477.91,12.57,5.0,6.19,2026-05-25,2026-05-25 07:37:05
1321,大洋,28.85,29.2,29.4,28.65,31.61,34.55,29.17,-0.75,-0.82,0.06,30.86,29.75,28.63,345,221,1.56,63.67,,0.38,1.32,2026-05-25,2026-05-25 07:37:07
1323,永裕,20.15,20.1,20.3,20.0,76.8,66.33,56.14,-0.17,-0.25,0.08,20.85,19.84,18.83,166,110,1.51,18.39,77.5,0.9,4.47,2026-05-25,2026-05-25 07:37:08
1324,地球,10.15,10.3,10.3,10.15,15.07,19.02,35.29,-0.21,-0.21,0.0,10.75,10.35,9.95,96,61,1.56,7.62,,0.2,1.97,2026-05-25,2026-05-25 07:37:09
1325,恆大,27.35,26.85,27.5,26.35,27.05,28.58,52.5,0.03,-0.02,0.05,27.85,26.79,25.73,556,596,0.93,23.32,,0.3,1.1,2026-05-25,2026-05-25 07:37:11
1326,台化,44.95,45.55,45.55,44.25,29.92,23.1,21.81,-1.01,-0.61,-0.4,53.82,47.88,41.94,17571,13432,1.31,2629.13,30.64,0.5,1.11,2026-05-25,2026-05-25 07:37:12
1336,台翰,13.15,13.15,13.2,13.05,20.82,14.12,21.43,-0.29,-0.25,-0.04,14.25,13.56,12.86,129,140,0.92,10.21,18.79,0.95,7.22,2026-05-25,2026-05-25 07:37:13
1337,再生-KY,4.76,4.8,4.8,4.68,25.77,21.96,36.96,-0.19,-0.2,0.01,5.23,4.93,4.64,832,617,1.35,12.8,,,,2026-05-25,2026-05-25 07:37:14
1338,廣華-KY,15.7,15.85,15.9,15.4,40.85,36.84,46.05,-0.14,-0.13,-0.02,16.9,16.02,15.14,88,270,0.33,12.68,1.82,0.78,4.97,2026-05-25,2026-05-25 07:37:15
1339,昭輝,40.7,40.55,40.7,40.4,54.47,41.03,52.8,-0.21,-0.24,0.03,41.92,40.76,39.6,97,91,1.06,30.17,16.89,3.0,7.37,2026-05-25,2026-05-25 07:37:17
1340,勝悅-KY,5.4,5.48,5.49,5.35,41.56,36.25,39.18,-0.23,-0.26,0.03,5.87,5.58,5.29,161,155,1.04,8.26,,,,2026-05-25,2026-05-25 07:37:17
1341,富林-KY,61.6,60.3,61.6,60.2,45.03,38.19,55.41,0.33,0.33,0.0,62.44,61.23,60.03,5,8,0.65,32.56,16.65,5.2,8.44,2026-05-25,2026-05-25 07:37:18
1342,八貫,93.3,94.3,94.5,92.5,48.6,42.21,50.79,0.39,0.66,-0.27,95.77,93.48,91.19,287,248,1.16,72.77,16.69,6.0,6.43,2026-05-25,2026-05-25 07:37:19
1402,遠東新,27.2,27.0,27.2,26.5,85.56,76.15,70.27,0.14,0.01,0.14,27.32,26.33,25.33,39153,27614,1.42,1455.77,17.55,1.6,5.88,2026-05-25,2026-05-25 07:37:20
1409,新纖,17.6,17.35,17.65,17.25,60.27,42.24,58.33,0.17,0.15,0.02,17.43,16.91,16.38,13044,7095,1.84,281.59,14.79,0.6,3.41,2026-05-25,2026-05-25 07:37:21
1410,南染,26.5,26.3,26.95,26.3,19.54,15.47,25.0,-1.08,-1.1,0.02,29.35,27.43,25.5,11,46,0.26,16.43,45.69,0.51,1.92,2026-05-25,2026-05-25 07:37:22
1413,宏洲,9.35,9.42,9.42,9.35,35.32,45.24,34.85,-0.08,-0.07,-0.01,9.74,9.54,9.34,47,15,3.04,12.35,20.78,,,2026-05-25,2026-05-25 07:37:25
1414,東和,14.75,15.4,15.4,14.7,20.61,26.07,21.05,-0.45,-0.41,-0.05,17.13,16.08,15.02,475,279,1.7,29.2,77.63,0.2,1.36,2026-05-25,2026-05-25 07:37:26
1416,廣豐,11.15,11.15,11.2,11.05,40.38,31.6,30.0,-0.1,-0.1,-0.0,11.53,11.26,10.98,334,242,1.38,20.67,13.77,0.56,5.02,2026-05-25,2026-05-25 07:37:27
1417,嘉裕,8.2,8.16,8.23,8.08,14.63,12.54,8.43,-0.2,-0.16,-0.04,9.14,8.55,7.96,242,138,1.75,15.58,13.23,,,2026-05-25,2026-05-25 07:37:27
