股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,95.5,94.85,95.8,94.7,77.73,83.28,74.66,4.48,4.34,0.13,100.97,91.08,81.19,130063,108242,1.2,,31.25,,,2026-05-13,2026-05-13 07:36:51
0051,元大中型100,133.75,133.9,133.9,131.85,82.58,86.34,78.32,5.13,4.7,0.43,136.47,126.75,117.04,76,73,1.03,,26.31,,,2026-05-13,2026-05-13 07:36:52
0052,富邦科技,56.15,55.8,56.35,55.6,80.52,84.9,72.52,2.79,2.68,0.11,59.54,53.28,47.03,33021,35415,0.93,,32.77,,,2026-05-13,2026-05-13 07:36:53
0053,元大電子,221.4,218.9,221.7,218.75,84.83,87.51,72.4,11.54,11.15,0.38,233.49,209.25,185.01,26,37,0.71,,37.3,,,2026-05-13,2026-05-13 07:36:54
0055,元大MSCI金融,33.75,33.47,33.75,33.36,57.35,63.19,54.77,0.26,0.24,0.02,34.24,33.5,32.77,177,393,0.45,,13.63,,,2026-05-13,2026-05-13 07:36:56
0056,元大高股息,45.15,44.98,45.26,44.73,90.37,89.59,74.58,1.77,1.42,0.35,46.28,42.11,37.94,69534,75661,0.92,,18.05,,,2026-05-13,2026-05-13 07:36:57
0057,富邦摩台,293.3,282.2,293.3,282.2,92.52,90.29,82.09,14.23,13.24,0.99,302.2,271.38,240.56,54,25,2.17,,31.82,,,2026-05-13,2026-05-13 07:36:58
0061,元大寶滬深,25.42,25.3,25.44,25.23,91.82,86.01,82.29,0.42,0.33,0.08,25.38,24.51,23.63,445,297,1.5,,20.81,,,2026-05-13,2026-05-13 07:36:59
1101,台泥,24.7,24.95,25.0,24.7,54.13,54.76,52.63,0.13,0.1,0.03,25.46,24.73,24.01,24925,28268,0.88,1900.22,15.21,1.0,4.05,2026-05-13,2026-05-13 07:37:00
1102,亞泥,35.3,34.45,35.5,34.45,35.7,26.4,44.93,-0.07,-0.01,-0.06,36.02,35.25,34.47,9740,7970,1.22,1251.94,11.81,2.2,6.23,2026-05-13,2026-05-13 07:37:01
1103,嘉泥,13.2,13.3,13.3,13.15,23.22,27.36,28.57,-0.11,-0.09,-0.03,14.03,13.56,13.08,403,309,1.31,86.96,15.71,0.55,4.17,2026-05-13,2026-05-13 07:37:02
1104,環泥,28.05,28.05,28.45,27.9,28.8,28.75,16.67,-0.3,-0.27,-0.03,29.51,28.63,27.75,1111,950,1.17,192.61,11.0,1.7,6.06,2026-05-13,2026-05-13 07:37:04
1108,幸福,14.1,14.2,14.2,14.05,29.24,37.68,22.73,-0.13,-0.1,-0.04,14.98,14.6,14.22,647,494,1.31,57.07,6.53,0.75,5.32,2026-05-13,2026-05-13 07:37:05
1109,信大,15.4,15.3,15.4,15.1,58.45,60.66,50.0,0.0,0.01,-0.01,15.53,15.43,15.33,84,137,0.62,52.54,14.95,0.9,5.84,2026-05-13,2026-05-13 07:37:06
1110,東泥,14.4,14.85,14.95,14.4,23.95,33.02,39.71,-0.13,-0.09,-0.04,16.0,15.22,14.44,355,189,1.87,82.06,40.0,0.3,2.08,2026-05-13,2026-05-13 07:37:07
1201,味全,12.25,12.2,12.25,12.1,15.09,13.8,20.0,-0.34,-0.32,-0.02,13.58,12.72,11.86,344,416,0.83,61.99,30.62,0.5,4.08,2026-05-13,2026-05-13 07:37:08
