股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,102.55,102.4,103.9,102.0,77.11,64.48,63.66,3.53,3.4,0.13,101.99,95.94,89.88,94731,85390,1.11,,33.56,,,2026-05-27,2026-05-27 07:36:29
0051,元大中型100,141.1,142.65,143.05,140.2,79.88,67.44,68.49,4.58,4.06,0.52,141.49,132.23,122.98,155,102,1.53,,27.75,,,2026-05-27,2026-05-27 07:36:30
0052,富邦科技,60.45,60.75,61.15,60.0,77.71,64.97,63.55,2.26,2.17,0.09,60.33,56.41,52.49,30546,31193,0.98,,35.28,,,2026-05-27,2026-05-27 07:36:32
0053,元大電子,238.8,242.75,242.75,238.0,82.47,71.12,63.01,9.37,8.91,0.46,238.26,221.7,205.13,32,26,1.22,,40.23,,,2026-05-27,2026-05-27 07:36:33
0055,元大MSCI金融,34.89,34.3,35.07,34.3,72.05,60.94,60.31,0.28,0.21,0.07,34.68,33.83,32.98,467,461,1.01,,14.09,,,2026-05-27,2026-05-27 07:36:35
0056,元大高股息,49.64,49.17,49.87,49.1,86.87,76.7,78.67,1.95,1.62,0.33,49.38,44.83,40.27,61473,55483,1.11,,19.85,,,2026-05-27,2026-05-27 07:36:36
0057,富邦摩台,304.2,307.05,307.65,302.7,79.49,66.6,61.06,10.41,10.27,0.14,304.09,286.02,267.95,10,41,0.25,,33.0,,,2026-05-27,2026-05-27 07:36:37
0061,元大寶滬深,25.05,25.02,25.28,24.98,38.39,33.23,52.63,0.21,0.26,-0.05,25.48,24.88,24.28,396,333,1.19,,20.51,,,2026-05-27,2026-05-27 07:36:39
1101,台泥,23.85,23.95,24.05,23.8,24.37,27.48,24.62,-0.16,-0.08,-0.08,25.44,24.48,23.52,29787,27356,1.09,1787.12,16.05,1.0,4.19,2026-05-27,2026-05-27 07:36:40
1102,亞泥,33.0,33.1,33.25,32.85,12.55,21.63,31.07,-0.42,-0.23,-0.19,35.93,34.62,33.3,17412,15309,1.14,1170.37,11.04,2.2,6.67,2026-05-27,2026-05-27 07:36:42
1103,嘉泥,13.2,13.25,13.25,13.1,71.17,50.66,39.13,-0.12,-0.15,0.02,13.6,13.23,12.85,410,296,1.38,86.96,15.71,0.55,4.17,2026-05-27,2026-05-27 07:36:43
1104,環泥,27.2,27.7,27.7,27.15,21.26,23.34,15.63,-0.41,-0.4,-0.02,28.78,27.87,26.97,796,681,1.17,,10.67,1.7,6.25,2026-05-27,2026-05-27 07:36:44
1108,幸福,13.5,13.5,13.55,13.4,13.74,13.75,10.71,-0.32,-0.27,-0.05,15.0,14.1,13.19,287,328,0.88,54.64,6.25,0.75,5.56,2026-05-27,2026-05-27 07:36:46
1109,信大,14.45,14.5,14.5,14.35,14.36,18.0,21.21,-0.25,-0.18,-0.07,15.89,15.03,14.17,127,232,0.55,49.3,14.03,0.9,6.23,2026-05-27,2026-05-27 07:36:47
1110,東泥,14.1,13.95,14.15,13.95,20.86,17.2,30.0,-0.33,-0.29,-0.04,15.72,14.62,13.52,244,273,0.89,80.44,39.17,0.3,2.13,2026-05-27,2026-05-27 07:36:49
1201,味全,12.1,12.25,12.3,12.05,45.87,35.39,40.74,-0.25,-0.3,0.05,12.57,12.22,11.86,580,606,0.96,61.23,30.25,0.5,4.13,2026-05-27,2026-05-27 07:36:50
1203,味王,42.7,42.7,42.7,42.05,64.84,55.16,44.54,0.06,0.14,-0.08,44.52,42.75,40.97,17,39,0.44,101.5,23.59,1.2,2.81,2026-05-27,2026-05-27 07:36:51
1210,大成,51.7,52.3,52.4,51.6,15.07,27.63,43.75,-0.34,-0.28,-0.07,53.67,52.6,51.53,2759,2130,1.3,432.58,11.97,3.0,5.8,2026-05-27,2026-05-27 07:36:53
1213,大飲,8.29,8.22,8.29,8.0,32.7,38.87,37.61,-0.25,-0.23,-0.02,9.22,8.66,8.11,12,24,0.5,4.69,,0.35,4.22,2026-05-27,2026-05-27 07:36:54
1215,卜蜂,129.5,132.0,132.0,125.0,59.49,68.46,46.2,-0.17,-0.5,0.33,138.5,132.47,126.44,6865,2960,2.32,381.75,12.49,7.0,5.41,2026-05-27,2026-05-27 07:36:56
1216,統一,70.2,70.8,71.2,70.0,11.25,26.93,52.78,-0.06,0.31,-0.37,76.78,72.08,67.39,21412,16884,1.27,3988.77,20.41,3.0,4.27,2026-05-27,2026-05-27 07:36:57
1217,愛之味,9.7,9.8,9.9,9.68,45.99,30.16,51.81,-0.12,-0.14,0.02,9.96,9.61,9.26,1108,816,1.36,47.97,23.1,0.25,2.58,2026-05-27,2026-05-27 07:36:58
1218,泰山,18.45,18.5,18.55,18.4,22.54,24.84,31.25,-0.14,-0.11,-0.02,19.23,18.74,18.24,443,590,0.75,89.73,14.19,1.35,7.32,2026-05-27,2026-05-27 07:37:00
